"Members – Detailed Travel Expenditures Report – Badawey, Vance – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202590,2020/06/15,2020/06/16,,,,,,,571.0800,0.0000,39.9300,1.0000,0,0,611.01
T0202590,2020/06/15,2020/06/16,"Badawey, Vance",Member,To travel to/from constituency and Ottawa,2020/06/15,Welland,Ottawa,,,,,,,
T0202590,2020/06/15,2020/06/16,"Badawey, Vance",Member,To travel to/from constituency and Ottawa,2020/06/16,Ottawa,Welland,,,,,,,
200430666,2020/08/01,2020/08/31,,,,,,,0.0000,2315.8500,0.0000,0,0,0,2315.85
200430666,2020/08/01,2020/08/31,"Badawey, Vance",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0203856,2020/08/16,2020/08/22,,,,,,,549.6400,0.0000,688.1200,1.0000,0,0,1237.76
T0203856,2020/08/16,2020/08/22,"Lovell, Daniel",Employee,To travel to/from constituency and Ottawa,2020/08/16,Ottawa,Welland,,,,,,,
T0203856,2020/08/16,2020/08/22,"Lovell, Daniel",Employee,To travel to/from constituency and Ottawa,2020/08/22,Welland,Ottawa,,,,,,,
200437148,2020/09/01,2020/09/30,,,,,,,0.0000,2315.8500,0.0000,0,0,0,2315.85
200437148,2020/09/01,2020/09/30,"Badawey, Vance",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442008,2020/10/01,2020/10/31,,,,,,,0.0000,2315.8500,0.0000,0,0,0,2315.85
200442008,2020/10/01,2020/10/31,"Badawey, Vance",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
