"Members – Detailed Contract Expenditures Report – Vandal, Dan – Q2 2021"
Supplier,Description,Date,Total
Access Information Management of Canada,Shredding,2020/04/30,20.1000
Zoom Video Communications Inc.,Licence Renewal,2020/05/02,20.0000
Choice Communication (Canada) Ltd.,Advertising,2020/05/23,153.8100
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
WINNIPEG JEWISH REVIEW,Advertising,2020/05/29,80.0000
Access Information Management of Canada,Shredding,2020/05/31,70.1000
BENCHMARK ADVERTISING LTD.,Advertising,2020/06/01,1280.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,249.2500
Zoom Video Communications Inc.,Licence Renewal,2020/06/02,20.0000
Anne Mulaire,Consumable Items for Constituency Offices (COVID19),2020/06/05,32.1000
MANITOBA HYDRO,Public Utilities,2020/06/05,53.8000
MANITOBA HYDRO,Public Utilities,2020/06/05,110.8200
Canstar Community News,Advertising,2020/06/06,288.8300
ST. VITAL MUSEUM,Advertising,2020/06/08,75.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Bell MTS,Cable and Internet,2020/06/19,57.7300
Canstar Community News,Advertising,2020/06/20,288.8300
"Walsh, Claire",Professional Communication Services,2020/06/20,100.0000
Winnipeg Free Press,Advertising,2020/06/21,187.4900
Myant PPE Solutions,Consumable Items for Constituency Offices (COVID19),2020/06/22,50.6600
Molave Publishing Company Inc.,Advertising,2020/06/23,110.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,49.6400
"Liberté, La",Advertising,2020/06/24,199.6500
Canstar Community News,Advertising,2020/06/27,288.8300
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/06/29,420.0000
Access Information Management of Canada,Shredding,2020/06/30,20.1000
Facebook,Advertising,2020/06/30,30.0000
Grand & Toy,Office Equipment,2020/06/30,31.6100
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,134.7900
Grand & Toy,Cleaning Products,2020/06/30,57.2700
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,24.0000
Bell MTS,Cable and Internet Fees,2020/07/01,123.0000
BENCHMARK ADVERTISING LTD.,Advertising,2020/07/01,1280.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,236.0000
Zoom Video Communications Inc.,Licence Renewal,2020/07/02,20.0000
MANITOBA HYDRO,Public Utilities,2020/07/08,1.6000
MANITOBA HYDRO,Public Utilities,2020/07/08,254.7700
