"Members – Detailed Contract Expenditures Report – Vecchio, Karen – Q2 2021"
Supplier,Description,Date,Total
ZOOM,Licence Renewal,2020/04/18,20.0000
AYLMER EXPRESS Commercial Print Division,Advertising,2020/04/30,170.0000
AYLMER EXPRESS Commercial Print Division,Advertising,2020/04/30,170.0000
AYLMER EXPRESS Commercial Print Division,Advertising,2020/04/30,184.0000
AYLMER EXPRESS Commercial Print Division,Advertising,2020/04/30,200.0000
ZOOM,Licence Renewal,2020/05/18,20.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
My Broadcasting Corp.,Advertising,2020/05/31,549.0000
Woolley Maintenance Services,Janitorial Services and Maintenance,2020/05/31,126.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,203.7500
Rogers Wireless – Rogers sans-fil,Voice and data roaming fees for mobile devices,2020/06/01,993.9500
"SIGNPOST, THE",Advertising,2020/06/03,360.0000
"SIGNPOST, THE",Advertising,2020/06/10,360.0000
IMPRESSIONS PRINTING,"Householders ",2020/06/23,4220.0000
"SIGNPOST, THE",Advertising,2020/06/24,389.3000
My Broadcasting Corp.,Advertising,2020/06/28,515.6600
Villager Publications,Advertising,2020/06/29,240.0000
Villager Publications,Advertising,2020/06/29,240.0000
AYLMER EXPRESS Commercial Print Division,Advertising,2020/06/30,274.0000
AYLMER EXPRESS Commercial Print Division,Advertising,2020/06/30,165.0000
AYLMER EXPRESS Commercial Print Division,Advertising,2020/06/30,274.0000
AYLMER EXPRESS Commercial Print Division,Advertising,2020/06/30,290.0000
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/06/30,2.5000
Grand & Toy,Bulk Paper Purchases,2020/06/30,53.6400
Grand & Toy,Cleaning Products,2020/06/30,94.7100
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,320.4500
Postmedia Network Inc.,Advertising,2020/06/30,225.0000
Postmedia Network Inc.,Advertising,2020/06/30,125.0000
Woolley Maintenance Services,Janitorial Services and Maintenance,2020/06/30,84.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,10.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,64.0000
Entegrus Services Inc,Cable and Internet Fees,2020/07/01,220.0000
O.U.R. Media Group Inc. (Coffee News),Advertising,2020/07/01,80.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,153.7900
Rogers Wireless – Rogers sans-fil,Voice and data roaming fees for mobile devices,2020/07/01,84.6000
MailChimp,Professional Communication Services,2020/07/06,82.1100
KOALLO INC.,Web Site Hosting/Domain Name,2020/07/10,12.9900
RA2 Inc.,Web Site Hosting/Domain Name,2020/07/16,79.8600
RA2 Inc.,Web Site Hosting/Domain Name,2020/07/16,249.0000
Rogers,Telephone Data Plans and Cards,2020/07/16,150.0000
Simply Pure Water,Spring Water,2020/07/16,22.5000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.3800
AYLMER EXPRESS Commercial Print Division,Advertising,2020/07/21,279.0000
My Broadcasting Corp.,Advertising,2020/07/26,199.0000
My Broadcasting Corp.,Advertising,2020/07/26,515.6600
AYLMER EXPRESS Commercial Print Division,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/31,47.0000
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/07/31,2.5000
Woolley Maintenance Services,Janitorial Services and Maintenance,2020/07/31,84.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,10.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,64.0000
Entegrus Services Inc,Cable and Internet Fees,2020/08/01,220.0000
NORTH AMERICA RAILWAY HALL OF FAME,Office Rental and Related Fees,2020/08/01,1520.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,93.7900
Villager Publications,Advertising,2020/08/17,140.0000
AYLMER EXPRESS Commercial Print Division,Advertising,2020/08/18,169.0000
ZOOM,Licence Renewal,2020/08/18,20.0000
My Broadcasting Corp.,Advertising,2020/08/30,249.0000
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/08/31,2.5000
Domain Registry,Web Site Hosting/Domain Name,2020/08/31,50.0000
Woolley Maintenance Services,Janitorial Services and Maintenance,2020/08/31,84.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,64.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,4.0000
Entegrus Services Inc,Cable and Internet Fees,2020/09/01,220.0000
NORTH AMERICA RAILWAY HALL OF FAME,Office Rental and Related Fees,2020/09/01,1520.0000
INTACT INSURANCE COMPANY,Constituency Office Insurance,2020/09/14,959.0000
AYLMER EXPRESS Commercial Print Division,Advertising,2020/09/16,169.0000
AYLMER EXPRESS Commercial Print Division,Advertising,2020/09/16,207.0000
MailChimp,Professional Communication Services,2020/09/18,80.0900
Canada Post – Postes Canada,Courier Services,2020/09/23,9.0900
Canada Post – Postes Canada,Courier Services,2020/09/23,35.6400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.2300
