"Members – Detailed Contract Expenditures Report – Wagantall, Cathay – Q2 2021"
Supplier,Description,Date,Total
"FOUR-TOWN JOURNAL, THE",Advertising,2020/03/23,72.0300
CIBC,Banking Fees and Cheque Orders,2020/03/31,4.0000
SASKATCHEWAN SENIORS MECHANISM,Advertising,2020/04/24,72.2500
"Canora Courier, The",Advertising,2020/05/31,66.0000
CAMPAIGN LIFE COALITION,Advertising,2020/06/06,350.0000
SaskEnergy,Public Utilities,2020/06/08,52.3000
SaskPower,Public Utilities,2020/06/08,93.4100
"WORLD SPECTATOR, THE",Advertising,2020/06/08,90.0000
WalMart,Cleaning Products,2020/06/09,34.2900
"Canora Courier, The",Advertising,2020/06/10,33.0000
ACCESS Communications,Cable and Internet Fees,2020/06/15,180.8500
Zoom Video Communications,Licence Renewal,2020/06/16,17.0200
GRASSLANDS NEWS GROUP,Advertising,2020/06/17,50.0000
GRASSLANDS NEWS GROUP,Advertising,2020/06/18,295.0000
Less Annoying CRM,Licence Renewal,2020/06/18,94.6400
Staples,Toner,2020/06/18,105.9900
Staples,"Office Supplies, Stationery and Accessories",2020/06/18,17.4800
"WORLD SPECTATOR, THE",Advertising,2020/06/19,290.0000
"FOUR-TOWN JOURNAL, THE",Advertising,2020/06/22,15.0000
sendinblue,Licence Renewal,2020/06/22,27.0000
Wheatland Water,Spring Water,2020/06/23,20.0000
"Canora Courier, The",Advertising,2020/06/24,33.0000
Yorkton This Week,Advertising,2020/06/24,85.0000
Yorkton This Week,Advertising,2020/06/24,239.0000
GRASSLANDS NEWS GROUP,Advertising,2020/06/25,150.0000
Nation Builders,Professional Communication Services,2020/06/25,79.7700
Yorkton Film Festival,Advertising,2020/06/25,300.0000
"Rock 98 Five, The",Advertising,2020/06/26,266.0000
FOAM LAKE REVIEW LTD.,Advertising,2020/06/29,133.5000
WADENA NEWS LTD.,Advertising,2020/06/29,89.9600
"WORLD SPECTATOR, THE",Advertising,2020/06/29,203.0000
"Canora Courier, The",Advertising,2020/06/30,94.6600
"Canora Courier, The",Advertising,2020/06/30,97.2400
"Canora Courier, The",Advertising,2020/06/30,33.0000
"Canora Courier, The",Advertising,2020/06/30,33.0000
"Canora Courier, The",Advertising,2020/06/30,97.2400
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,119.4400
"Junction Review, The",Advertising,2020/06/30,69.2200
