"Members – Detailed Contract Expenditures Report – Steinley, Warren – Q2 2021"
Supplier,Description,Date,Total
"ROYAL CANADIAN LEGION, SASKATCHEWAN COMMAND",Advertising,2020/01/28,595.24
SaskTel,Cable and Internet Fees,2020/03/22,74.15
SaskTel,Cable and Internet,2020/04/22,74.15
Affinity Credit Union,Banking Fees and Cheque Orders,2020/05/01,6.00
"Don's Photo ",Voice Communication Equipment,2020/05/19,21.19
WESTERN LITHO PRINTERS,Constituency Mail,2020/05/20,5426.14
SaskTel,Cable and Internet,2020/05/22,74.15
CANADIAN NETWORK BROADCASTING,Advertising,2020/05/25,1079.00
Affinity Credit Union,Banking Fees and Cheque Orders,2020/06/01,3.00
Albert Park Community Ass,Advertising,2020/06/03,5000.00
B&H Photo Customer Service,Voice Communication Equipment,2020/06/08,8.85
"B&H Photo Customer Service ",Voice Communication Equipment,2020/06/08,17.65
Facebook,Advertising,2020/06/10,45.70
"Apple Inc. ",Voice Communication Equipment,2020/06/19,497.00
Dollarama,"Office Supplies, Stationery and Accessories",2020/06/22,107.11
SaskTel,Cable and Internet,2020/06/22,74.15
Costco,Photography and Video Services,2020/06/23,79.19
Regina Red Sox Baseball Inc.,Advertising,2020/06/23,1200.00
Staples,"Office Supplies, Stationery and Accessories",2020/06/24,111.48
Facebook,Advertising,2020/06/28,100.00
"Sign Guys Portables, The",Advertising,2020/06/29,1080.00
Grand & Toy,Cleaning Products,2020/06/30,204.93
Grand & Toy,Other Consumable Supplies From Stores,2020/06/30,24.49
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,544.60
Nimbus Water Shops,Spring Water,2020/06/30,32.90
ACCESS COMMUNICATIONS,Cable and Internet,2020/07/01,193.88
Affinity Credit Union,Banking Fees and Cheque Orders,2020/07/01,3.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,198.88
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,2.00
Bell Mobility – Bell Mobilité,Long Distance,2020/07/01,0.21
Postcard Portables Regina,Advertising,2020/07/01,570.00
Project Pi Consulting Inc.,Web Site Hosting/Domain Name,2020/07/01,567.10
MailChimp,Professional Communication Services,2020/07/06,56.27
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/09,1645.00
Facebook,Advertising,2020/07/10,79.76
"Sign Guys Portables, The",Advertising,2020/07/13,518.40
Softchoice,Client Software Related to Distributed Computing Environment (DCE),2020/07/13,353.49
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,83.62
Norwex Canada,Cleaning Products,2020/07/15,303.00
Norwex Canada,Cleaning Products,2020/07/15,201.34
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,3.68
SaskTel,Cable and Internet,2020/07/22,74.15
Crown Shred & Recycling Inc.,Shredding,2020/07/24,55.00
Facebook,Advertising,2020/07/25,100.00
Rawlco Radio LTD,Advertising,2020/07/27,900.00
Walmart,"Framing, Outside Supplier",2020/07/28,124.92
Kenosee Inn & Cabins,Public Meeting Room Rentals,2020/07/29,34.20
Grand & Toy,Bulk Paper Purchases,2020/07/31,52.12
Grand & Toy,Cleaning Products,2020/07/31,6.99
ACCESS COMMUNICATIONS,Cable and Internet Fees,2020/08/01,193.88
Affinity Credit Union,Banking Fees and Cheque Orders,2020/08/01,3.00
Artmar Enterprises Ltd.,Office Rental and Related Fees,2020/08/01,1300.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,49.89
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,198.88
Postcard Portables Regina,Advertising,2020/08/01,570.00
Project Pi Consulting Inc.,Web Site Hosting/Domain Name,2020/08/01,567.10
4 Imprint,Promotional Items,2020/08/06,1189.90
Mail Chimp,Professional Communication Services,2020/08/06,55.23
Facebook,Advertising,2020/08/10,85.88
"Stripe Shop, The",Promotional Items,2020/08/11,530.00
CANADIAN NETWORK BROADCASTING,Advertising,2020/08/19,4549.00
Cleanfully Yours,Janitorial Services and Maintenance,2020/08/20,530.00
Home Depot,"Office Supplies, Stationery and Accessories",2020/08/21,147.10
SaskTel,Cable and Internet,2020/08/22,74.15
Facebook,Advertising,2020/08/25,100.00
Black Locks Reporter,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/26,314.00
Classic Signs,Advertising,2020/08/30,2160.00
Rawlco Radio LTD,Advertising,2020/08/31,1125.00
"Sign Guys Portables, The",Advertising,2020/08/31,720.00
Tom Lee Music Canada,Photographic Equipment,2020/08/31,267.50
Zoom,Licence Renewal,2020/08/31,212.00
ACCESS COMMUNICATIONS,Public Utilities,2020/09/01,193.88
Artmar Enterprises Ltd.,Office Rental and Related Fees,2020/09/01,1300.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,10.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,199.36
Facebook,Advertising,2020/09/01,40.66
Postcard Portables Regina,Advertising,2020/09/01,570.00
Project Pi Consulting Inc.,Web Site Hosting/Domain Name,2020/09/01,567.10
Karens Collectibles,Promotional Items,2020/09/03,1430.00
MailChimp,Professional Communication Services,2020/09/06,54.44
Rawlco Radio LTD,Advertising,2020/09/08,1575.00
Facebook,Advertising,2020/09/10,80.50
Staples Canada,"Office Supplies, Stationery and Accessories",2020/09/14,42.38
Facebook,Advertising,2020/09/17,100.00
Staples Canada,"Office Supplies, Stationery and Accessories",2020/09/18,18.01
Facebook,Advertising,2020/09/22,19.50
Canada Post – Postes Canada,Courier Services,2020/09/23,347.00
Canada Post – Postes Canada,Courier Services,2020/09/23,14.20
Canada Post – Postes Canada,Courier Services,2020/09/23,14.41
Canada Post – Postes Canada,Courier Services,2020/09/23,23.57
Canada Post – Postes Canada,Courier Services,2020/09/23,9.25
Artmar Enterprises Ltd.,Office Rental and Related Fees,2020/10/01,1300.00
