"Members – Detailed Contract Expenditures Report – Wong, Alice – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8200
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,163.0400
DIVESTOR INVESTMENTS INC.,Office Assistant,2020/06/30,3147.5400
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,121.8300
Grand & Toy,Digital Communication Equipment,2020/06/30,27.5500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,167.5400
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/07/04,24.9900
Walmart,Consumable Items for Constituency Offices (COVID19),2020/07/10,23.9600
Imperial Parking Canada,"Office Rentals, Taxes, Common Area Fees",2020/07/13,263.4600
Shaw Cable,Cable and Internet Fees,2020/07/14,142.2600
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,8.8400
DIVESTOR INVESTMENTS INC.,Office Assistant,2020/07/31,3252.4600
BentallGreenOak (Canada) LP,Office Rental and Related Fees,2020/08/01,3758.7300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,176.2900
Urdu Journal 0826193 B.C. Ltd,Advertising,2020/08/06,63.3800
Imperial Parking Canada,"Office Rentals, Taxes, Common Area Fees",2020/08/11,263.4600
Shaw Cable,Cable and Internet Fees,2020/08/14,142.2600
4 Office Automation Ltd.,Photocopier Rental and Related Costs,2020/08/27,13.1100
DIVESTOR INVESTMENTS INC.,Office Assistant,2020/08/31,3252.4600
BentallGreenOak (Canada) LP,Office Rental and Related Fees,2020/09/01,3758.7300
Canada Post – Postes Canada,Courier Services,2020/09/23,83.2300
Canada Post – Postes Canada,Courier Services,2020/09/23,30.6200
Canada Post – Postes Canada,Courier Services,2020/09/23,11.7000
Canada Post – Postes Canada,Courier Services,2020/09/23,26.9100
Canada Post – Postes Canada,Courier Services,2020/09/30,13.3300
BentallGreenOak (Canada) LP,Office Rental and Related Fees,2020/10/01,3758.7300
