"Members – Detailed Contract Expenditures Report – Young, Kate – Q2 2021"
Supplier,Description,Date,Total
TD Canada Trust,Banking Fees and Cheque Orders,2020/01/31,12.9500
Best Buy,Voice Communication Equipment,2020/03/17,64.9900
TD Canada Trust,Banking Fees and Cheque Orders,2020/03/31,12.9500
Bell,Internet (COVID19),2020/04/06,71.9500
TD Canada Trust,Banking Fees and Cheque Orders,2020/04/30,12.9500
Rogers,Internet (COVID19),2020/05/02,99.9900
Shred-it,Shredding,2020/05/15,99.5400
TD Canada Trust,Banking Fees and Cheque Orders,2020/05/29,12.9500
CENTURION SECURITY,Protection and Alarm Monitoring (Member's Office Budget),2020/06/01,150.0000
JUDOE INC.,Janitorial Services and Maintenance,2020/06/01,196.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,289.3300
Rogers,Internet (COVID19),2020/06/02,99.9900
Shred-it,Shredding,2020/06/15,96.3200
Villager Publications,Advertising,2020/06/15,450.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Rogers,Cable and Internet Fees,2020/06/26,131.8000
Sportswood Printing,"Householders ",2020/06/29,4980.2700
Sportswood Printing,External Printing Costs,2020/06/29,2536.2200
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,81.4900
Grand & Toy,Cleaning Products,2020/06/30,13.1000
TD Canada Trust,Banking Fees and Cheque Orders,2020/06/30,12.9500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,24.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,0.3000
JUDOE INC.,Janitorial Services and Maintenance,2020/07/01,196.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,274.8300
Rogers,Internet (COVID19),2020/07/02,99.9900
Shred-it,Shredding,2020/07/15,97.4400
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.0900
"Clark, Peter",Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/24,650.0000
4 Office Automation,Photocopier Rental and Related Costs,2020/07/26,41.0500
Rogers,Cable and Internet Fees,2020/07/26,120.4200
PRINTERS PLUS,Other Chemical Products,2020/07/29,200.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,427.5200
Grand & Toy,Cleaning Products,2020/07/31,32.9900
PRINTERS PLUS,Photocopier Equipment,2020/07/31,472.0000
TD Canada Trust,Banking Fees and Cheque Orders,2020/07/31,12.9500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,24.0000
JUDOE INC.,Janitorial Services and Maintenance,2020/08/01,196.0000
LAD LONDON HOLDINGS INC.,Office Rental and Related Fees,2020/08/01,2400.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,382.8300
Rogers,Internet (COVID19),2020/08/02,99.9900
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Shred-it,Shredding,2020/08/15,106.0200
Grand & Toy,Other Consumable Supplies From Stores,2020/08/31,25.0000
Grand & Toy,Bulk Paper Purchases,2020/08/31,62.4000
Grand & Toy,Cleaning Products,2020/08/31,61.1300
TD Canada Trust,Banking Fees and Cheque Orders,2020/08/31,12.9500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,24.0000
LAD LONDON HOLDINGS INC.,Office Rental and Related Fees,2020/09/01,2400.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
Bowman Dawn,Photography and Video Services,2020/09/07,350.0000
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,294.5200
Shred-it,Shredding,2020/09/15,128.0600
DA Contracting 1767007 Inc.,Office Renovations,2020/09/17,9380.0000
DA Contracting 1767007 Inc.,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/09/17,2600.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,7.5600
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1900
Canada Post – Postes Canada,Courier Services,2020/09/23,14.5800
Canada Post – Postes Canada,Courier Services,2020/09/23,7.6600
Canada Post – Postes Canada,Courier Services,2020/09/23,5.4000
Canada Post – Postes Canada,Courier Services,2020/09/23,9.3500
Canada Post – Postes Canada,Courier Services,2020/09/23,25.0700
Canada Post – Postes Canada,Courier Services,2020/09/30,53.2500
LAD LONDON HOLDINGS INC.,Office Rental and Related Fees,2020/10/01,2400.0000
