"Members – Detailed Contract Expenditures Report – Blanchet, Yves-François – Q2 2021"
Supplier,Description,Date,Total
CLUB OPTIMISTE DE RICHELIEU,Advertising,2020/04/01,500.00
"Oeil Régional, L'",Advertising,2020/04/29,250.00
Mathieu Pratte Photographie,"Framing, Outside Supplier",2020/05/01,100.00
Vidéotron s.e.n.c,Cable and Internet Fees,2020/05/01,237.85
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/05/02,120.00
Groupe Serrutech,"Office Supplies, Stationery and Accessories",2020/05/11,3.35
Imprimerie Clermont,External Printing Costs,2020/05/12,8.00
"Journal de Chambly, Le",Advertising,2020/05/13,250.00
"Oeil Régional, L'",Advertising,2020/05/13,95.00
Alice confection,Consumable Items for Constituency Offices (COVID19),2020/05/19,50.00
Alice Confection,Consumable Items for Constituency Offices (COVID19),2020/05/19,50.00
Alice Confection,Consumable Items for Constituency Offices (COVID19),2020/05/19,50.00
Alice Confection,Consumable Items for Constituency Offices (COVID19),2020/05/19,50.00
Alice Confection,Consumable Items for Constituency Offices (COVID19),2020/05/19,50.00
Amazon,"Office Supplies, Stationery and Accessories",2020/05/20,75.50
Amazon,"Office Supplies, Stationery and Accessories",2020/05/20,41.98
"Journal de Chambly, Le",Advertising,2020/05/20,460.00
"Oeil Régional, L'",Advertising,2020/05/20,95.00
Peinturelles Inc,Office Renovations,2020/05/20,675.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/05/21,195.13
Mondor,Consumable Items for Constituency Offices (COVID19),2020/05/22,119.00
Journal le Montérégien Inc.,Advertising,2020/05/25,250.00
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.72
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.24
"Oeil Régional, L'",Advertising,2020/05/27,250.00
"Oeil Régional, L'",Advertising,2020/05/27,95.00
"Courrier de Saint-Hyacinthe, Le",Advertising,2020/05/28,530.00
Chambly Ménage,Janitorial Services and Maintenance,2020/05/31,375.00
Amazon,"Office Supplies, Stationery and Accessories",2020/06/01,249.99
"Journal de Chambly, Le",Advertising,2020/06/01,460.00
KGE électronique,"Office Supplies, Stationery and Accessories",2020/06/02,4.90
SOCIÉTÉ CANADIENNE DU CANCER,Advertising,2020/06/02,400.00
Décor Lacelle,Office Decor,2020/06/03,610.00
Jazz Fleur,Office Plants and Flowers,2020/06/03,49.85
"Journal de Chambly, Le",Advertising,2020/06/03,250.00
La maison du zéro déchet,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/03,4.50
"Oeil Régional, L'",Advertising,2020/06/03,95.00
SNQ Richelieu-Saint-Laurent,Advertising,2020/06/03,250.00
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/05,237.85
MARCHÉ PUBLIC CHAMBLY,Advertising,2020/06/06,250.00
Likuid communications,Web Site Hosting/Domain Name,2020/06/10,29.99
"Oeil Régional, L'",Advertising,2020/06/10,95.00
SSJB Richelieu/Yamaska,Gifts given as a matter of protocol,2020/06/10,530.00
Dollarama,Gifts given as a matter of protocol,2020/06/11,129.55
Dollarama,Gifts given as a matter of protocol,2020/06/11,63.00
Dollarama,Gifts given as a matter of protocol,2020/06/11,112.00
Dollarama,Gifts given as a matter of protocol,2020/06/11,70.00
Dollarama,Gifts given as a matter of protocol,2020/06/11,192.50
Dollarama,Gifts given as a matter of protocol,2020/06/11,119.00
Dollarama,Gifts given as a matter of protocol,2020/06/11,154.05
