"Members – Detailed Hospitality Expenditures Report – Blanchet, Yves-François – Q2 2021"
Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2020/04/01,Chambly,0,To meet visitors of Member’s office,Hosting a meeting,M0242314,IGA,19.99
2020/06/04,Chambly,0,To attend staff events including training,Meal at a community activity or event,M0242314,CCIVR,10.00
2020/06/22,Chambly,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0241822,Les Grillades du Fort,49.81
2020/06/22,Chambly,2,To plan Member's priorities and activities,Hosting a meeting,M0241822,La Croisée des chemins,61.49
2020/06/22,Chambly,2,To plan Member's priorities and activities,Hosting a meeting,M0244173,Marché Métro,10.98
2020/06/29,Mont-Saint-Hilaire,1,To plan Member's priorities and activities,Hosting a meeting,M0242291,Piazzetta,14.50
2020/06/29,Mont-Saint-Hilaire,1,To plan Member's priorities and activities,Hosting a meeting,M0241822,Piazzetta St-Hilaire,52.76
2020/06/30,Chambly,4,To meet constituents,Hosting a meeting,M0244173,Métro,50.95
2020/08/03,Shawinigan,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0244645,Restaurant Palace,16.84
2020/08/03,Mont-Saint-Hilaire,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0244645,Grand-mère Poule,54.25
