"Members – Detailed Contract Expenditures Report – van Koeverden, Adam – Q2 2021"
Supplier,Description,Date,Total
SNAPD MILTON,Advertising,2020/04/01,395.0000
BELL CANADA,Cable and Internet Fees,2020/04/04,74.0000
Zoom Video Communications Inc.,Licence Renewal,2020/04/06,20.0000
Star Metroland Media,Advertising,2020/04/19,249.5000
NGP VAN Inc.,Professional Communication Services,2020/04/29,100.0000
NGP VAN Inc.,Professional Communication Services,2020/05/01,100.0000
SNAPD BURLINGTON,Advertising,2020/05/01,450.0000
SNAPD MILTON,Advertising,2020/05/01,640.0000
Star Metroland Media,Advertising,2020/05/03,249.5000
BELL CANADA,Cable and Internet Fees,2020/05/04,74.0000
Star Metroland Media,Advertising,2020/05/17,249.5000
Star Metroland Media,Advertising,2020/05/24,249.5000
Zoom Video Communications Inc.,Licence Renewal,2020/05/26,20.0000
NGP VAN Inc.,Professional Communication Services,2020/06/01,100.0000
SNAPD MILTON,Advertising,2020/06/01,640.0000
BELL CANADA,Cable and Internet Fees,2020/06/04,74.0000
Zoom Video Communications Inc.,Licence Renewal,2020/06/04,47.5500
2656006 Ontario Inc.,Consumable Items for Constituency Offices (COVID19),2020/06/05,909.6500
Star Metroland Media,Advertising,2020/06/07,200.0000
" Squarespace Ireland Ltd.",Web Site Hosting/Domain Name,2020/06/15,40.5600
Squarespace Ireland Ltd.,Web Site Hosting/Domain Name,2020/06/15,35.1500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Allegra,Constituency Mail,2020/06/22,4839.0000
Allegra,Promotional Items,2020/06/24,3971.0000
IKEA,Office Furniture and Fixtures,2020/06/26,318.0000
IKEA,Freight,2020/06/26,59.0000
IKEA,Office Furniture and Fixtures,2020/06/26,160.0000
IKEA,Office Furniture and Fixtures,2020/06/26,299.0000
IKEA,Office Furniture and Fixtures,2020/06/26,99.0000
Zoom Video Communications Inc.,Licence Renewal,2020/06/26,20.0000
Star Metroland Media,Advertising,2020/06/28,199.6600
Star Metroland Media,Advertising,2020/06/28,200.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,901.4400
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,192.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,48.0000
NGP VAN Inc.,Professional Communication Services,2020/07/01,100.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
SNAPD BURLINGTON,Advertising,2020/07/01,231.6600
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,11.2200
Squarespace Ireland Ltd.,Web Site Hosting/Domain Name,2020/07/15,35.2700
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.3300
Penny's Cleaning,Janitorial Services and Maintenance,2020/07/20,62.5000
Zoom Video Communications Inc.,Licence Renewal,2020/07/26,20.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,22.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,30.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,192.0000
"Corporation of the Town of Milton, The",Office Rental and Related Fees,2020/08/01,3500.0000
NGP VAN Inc.,Professional Communication Services,2020/08/01,100.0000
BELL CANADA,Cable and Internet Fees,2020/08/04,74.0000
ETHNIC MEDIA INC.,Advertising,2020/08/06,150.0000
KEY CENTRES LIMITED,Gifts given as a matter of protocol,2020/08/11,445.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Entripy,Advertising,2020/08/20,1919.8800
Italian Cultural Centre of Milton,Advertising,2020/08/21,500.0000
Signarama,Signage,2020/08/24,1831.5000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,84.0000
Grand & Toy,Cleaning Products,2020/08/31,22.5800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,192.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,57.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,30.0000
"Corporation of the Town of Milton, The",Office Rental and Related Fees,2020/09/01,3500.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,205.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,9.7600
Canada Post – Postes Canada,Courier Services,2020/09/23,5.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.2100
Canada Post – Postes Canada,Courier Services,2020/09/23,21.9700
Canada Post – Postes Canada,Courier Services,2020/09/23,7.0800
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,7.3800
Canada Post – Postes Canada,Courier Services,2020/09/23,5.5900
"Corporation of the Town of Milton, The",Office Rental and Related Fees,2020/10/01,3500.0000
