"Members – Detailed Contract Expenditures Report – Alleslev, Leona – Q2 2021"
Supplier,Description,Date,Total
SNAPD RICHMOND HILL,Advertising,2020/04/14,1234.0000
SNAPD RICHMOND HILL,Advertising,2020/05/11,1234.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,254.5400
alectra,Public Utilities,2020/06/12,73.0200
rogers,Cable and Internet Fees,2020/06/14,266.4200
SNAPD RICHMOND HILL,Advertising,2020/06/15,1234.0000
facebook,Advertising,2020/06/24,135.7900
enbridge,Public Utilities,2020/06/25,72.4100
Express Gazeta,Advertising,2020/06/29,60.0000
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/06/30,103.6500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,260.7900
staples,"Office Supplies, Stationery and Accessories",2020/07/02,53.9300
shopper's drug mart,"Office Supplies, Stationery and Accessories",2020/07/08,14.2800
Rogers,Cable and Internet Fees,2020/07/14,266.4200
alectra,Public Utilities,2020/07/15,167.0800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.4700
facebook,Advertising,2020/07/24,120.8300
enbridge,Public Utilities,2020/07/27,73.2400
Fresh Start Janitorial Services,Janitorial Services and Maintenance,2020/07/29,250.0000
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/29,2798.0000
House of Commons – Chambre des communes,Language Training,2020/07/31,27.6400
BALLYMORE CORPORATE CENTRE INC.,Office Rental and Related Fees,2020/08/01,2077.6700
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,406.5000
Snapd Inc,Advertising,2020/08/01,1235.0000
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/08/02,140.9700
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/08/12,117.6000
Rogers,Cable and Internet Fees,2020/08/14,266.4200
alectra,Public Utilities,2020/08/17,161.7300
facebook,Advertising,2020/08/24,223.9800
Enbridge,Public Utilities,2020/08/26,72.1200
BALLYMORE CORPORATE CENTRE INC.,Office Rental and Related Fees,2020/09/01,2077.6700
Canada Computers,"Office Supplies, Stationery and Accessories",2020/09/11,99.0900
Canada Computers,"Office Supplies, Stationery and Accessories",2020/09/11,15.9800
alectra,Public Utilities,2020/09/15,121.1900
Canada Post – Postes Canada,Courier Services,2020/09/23,8.0600
Canada Post – Postes Canada,Courier Services,2020/09/23,5.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,11.6100
Canada Post – Postes Canada,Courier Services,2020/09/23,7.6100
Canada Post – Postes Canada,Courier Services,2020/09/23,7.3800
Canada Post – Postes Canada,Courier Services,2020/09/23,6.9000
Canada Post – Postes Canada,Courier Services,2020/09/23,6.0300
Canada Post – Postes Canada,Courier Services,2020/09/30,10.3000
BALLYMORE CORPORATE CENTRE INC.,Office Rental and Related Fees,2020/10/01,2077.6700
