"Members – Detailed Contract Expenditures Report – Amos, William – Q2 2021"
Supplier,Description,Date,Total
"Labelle, Celine",Janitorial Services and Maintenance,2019/05/31,150.0000
"Labelle, Celine",Janitorial Services and Maintenance,2019/06/30,120.0000
Rumours Resto-Café,Advertising,2019/07/01,125.0000
"Labelle, Celine",Janitorial Services and Maintenance,2019/07/31,150.0000
COMITÉ DES LOISIRS DE BOIS-FRANC,Advertising,2019/08/14,200.0000
"Labelle, Celine",Janitorial Services and Maintenance,2019/08/31,120.0000
"Labelle, Celine",Janitorial Services and Maintenance,2019/10/31,120.0000
"Labelle, Celine",Janitorial Services and Maintenance,2019/12/31,150.0000
"Labelle, Celine",Janitorial Services and Maintenance,2020/01/31,120.0000
SHENZHENSHI,Voice Communication Equipment,2020/02/10,57.9900
ENTRETIEN ST-JEAN,Janitorial Services and Maintenance,2020/02/29,392.0000
PONTIAC PRINTSHOP LIMITED,"Office Supplies, Stationery and Accessories",2020/03/11,174.4100
PONTIAC PRINTSHOP LIMITED,"Office Supplies, Stationery and Accessories",2020/03/12,274.2000
PONTIAC PRINTSHOP LIMITED,"Office Supplies, Stationery and Accessories",2020/03/12,39.9000
PONTIAC PRINTSHOP LIMITED,"Office Supplies, Stationery and Accessories",2020/03/12,56.2000
PONTIAC PRINTSHOP LIMITED,"Office Supplies, Stationery and Accessories",2020/03/12,33.9600
PONTIAC PRINTSHOP LIMITED,"Office Supplies, Stationery and Accessories",2020/03/12,213.9400
PONTIAC PRINTSHOP LIMITED,"Office Supplies, Stationery and Accessories",2020/03/12,133.1800
Recherche et Sauvetage Vallée-de-la-Gatineau,Advertising,2020/03/26,250.0000
CHGA-FM,Advertising,2020/03/31,175.0000
CHGA-FM,Advertising,2020/03/31,900.0000
CIBC,Banking Fees and Cheque Orders,2020/03/31,13.5000
CIBC,Banking Fees and Cheque Orders,2020/03/31,12.5000
ENTRETIEN ST-JEAN,Janitorial Services and Maintenance,2020/03/31,168.0000
Soccer Outaouais,Advertising,2020/03/31,500.0000
Jan-Pro Canada Est inc.,Janitorial Services and Maintenance,2020/04/01,75.0000
NGP VAN,Professional Communication Services,2020/04/01,100.0000
LOW DOWN TO HULL AND BACK NEWS,Advertising,2020/04/15,1950.0000
PONTIAC PRINTSHOP LIMITED,Advertising,2020/04/22,473.0000
West Québec Post,Advertising,2020/04/24,645.0000
Télébec S.E.C,Cable and Internet Fees,2020/04/28,79.4300
JOURNAL L'ENVOL,Advertising,2020/04/29,1247.0000
CIBC,Banking Fees and Cheque Orders,2020/04/30,11.5000
Jan-Pro Canada Est inc.,Janitorial Services and Maintenance,2020/05/01,75.0000
NGP VAN,Professional Communication Services,2020/05/01,100.0000
ZOOM,Licence Renewal,2020/05/05,20.0000
FACEBOOK,Advertising,2020/05/18,30.0000
PONTIAC PRINTSHOP LIMITED,Advertising,2020/05/19,204.4000
PONTIAC JOURNAL DU PONTIAC,Advertising,2020/05/20,277.0000
Tek Savvy Solutions Inc.,Cable and Internet Fees,2020/05/20,164.9000
ZOOM,Licence Renewal,2020/05/21,30.7700
