"Members – Detailed Contract Expenditures Report – Anandasangaree, Gary – Q2 2021"
Supplier,Description,Date,Total
Star Metroland Media,Advertising,2020/05/31,160.0000
RECOPIERS,Repair of Office Equipment,2020/06/01,300.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,203.0000
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/06/02,45.0000
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/06/02,144.8700
Star Metroland Media,Advertising,2020/06/07,160.0000
"Staples Canada ",Consumable Items for Constituency Offices (COVID19),2020/06/12,35.9400
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/06/13,23.9600
Star Metroland Media,Advertising,2020/06/14,160.0000
NGP VAN Inc.,License/Maintenance fees for Application Software and Application Development and Delivery Software,2020/06/16,85.3900
Apex Creations,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/19,470.0000
Star Metroland Media,Advertising,2020/06/21,160.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,35.1200
Walmart Canada,Consumable Items for Constituency Offices (COVID19),2020/06/26,35.5200
"Costco Wholesale ",Consumable Items for Constituency Offices (COVID19),2020/06/28,15.9900
Star Metroland Media,Advertising,2020/06/28,160.0000
Applia-IT inc.,Other Training and Conferences,2020/06/29,700.0000
"Dollarama Canada ","Office Supplies, Stationery and Accessories",2020/06/29,27.5500
Dollarama Canada,"Office Supplies, Stationery and Accessories",2020/06/30,2.5000
"Dollarama Canada ",Pins and Flags,2020/06/30,17.5000
"Dollarama Canada ","Office Supplies, Stationery and Accessories",2020/06/30,5.0000
Enterprise Rental,Equipment Rental (non-hospitality related),2020/06/30,140.8800
Grand & Toy,Cleaning Products,2020/06/30,224.7200
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/30,46.5900
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,33.6500
Long & McQuade Musical Instruments,Equipment Rental (non-hospitality related),2020/06/30,58.0000
"Staples Canada ","Office Supplies, Stationery and Accessories",2020/06/30,9.5400
"Chandrakumar, Supendra",Photography and Video Services,2020/07/01,250.0000
NGP VAN Inc.,License/Maintenance fees for Application Software and Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,189.0000
"Stephenson's Rental Services ",Equipment Rental (non-hospitality related),2020/07/02,77.5000
Staples Canada,"Office Supplies, Stationery and Accessories",2020/07/04,38.9800
Star Metroland Media,Advertising,2020/07/05,160.0000
