"Members – Detailed Contract Expenditures Report – Angus, Charlie – Q2 2021"
Supplier,Description,Date,Total
Purolator,Courier Services,2020/03/13,29.7700
comtec computers,"Office Supplies, Stationery and Accessories",2020/03/20,34.9800
Purolator,Courier Services,2020/03/20,18.8600
Purolator,Courier Services,2020/03/27,5.8900
Caisse Populaire,Banking Fees and Cheque Orders,2020/03/31,9.0000
CJKL-FM,Advertising,2020/03/31,547.2000
Caisse Populaire,Banking Fees and Cheque Orders,2020/04/01,5.0000
Purolator,Courier Services,2020/04/03,5.8900
Purolator,Courier Services,2020/04/10,16.2700
TeckSavvy,Internet (COVID19),2020/04/16,39.9500
Canada Post,Postage and Parcel Post,2020/04/17,14.5400
Purolator,Courier Services,2020/04/17,5.6800
Home Hardware,"Office Supplies, Stationery and Accessories",2020/04/23,13.7500
LE5 COMMUNICATIONS INC.,Advertising,2020/04/30,345.0000
Caisse Populaire,Banking Fees and Cheque Orders,2020/05/01,12.0000
Purolator,Courier Services,2020/05/22,5.4800
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.5400
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.4400
Caisse Populaire,Banking Fees and Cheque Orders,2020/06/01,7.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,270.0400
Canadian Tire,"Office Supplies, Stationery and Accessories",2020/06/03,116.9800
Zoom,Licence Renewal,2020/06/08,20.0000
comtec computers,"Office Supplies, Stationery and Accessories",2020/06/15,28.9600
comtec computers,Toner,2020/06/15,118.8500
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/06/16,169.1500
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2020/06/16,260.0000
TeckSavvy,Internet (COVID19),2020/06/16,44.9500
Publication Voyageur,Advertising,2020/06/17,63.2100
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/06/18,-0.1500
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/20,44.9900
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,210.9200
EASTLINK,Cable and Internet Fees,2020/06/24,271.4700
Publication Voyageur,Advertising,2020/06/24,63.2100
Purolator,Courier Services,2020/06/26,5.3800
"Chartrand, Tina",Janitorial Services and Maintenance,2020/06/30,200.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,64.0000
"Brady, Jesse",Research Consultants,2020/07/01,2090.7000
CENTRE DE FORMATION COCHRANE IROQUOIS-FALLS,Public Meeting Rooms,2020/07/01,100.0000
LE5 COMMUNICATIONS INC.,Advertising,2020/07/01,111.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,289.7900
Zoom,Licence Renewal,2020/07/08,20.0000
Coldwell Banker Temiskaming Realty Ltd. Brokerage,Constit Office Lease Deposit,2020/07/13,900.0000
TeckSavvy,Internet (COVID19),2020/07/16,44.9500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,10.5600
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,155.0400
Staples,"Office Supplies, Stationery and Accessories",2020/07/28,14.4900
Staples,Toner,2020/07/28,133.9900
Staples,Toner,2020/07/28,133.9900
Staples,Computer Equipment,2020/07/28,379.9900
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,2.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,64.0000
ENCORE CLUB OF KIRKLAND LAKE INC.,Office Rental and Related Fees,2020/08/01,676.9000
G.R. BELANGER ENTERPRISES LTD.,Office Rental and Related Fees,2020/08/01,2124.8500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,356.0400
Zoom,Licence Renewal,2020/08/08,20.0000
Canada Post,Postage and Parcel Post,2020/08/14,17.3600
YELLOW PAGES GROUP,Advertising,2020/08/20,363.2200
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,71.0400
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/08/25,2010.0000
Canada Post,Postage and Parcel Post,2020/08/27,17.0400
"RINCON, RAUL",Communications Officer,2020/08/28,770.0000
"Chartrand, Tina",Janitorial Services and Maintenance,2020/08/31,200.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,26.3900
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,457.5300
Grand & Toy,Bulk Paper Purchases,2020/08/31,39.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,64.0000
ENCORE CLUB OF KIRKLAND LAKE INC.,Office Rental and Related Fees,2020/09/01,676.9000
G.R. BELANGER ENTERPRISES LTD.,Office Rental and Related Fees,2020/09/01,2124.8500
Publication Voyageur,Advertising,2020/09/02,63.0000
Zoom,Licence Renewal,2020/09/08,20.0000
Publication Voyageur,Advertising,2020/09/16,63.0000
Canada Post – Postes Canada,Courier Services,2020/09/30,29.0600
Azure Production Inc.,Office Rental and Related Fees,2020/10/01,900.0000
G.R. BELANGER ENTERPRISES LTD.,Office Rental and Related Fees,2020/10/01,2124.8500
