"Members – Detailed Travel Expenditures Report – Bachrach, Taylor – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203019,2020/05/10,2020/07/25,,,,,,,0.0000,74.0900,0.0000,0,0,0,74.0900
T0203019,2020/05/10,2020/07/25,"Bachrach, Taylor",Member,Secondary Residence,2020/06/25,Ottawa,Ottawa,,,,,,,
T0203019,2020/05/10,2020/07/25,"Bachrach, Taylor",Member,Secondary Residence,2020/05/10,Ottawa,Ottawa,,,,,,,
T0203462,2020/06/10,2020/08/25,,,,,,,0.0000,81.8200,0.0000,0,0,0,81.8200
T0203462,2020/06/10,2020/08/25,"Bachrach, Taylor",Member,Secondary Residence,2020/06/10,Ottawa,Ottawa,,,,,,,
T0203462,2020/06/10,2020/08/25,"Bachrach, Taylor",Member,Secondary Residence,2020/07/25,Ottawa,Ottawa,,,,,,,
T0204325,2020/07/10,2020/09/25,,,,,,,0.0000,80.6800,0.0000,0,0,0,80.6800
T0204325,2020/07/10,2020/09/25,"Bachrach, Taylor",Member,Secondary Residence,2020/08/25,Ottawa,Ottawa,,,,,,,
T0204325,2020/07/10,2020/09/25,"Bachrach, Taylor",Member,Secondary Residence,2020/07/10,Ottawa,Ottawa,,,,,,,
T0203463,2020/07/15,2020/07/24,,,,,,,714.7700,700.8200,483.5100,0.0000,0,0,1899.1000
T0203463,2020/07/15,2020/07/24,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2020/07/15,Smithers,Granisle,,,,,,,
T0203463,2020/07/15,2020/07/24,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2020/07/19,Smithers,Terrace,,,,,,,
T0203463,2020/07/15,2020/07/24,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2020/07/21,Terrace,Gingolx,,,,,,,
T0203463,2020/07/15,2020/07/24,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2020/07/22,Terrace,Terrace,,,,,,,
T0203463,2020/07/15,2020/07/24,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2020/07/23,Terrace,Kitimat,,,,,,,
T0203463,2020/07/15,2020/07/24,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2020/07/23,Terrace,Kitimat,,,,,,,
T0203463,2020/07/15,2020/07/24,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2020/07/23,Terrace,Kitimat,,,,,,,
T0203463,2020/07/15,2020/07/24,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2020/07/23,Terrace,Kitimat,,,,,,,
T0203463,2020/07/15,2020/07/24,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2020/07/23,Terrace,Kitimat,,,,,,,
T0203463,2020/07/15,2020/07/24,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2020/07/23,Terrace,Kitimat,,,,,,,
T0203463,2020/07/15,2020/07/24,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2020/07/23,Terrace,Kitimat,,,,,,,
T0203463,2020/07/15,2020/07/24,"Bachrach, Taylor",Member,To attend meetings about constituency issues,2020/07/23,Terrace,Kitimat,,,,,,,
