"Members – Detailed Contract Expenditures Report – Bagnell, Larry – Q2 2021"
Supplier,Description,Date,Total
Harper Street Publishing Inc.,Advertising,2020/02/15,969.0000
Harper Street Publishing Inc.,Advertising,2020/02/15,795.0000
Tek Savvy,Internet (COVID19),2020/04/15,44.9500
NORTHWESTEL INC,Internet (COVID19),2020/04/22,79.9500
NORTHWESTEL INC,Internet (COVID19),2020/04/22,79.9500
MAK BUILDING MAINTENANCE,Janitorial Services and Maintenance,2020/04/30,250.0000
PR SERVICES LTD.,Web Site Hosting/Domain Name,2020/05/05,99.7500
Canada Post,Postage and Parcel Post,2020/05/12,9.7500
Harper Street Publishing Inc.,Advertising,2020/05/15,969.0000
KLONDIKE BUISNESS SOLUTIONS,Photocopier Rental and Related Costs,2020/05/29,183.8800
NORTHWESTEL INC,Cable and Internet Fees,2020/06/02,481.8000
Home Hardware Building Centre,Office Plants and Flowers,2020/06/05,25.4700
Walmart,Consumable Items for Constituency Offices (COVID19),2020/06/07,12.0000
Wal-Mart,"Office Supplies, Stationery and Accessories",2020/06/07,20.0000
The Source,"Office Supplies, Stationery and Accessories",2020/06/10,77.9800
Staples,"Office Supplies, Stationery and Accessories",2020/06/11,4.2900
Canada Post,Postage and Parcel Post,2020/06/12,129.0000
TekSavvy,Internet (COVID19),2020/06/15,49.9500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
LOCKSMITH SERVICES,"Office Supplies, Stationery and Accessories",2020/06/18,15.0000
Northwestel,Internet (COVID19),2020/06/22,79.9500
Northwestel,Internet (COVID19),2020/06/22,79.9500
Canada Post,Postage and Parcel Post,2020/06/26,16.9000
Klondike Business Solutions,Photocopier Rental and Related Costs,2020/06/30,33.9000
MAK BUILDING MAINTENANCE,Janitorial Services and Maintenance,2020/06/30,250.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,152.8800
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,28.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Spectrum Security-Sound Ltd.,Protection and Alarm Monitoring (Member's Office Budget),2020/07/01,74.9700
NORTHWESTEL INC,Cable and Internet Fees,2020/07/02,501.1400
Canada Post,Postage and Parcel Post,2020/07/09,15.5700
WalMart,Consumable Items for Constituency Offices (COVID19),2020/07/12,39.9000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.3300
Klondike Business Solutions,Photocopier Rental and Related Costs,2020/07/31,83.6300
Lanix PM Ltd,Janitorial Services and Maintenance,2020/07/31,52.0000
MAK BUILDING MAINTENANCE,Janitorial Services and Maintenance,2020/07/31,250.0000
535851 YUKON INC,Office Rental and Related Fees,2020/08/01,3775.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,152.8800
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,20.0000
NORTHWESTEL INC,Cable and Internet Fees,2020/08/02,498.8700
Staples,"Office Supplies, Stationery and Accessories",2020/08/06,38.4200
Coles,"Office Supplies, Stationery and Accessories",2020/08/13,29.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0400
MAK BUILDING MAINTENANCE,Janitorial Services and Maintenance,2020/08/26,250.0000
535851 YUKON INC,Office Rental and Related Fees,2020/09/01,3775.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,8.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,152.8800
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Staples,"Office Supplies, Stationery and Accessories",2020/09/08,92.4900
Renueva,Consumable Items for Constituency Offices (COVID19),2020/09/15,20.0000
Canada Post,Postage and Parcel Post,2020/09/17,15.2500
Canada Post – Postes Canada,Courier Services,2020/09/23,14.7700
Canada Post – Postes Canada,Courier Services,2020/09/23,15.1000
Canada Post – Postes Canada,Courier Services,2020/09/23,15.0600
Canada Post – Postes Canada,Courier Services,2020/09/23,9.5300
Canada Post – Postes Canada,Courier Services,2020/09/23,10.2300
Canada Post – Postes Canada,Courier Services,2020/09/23,10.0300
Canada Post – Postes Canada,Courier Services,2020/09/23,14.7700
Canada Post – Postes Canada,Courier Services,2020/09/23,16.5100
Canada Post – Postes Canada,Courier Services,2020/09/23,96.3900
Canada Post – Postes Canada,Courier Services,2020/09/23,10.8800
Canada Post – Postes Canada,Courier Services,2020/09/23,9.3300
535851 YUKON INC,Office Rental and Related Fees,2020/10/01,3775.0000
