"Members – Detailed Travel Expenditures Report – Baldinelli, Tony – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202836,2020/05/25,2020/06/26,,,,,,,98.9700,0.0000,0.0000,0.0000,0,0,98.9700
T0202836,2020/05/25,2020/06/26,"Baldinelli, Tony",Member,To attend a constituency or community event,2020/05/25,Niagara Falls,Fort Erie,,,,,,,
T0202836,2020/05/25,2020/06/26,"Baldinelli, Tony",Member,To attend meetings about constituency issues,2020/06/26,Niagara Falls,Niagara Falls,,,,,,,
T0202836,2020/05/25,2020/06/26,"Baldinelli, Tony",Member,To attend a constituency or community event,2020/05/25,Fort Erie,Niagara Falls,,,,,,,
T0202836,2020/05/25,2020/06/26,"Baldinelli, Tony",Member,To attend a constituency or community event,2020/06/09,Niagara Falls,Niagara-on-the-Lake,,,,,,,
T0202836,2020/05/25,2020/06/26,"Baldinelli, Tony",Member,To attend a constituency or community event,2020/06/09,Niagara-on-the-Lake,Niagara Falls,,,,,,,
T0202836,2020/05/25,2020/06/26,"Baldinelli, Tony",Member,To attend meetings about constituency issues,2020/06/11,Niagara Falls,Fort Erie,,,,,,,
T0202836,2020/05/25,2020/06/26,"Baldinelli, Tony",Member,To attend meetings about constituency issues,2020/06/11,Fort Erie,Niagara Falls,,,,,,,
T0202836,2020/05/25,2020/06/26,"Baldinelli, Tony",Member,To attend a constituency or community event,2020/06/12,Niagara Falls,Niagara Falls,,,,,,,
T0202836,2020/05/25,2020/06/26,"Baldinelli, Tony",Member,To attend a constituency or community event,2020/06/19,Niagara Falls,Niagara Falls,,,,,,,
T0202836,2020/05/25,2020/06/26,"Baldinelli, Tony",Member,To attend a constituency or community event,2020/06/24,Niagara Falls,Niagara-on-the-Lake,,,,,,,
T0202415,2020/05/31,2020/06/06,,,,,,,95.6300,0.0000,0.0000,0,0,0,95.6300
T0202415,2020/05/31,2020/06/06,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2020/05/31,Niagara Falls,Ottawa,,,,,,,
T0202415,2020/05/31,2020/06/06,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2020/06/06,Ottawa,Niagara Falls,,,,,,,
T0202846,2020/06/14,2020/06/18,,,,,,,635.3600,0.0000,0.0000,1.0000,0,0,635.3600
T0202846,2020/06/14,2020/06/18,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2020/06/14,Niagara Falls,Ottawa,,,,,,,
T0202846,2020/06/14,2020/06/18,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2020/06/18,Ottawa,Niagara Falls,,,,,,,
T0202838,2020/06/25,2020/06/25,,,,,,,15.2400,0.0000,0.0000,0,1.0000,0,15.2400
T0202838,2020/06/25,2020/06/25,"Baldinelli, Tony",Member,To attend an event as a matter of protocol,2020/06/25,Niagara Falls,St. Catharines,,,,,,,
T0202838,2020/06/25,2020/06/25,"Baldinelli, Tony",Member,To attend an event as a matter of protocol,2020/06/25,St. Catharines,Niagara Falls,,,,,,,
200430668,2020/08/01,2020/08/31,,,,,,,0.0000,2469.0000,0.0000,0,0,0,2469.0000
200430668,2020/08/01,2020/08/31,"Baldinelli, Tony",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204429,2020/08/31,2020/08/31,,,,,,,76.0400,0.0000,0.0000,0,1.0000,0,76.0400
T0204429,2020/08/31,2020/08/31,"Baldinelli, Tony",Member,To attend meetings about constituency issues,2020/08/31,Niagara Falls,Hamilton (City / Ville),,,,,,,
T0204429,2020/08/31,2020/08/31,"Baldinelli, Tony",Member,To attend meetings about constituency issues,2020/08/31,Hamilton (City / Ville),Niagara Falls,,,,,,,
200437150,2020/09/01,2020/09/30,,,,,,,0.0000,2469.0000,0.0000,0,0,0,2469.0000
200437150,2020/09/01,2020/09/30,"Baldinelli, Tony",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0205143,2020/09/08,2020/09/11,,,,,,,623.2600,0.0000,0.0000,1.0000,0,0,623.2600
T0205143,2020/09/08,2020/09/11,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2020/09/08,Niagara Falls,Ottawa,,,,,,,
T0205143,2020/09/08,2020/09/11,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2020/09/11,Ottawa,Niagara Falls,,,,,,,
T0205145,2020/09/15,2020/09/17,,,,,,,178.6400,533.6300,0.0000,0,0.0000,0,712.2700
T0205145,2020/09/15,2020/09/17,"Baldinelli, Tony",Member,To attend a regional or provincial caucus meeting,2020/09/15,Niagara Falls,New Tecumseth,,,,,,,
T0205145,2020/09/15,2020/09/17,"Baldinelli, Tony",Member,To attend a regional or provincial caucus meeting,2020/09/15,New Tecumseth,Niagara Falls,,,,,,,
200442010,2020/10/01,2020/10/31,,,,,,,0.0000,2469.0000,0.0000,0,0,0,2469.0000
200442010,2020/10/01,2020/10/31,"Baldinelli, Tony",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
