"Members – Detailed Contract Expenditures Report – Beaulieu, Mario – Q2 2021"
Supplier,Description,Date,Total
"Duval-Laplante, Mathilde",Advertising,2020/04/30,250.0000
AQDR-PDI,Advertising,2020/05/01,500.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/05/05,157.4700
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,46.7500
Antre-Jeunes de Mercier-Est,Advertising,2020/06/04,250.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/05,156.6500
Walmart,"Office Supplies, Stationery and Accessories",2020/06/12,41.1500
"Roy, Mathieu",Office Assistant,2020/06/15,1260.0000
ADD TRONIQUE,Computer Equipment,2020/06/16,59.9900
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/06/16,106.9800
AQDR Pointe-de-l'île Montréal,Advertising,2020/06/17,500.0000
Boucherie AAA,Gifts given as a matter of protocol,2020/06/17,100.0000
2866-2120 QUEBEC INC.,"Householders ",2020/06/19,6475.9000
Groupe Archambault Inc,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/19,29.4900
Addison,Photographic Equipment,2020/06/23,199.9900
AFPAD,Advertising,2020/06/23,500.0000
Centre des familles exceptionnelles,Advertising,2020/06/25,500.0000
Centre des Femmes de Montréal-Est/Point-aux-Trembles,Advertising,2020/06/26,500.0000
Métro Média,Advertising,2020/06/27,190.0000
Métro Média,Advertising,2020/06/27,913.0000
Images Polar,Advertising,2020/06/29,434.8800
Costco,"Office Supplies, Stationery and Accessories",2020/06/30,103.0300
Ikea,"Office Supplies, Stationery and Accessories",2020/06/30,251.6400
"Tremblay, Pierre",Janitorial Services and Maintenance,2020/06/30,370.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,32.9800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,129.8400
Bell Mobility – Bell Mobilité,Long Distance,2020/07/01,0.4000
BERA marketing,Advertising,2020/07/01,250.0000
L'aut'journal,Advertising,2020/07/01,560.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,46.7500
ACPVPAT,Advertising,2020/07/08,500.0000
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/09,4020.0000
PC Suprême,Repair of Computer Equipment and Peripherals,2020/07/10,301.9700
Métro Média,Advertising,2020/07/11,616.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,197.1400
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.7700
Baseball Tétreaultville,Advertising,2020/07/22,500.0000
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/27,270.8600
Bureau en gros,Computer Software,2020/07/30,259.9800
"Amis de la culture de la Pointe, Les",Advertising,2020/07/31,250.0000
"Tremblay, Pierre",Janitorial Services and Maintenance,2020/07/31,370.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,129.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,30.0000
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,22.2800
HAMELIN CONSULTANTS ING,Office Rental and Related Fees,2020/08/01,2700.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,46.7500
Version Image Plus Inc.,Advertising,2020/08/01,1908.0000
Version Image Plus Inc.,Advertising,2020/08/01,1029.0000
PASM,Advertising,2020/08/04,500.0000
Walmart,"Office Supplies, Stationery and Accessories",2020/08/06,16.0400
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/07,179.7200
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/08/12,127.8100
SSJB Richelieu/Yamaska,Gifts given as a matter of protocol,2020/08/19,545.0000
Maison des Jeunes de Pointe-aux-Trembles,Advertising,2020/08/20,500.0000
Walmart,Cleaning Products,2020/08/21,3.9700
"Racine, Jean-Francois",Office Assistant,2020/08/24,2880.0000
canadian tire,"Office Supplies, Stationery and Accessories",2020/08/25,59.9900
"Tremblay, Pierre",Janitorial Services and Maintenance,2020/08/25,370.0000
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/08/28,201.4100
Vidéotron s.e.n.c,Cable and Internet,2020/08/28,104.9500
Dollar Max Depot,"Office Supplies, Stationery and Accessories",2020/08/30,8.3400
Dollorama,"Office Supplies, Stationery and Accessories",2020/08/30,14.5000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,129.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,193.9000
HAMELIN CONSULTANTS ING,Office Rental and Related Fees,2020/09/01,2700.0000
