"Members – Detailed Contract Expenditures Report – Bendayan, Rachel – Q2 2021"
Supplier,Description,Date,Total
Centre Publicitaire Québec,Advertising,2020/02/13,350.0000
VIRGIN MOBILE,Internet (COVID19),2020/04/03,40.0000
VIRGIN MOBILE,Internet (COVID19),2020/04/10,30.0000
"VIRGIN MOBILE ",Internet (COVID19),2020/05/03,40.0000
VIRGIN MOBILE,Internet (COVID19),2020/05/10,30.0000
Choice Communication (Canada) Ltd.,Advertising,2020/05/23,164.7700
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Google,Professional Communication Services,2020/05/31,11.5000
VIRGIN MOBILE,Internet (COVID19),2020/06/03,40.0000
BEST BUY,Computer Equipment,2020/06/08,139.9900
BEST BUY,Toner,2020/06/08,103.9900
VIRGIN MOBILE,Internet (COVID19),2020/06/10,30.0000
Grandes Oreilles,Advertising,2020/06/12,300.0000
Vidéotron,Cable and Internet Fees,2020/06/12,122.9400
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
CLAN CREATIF INC.,Professional Communication Services,2020/06/19,95.2000
"Flag Shop, Le",Pins and Flags,2020/06/25,3168.0000
SEQEC INC.,Janitorial Services and Maintenance,2020/06/30,150.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,190.9200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,224.3500
NGP VAN Inc.,Professional Communication Services,2020/07/01,100.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
JOURNAL D'OUTREMONT,Advertising,2020/07/03,485.0000
"VIRGIN MOBILE ",Internet (COVID19),2020/07/03,40.0000
Montyca Services Inc.,Consumable Items for Constituency Offices (COVID19),2020/07/06,164.5000
SDC Expérience Côte-des-neiges,Advertising,2020/07/07,1000.0000
Vidéotron,Cable and Internet Fees,2020/07/10,122.9400
VIRGIN MOBILE,Internet (COVID19),2020/07/10,30.0000
Point Productions,Professional Communication Services,2020/07/13,180.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,11.3800
Nich Guilbault Illustrations & Design,Professional Communication Services,2020/07/31,30.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,190.9200
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,0.0500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,140.7600
Cent Cinquante Quatre  AVE. LAURIER OUEST,Office Rental and Related Fees,2020/08/01,4100.0000
NGP VAN,Professional Communication Services,2020/08/01,100.0000
SEQEC INC.,Janitorial Services and Maintenance,2020/08/03,150.0000
VIRGINE MOBILE,Internet (COVID19),2020/08/03,40.0000
DIGITAL RIVER for Webex,Licence Renewal,2020/08/07,226.0000
SEQEC INC.,Janitorial Services and Maintenance,2020/08/10,50.0000
VIRGIN  MOBILE,Internet (COVID19),2020/08/10,30.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0400
VIDEOTRON,Cable and Internet Fees,2020/08/14,122.9400
"Nich Guilbault Illustrations ",Professional Communication Services,2020/08/24,240.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,190.9200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,260.7800
Cent Cinquante Quatre  AVE. LAURIER OUEST,Office Rental and Related Fees,2020/09/01,4100.0000
NGP VAN,Professional Communication Services,2020/09/01,100.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
SEQEC INC.,Janitorial Services and Maintenance,2020/09/01,150.0000
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/09/10,44.9700
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/09/10,44.9700
"VIDEOTRON ",Cable and Internet Fees,2020/09/11,122.9400
BENEMAX Health and Wellness,Consumable Items for Constituency Offices (COVID19),2020/09/14,660.0000
Les Laboratoires MZL inc,Consumable Items for Constituency Offices (COVID19),2020/09/14,187.5000
Canada Post – Postes Canada,Courier Services,2020/09/23,14.2200
Cent Cinquante Quatre  AVE. LAURIER OUEST,Office Rental and Related Fees,2020/10/01,4100.0000
