"Members – Detailed Contract Expenditures Report – Bergen, Candice – Q2 2021"
Supplier,Description,Date,Total
Postmedia Network Inc.,Advertising,2019/12/31,52.5000
Postmedia Network Inc.,Advertising,2020/02/29,1544.0000
"Solutions IT ",Licence Renewal,2020/04/01,23.5400
le Montagnard,Advertising,2020/04/17,15.0000
"Shaw Direct ",Cable and Internet,2020/04/17,66.3400
"Zoom ",Licence Renewal,2020/04/22,20.0000
Bell MTS,Cable and Internet Fees,2020/05/01,114.9500
"Solutions IT ",Licence Renewal,2020/05/01,23.5400
"Connie's Cleaning ",Janitorial Services and Maintenance,2020/05/15,56.2500
"Southeast Journal ",Advertising,2020/05/15,25.0000
"Shaw Direct ",Cable and Internet,2020/05/17,66.3400
"Shaw Direct ",Cable and Internet Fees,2020/05/17,67.6800
Big And Colourful,Advertising,2020/05/19,480.9000
Go Daddy,Web Site Hosting/Domain Name,2020/05/20,10.1600
"Go Daddy ",Web Site Hosting/Domain Name,2020/05/20,13.9900
"The Graphic Leader ","Printed Matter, Books, Newspapers and Subscriptions",2020/05/21,70.8000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8200
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
"Connie's Cleaning ",Janitorial Services and Maintenance,2020/05/29,50.0000
Big And Colourful,Advertising,2020/05/30,446.2500
Home Hardware,Spring Water,2020/05/31,12.0000
Bell MTS,Cable and Internet Fees,2020/06/01,114.9500
Bell MTS,Cable and Internet Fees,2020/06/01,0.6400
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,277.0000
Solutions IT,Licence Renewal,2020/06/01,22.0000
"Connie's Cleaning ",Janitorial Services and Maintenance,2020/06/12,43.7500
"Shaw Direct ",Cable and Internet Fees,2020/06/17,62.0000
"Walmart ",Office Furniture and Fixtures,2020/06/19,123.0000
Canstar Community News,Advertising,2020/06/20,356.4300
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2020/06/22,500.0000
SENTINEL COURIER,Advertising,2020/06/22,99.7500
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/24,56.2400
JEWISH POST & NEWS,Advertising,2020/06/24,107.0000
SOUTHEAST JOURNAL,Advertising,2020/06/26,340.0000
"The Western Canadian ",Advertising,2020/06/26,90.0000
"Zoom Video Communications ",Licence Renewal,2020/06/26,21.0000
Canstar Community News,Advertising,2020/06/27,356.4300
Canstar Community News,Advertising,2020/06/27,356.4300
"Shaw ",Cable and Internet,2020/06/27,98.0000
Golden West Broadcasting Ltd.,Advertising,2020/06/30,221.4000
Golden West Broadcasting Ltd.,Advertising,2020/06/30,450.0000
Golden West Broadcasting Ltd.,Advertising,2020/06/30,553.5000
Golden West Broadcasting Ltd.,Advertising,2020/06/30,450.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,91.7800
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,723.4100
MAVERICK 105.1 FM,Advertising,2020/06/30,472.5000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.0000
Bell MTS,Cable and Internet Fees,2020/07/01,114.9500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,320.2500
VISP,Cable and Internet Fees,2020/07/01,500.0000
Big And Colourful,Advertising,2020/07/03,350.0000
Big And Colourful,Advertising,2020/07/03,255.0000
Go Daddy,Web Site Hosting/Domain Name,2020/07/06,199.0000
Unique Graphics inc.,Advertising,2020/07/09,400.0000
Postmedia Network Inc.,Advertising,2020/07/11,250.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,230.8300
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,37.3900
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/20,179.1200
