"Members – Detailed Travel Expenditures Report – Bezan, James – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203189,2020/04/09,2020/08/08,,,,,,,0.0000,465.2300,0.0000,0,0,0,465.2300
T0203189,2020/04/09,2020/08/08,"Bezan, James",Member,Secondary Residence,2020/07/09,Ottawa,Ottawa,,,,,,,
T0203189,2020/04/09,2020/08/08,"Bezan, James",Member,Secondary Residence,2020/04/09,Ottawa,Ottawa,,,,,,,
T0203189,2020/04/09,2020/08/08,"Bezan, James",Member,Secondary Residence,2020/06/09,Ottawa,Ottawa,,,,,,,
T0203189,2020/04/09,2020/08/08,"Bezan, James",Member,Secondary Residence,2020/05/09,Ottawa,Ottawa,,,,,,,
T0201920,2020/05/15,2020/05/15,,,,,,,384.4300,0.0000,0.0000,0.5000,0,0,384.4300
T0201920,2020/05/15,2020/05/15,"Lane, Megan",Employee,To travel to/from constituency and Ottawa,2020/05/15,Winnipeg,Ottawa,,,,,,,
T0202910,2020/06/01,2020/06/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.0000
T0202910,2020/06/01,2020/06/30,"Bezan, James",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0205579,2020/06/08,2020/06/27,,,,,,,223.4500,0.0000,0.0000,0.0000,0.0000,0,223.4500
T0205579,2020/06/08,2020/06/27,"Bezan, James",Member,To attend a constituency or community event,2020/06/08,Selkirk,Teulon,,,,,,,
T0205579,2020/06/08,2020/06/27,"Bezan, James",Member,To attend a constituency or community event,2020/06/08,Teulon,Selkirk,,,,,,,
T0205579,2020/06/08,2020/06/27,"Bezan, James",Member,To attend a constituency or community event,2020/06/19,Selkirk,Teulon,,,,,,,
T0205579,2020/06/08,2020/06/27,"Bezan, James",Member,To attend a constituency or community event,2020/06/19,Teulon,Selkirk,,,,,,,
T0205579,2020/06/08,2020/06/27,"Bezan, James",Member,To attend a constituency or community event,2020/06/20,Stonewall,Saint Laurent,,,,,,,
T0205579,2020/06/08,2020/06/27,"Bezan, James",Member,To attend a constituency or community event,2020/06/20,Teulon,Stonewall,,,,,,,
T0205579,2020/06/08,2020/06/27,"Bezan, James",Member,To attend a constituency or community event,2020/06/27,Saint Laurent,Teulon,,,,,,,
T0203675,2020/07/01,2020/07/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.0000
T0203675,2020/07/01,2020/07/31,"Bezan, James",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0205583,2020/07/06,2020/07/28,,,,,,,678.7200,0.0000,69.3800,0.0000,0.0000,0,748.1000
T0205583,2020/07/06,2020/07/28,"Bezan, James",Member,To attend a constituency or community event,2020/07/06,Selkirk,Teulon,,,,,,,
T0205583,2020/07/06,2020/07/28,"Bezan, James",Member,To attend a constituency or community event,2020/07/16,Teulon,Lac du Bonnet,,,,,,,
T0205583,2020/07/06,2020/07/28,"Bezan, James",Member,To attend a constituency or community event,2020/07/21,Gimli,Selkirk,,,,,,,
T0205583,2020/07/06,2020/07/28,"Bezan, James",Member,To attend a constituency or community event,2020/07/21,Selkirk,Teulon,,,,,,,
