"Members – Detailed Contract Expenditures Report – Blaikie, Daniel – Q2 2021"
Supplier,Description,Date,Total
Canstar Community News,Advertising,2020/03/31,491.5500
MAXIMIZER SERVICES INC,Licence Renewal,2020/04/01,2948.4000
Winnipeg Free Press,Advertising,2020/04/05,331.6700
BOND PRINTING LTD.,Advertising,2020/04/09,209.0000
Shaw Direct,Cable and Internet Fees,2020/04/24,106.9500
Canstar Community News,Advertising,2020/05/16,491.5500
Shaw Direct,Cable and Internet Fees,2020/05/24,106.9500
BOND PRINTING LTD.,Advertising,2020/06/01,209.0000
Ethnorama News Winnipeg,Advertising,2020/06/01,200.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,220.0400
Rogers Wireless – Rogers sans-fil,Long Distance,2020/06/01,0.7500
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/04,261.2000
OAKLEY ALARMS INC.,Repair of Office Equipment,2020/06/05,95.0000
Winnipeg Free Press,Advertising,2020/06/21,370.8300
Canstar Community News,Advertising,2020/06/27,491.5500
Ethnorama News Winnipeg,Advertising,2020/07/01,200.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,218.0400
Rogers Wireless – Rogers sans-fil,Long Distance,2020/07/01,30.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.0500
7178680 Manitoba Ltd.,Office Rental and Related Fees,2020/08/01,3133.7500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,296.7900
7178680 Manitoba Ltd.,Office Rental and Related Fees,2020/09/01,3133.7500
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/09/01,169.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,22.2000
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/30,204.4400
7178680 Manitoba Ltd.,Office Rental and Related Fees,2020/10/01,3133.7500
