"Members – Detailed Contract Expenditures Report – Blanchet, Yves-François – Q2 2021"
Supplier,Description,Date,Total
CLUB OPTIMISTE DE RICHELIEU,Advertising,2020/04/01,500.0000
"Oeil Régional, L'",Advertising,2020/04/29,250.0000
Mathieu Pratte Photographie,"Framing, Outside Supplier",2020/05/01,100.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/05/01,237.8500
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/05/02,120.0000
Groupe Serrutech,"Office Supplies, Stationery and Accessories",2020/05/11,3.3500
Imprimerie Clermont,External Printing Costs,2020/05/12,8.0000
"Journal de Chambly, Le",Advertising,2020/05/13,250.0000
"Oeil Régional, L'",Advertising,2020/05/13,95.0000
Alice confection,Consumable Items for Constituency Offices (COVID19),2020/05/19,50.0000
Alice Confection,Consumable Items for Constituency Offices (COVID19),2020/05/19,50.0000
Alice Confection,Consumable Items for Constituency Offices (COVID19),2020/05/19,50.0000
Alice Confection,Consumable Items for Constituency Offices (COVID19),2020/05/19,50.0000
Alice Confection,Consumable Items for Constituency Offices (COVID19),2020/05/19,50.0000
Amazon,"Office Supplies, Stationery and Accessories",2020/05/20,75.5000
Amazon,"Office Supplies, Stationery and Accessories",2020/05/20,41.9800
"Journal de Chambly, Le",Advertising,2020/05/20,460.0000
"Oeil Régional, L'",Advertising,2020/05/20,95.0000
Peinturelles Inc,Office Renovations,2020/05/20,675.0000
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/05/21,195.1300
Mondor,Consumable Items for Constituency Offices (COVID19),2020/05/22,119.0000
Journal le Montérégien Inc.,Advertising,2020/05/25,250.0000
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.7200
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.2400
"Oeil Régional, L'",Advertising,2020/05/27,250.0000
"Oeil Régional, L'",Advertising,2020/05/27,95.0000
"Courrier de Saint-Hyacinthe, Le",Advertising,2020/05/28,530.0000
Chambly Ménage,Janitorial Services and Maintenance,2020/05/31,375.0000
Amazon,"Office Supplies, Stationery and Accessories",2020/06/01,249.9900
"Journal de Chambly, Le",Advertising,2020/06/01,460.0000
KGE électronique,"Office Supplies, Stationery and Accessories",2020/06/02,4.9000
SOCIÉTÉ CANADIENNE DU CANCER,Advertising,2020/06/02,400.0000
Décor Lacelle,Office Decor,2020/06/03,610.0000
Jazz Fleur,Office Plants and Flowers,2020/06/03,49.8500
"Journal de Chambly, Le",Advertising,2020/06/03,250.0000
La maison du zéro déchet,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/03,4.5000
"Oeil Régional, L'",Advertising,2020/06/03,95.0000
SNQ Richelieu-Saint-Laurent,Advertising,2020/06/03,250.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/05,237.8500
MARCHÉ PUBLIC CHAMBLY,Advertising,2020/06/06,250.0000
Likuid communications,Web Site Hosting/Domain Name,2020/06/10,29.9900
"Oeil Régional, L'",Advertising,2020/06/10,95.0000
SSJB Richelieu/Yamaska,Gifts given as a matter of protocol,2020/06/10,530.0000
Dollarama,Gifts given as a matter of protocol,2020/06/11,129.5500
Dollarama,Gifts given as a matter of protocol,2020/06/11,63.0000
Dollarama,Gifts given as a matter of protocol,2020/06/11,112.0000
Dollarama,Gifts given as a matter of protocol,2020/06/11,70.0000
Dollarama,Gifts given as a matter of protocol,2020/06/11,192.5000
Dollarama,Gifts given as a matter of protocol,2020/06/11,119.0000
Dollarama,Gifts given as a matter of protocol,2020/06/11,154.0500
Imprimerie Pierre Clermont Inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/11,160.0000
Amazon,Voice Communication Equipment,2020/06/12,49.6500
Squarespace,Web Site Hosting/Domain Name,2020/06/12,233.6300
Créations Cité Graphique,Professional Communication Services,2020/06/14,422.0000
Flexoplus,External Printing Costs,2020/06/17,205.0000
Imprimerie Pierre Clermont Inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/17,48.0000
"Oeil Régional, L'",Advertising,2020/06/17,835.0000
POSA Source des Monts,Advertising,2020/06/19,250.0000
Dollarama,Gifts given as a matter of protocol,2020/06/21,52.5000
Dollarama,Gifts given as a matter of protocol,2020/06/21,178.5000
Dollarama,Gifts given as a matter of protocol,2020/06/21,119.0000
Dollarama,Gifts given as a matter of protocol,2020/06/21,7.0000
Dollarama,Gifts given as a matter of protocol,2020/06/21,38.5000
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/06/22,27.9900
Distribution Gabriel Gauvin Enr.,Spring Water,2020/06/22,28.0000
Familiprix Chambly,"Office Supplies, Stationery and Accessories",2020/06/22,12.9800
Imprimerie Pierre Clermont Inc.,"Householders ",2020/06/22,2270.0000
Groupe Serrutech,"Security Equipment, Intercom and Alarm System (Member's Office Budget)",2020/06/23,677.8200
"Journal de Chambly, Le",Advertising,2020/06/24,790.0000
"Oeil Régional, L'",Advertising,2020/06/24,250.0000
"Oeil Régional, L'",Advertising,2020/06/24,95.0000
