"Members – Detailed Travel Expenditures Report – Blaney, Rachel – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203124,2019/12/13,2020/01/08,,,,,,,1591.8500,0.0000,0.0000,1.0000,0,0,1591.8500
T0203124,2019/12/13,2020/01/08,"Gervais, Jessie",Employee,To travel to/from constituency and Ottawa,2019/12/13,Ottawa,Comox,,,,,,,
T0203124,2019/12/13,2020/01/08,"Gervais, Jessie",Employee,To travel to/from constituency and Ottawa,2020/01/08,Comox,Ottawa,,,,,,,
T0203097,2020/06/27,2020/06/27,,,,,,,153.2700,0.0000,69.3700,0.5000,0,0,222.6400
T0203097,2020/06/27,2020/06/27,"Blaney, Rachel",Member,To attend a constituency or community event,2020/06/27,Campbell River,Powell River,,,,,,,
T0203516,2020/07/15,2020/07/15,,,,,,,285.1200,0.0000,69.3700,1.0000,0,0,354.4900
T0203516,2020/07/15,2020/07/15,"Bell, Kristy",Employee,To attend meetings about constituency issues,2020/07/15,Comox,Port Hardy,,,,,,,
T0203526,2020/07/15,2020/07/15,,,,,,,0.0000,0.0000,69.3700,0.0000,0,0,69.3700
T0203526,2020/07/15,2020/07/15,"Blaney, Rachel",Member,To attend meetings about constituency issues,2020/07/15,Campbell River,Port Hardy,,,,,,,
T0203516,2020/07/15,2020/07/15,"Bell, Kristy",Employee,To attend meetings about constituency issues,2020/07/15,Port Hardy,Comox,,,,,,,
T0203526,2020/07/15,2020/07/15,"Blaney, Rachel",Member,To attend meetings about constituency issues,2020/07/15,Port Hardy,Campbell River,,,,,,,
200430679,2020/08/01,2020/08/31,,,,,,,0.0000,2000.0000,0.0000,0,0,0,2000.0000
200430679,2020/08/01,2020/08/31,"Blaney, Rachel",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204010,2020/08/02,2020/08/16,,,,,,,812.2100,974.0100,1218.6100,0.5000,0,0,3004.8300
T0204010,2020/08/02,2020/08/16,"Gervais, Jessie",Employee,To travel to/from constituency and Ottawa,2020/08/02,Ottawa,Comox,,,,,,,
T0204010,2020/08/02,2020/08/16,"Gervais, Jessie",Employee,To travel to/from constituency and Ottawa,2020/08/15,Comox,Ottawa,,,,,,,
T0203746,2020/08/10,2020/08/14,,,,,,,1164.2900,825.3800,366.0100,1.0000,0,0,2355.6800
T0203746,2020/08/10,2020/08/14,"Martel-Walsh, Nathalie",Employee,To attend a conference,2020/08/10,Ottawa,Campbell River,,,,,,,
T0203746,2020/08/10,2020/08/14,"Martel-Walsh, Nathalie",Employee,To attend a conference,2020/08/14,Campbell River,Ottawa,,,,,,,
T0204360,2020/08/23,2020/08/31,,,,,,,2814.2200,0.0000,636.1600,1.0000,0,0,3450.3800
T0204360,2020/08/23,2020/08/31,"Blaney, Rachel",Member,To travel to/from constituency and Ottawa,2020/08/23,Campbell River,Ottawa,,,,,,,
T0204360,2020/08/23,2020/08/31,"Blaney, Rachel",Member,To travel to/from constituency and Ottawa,2020/08/31,Ottawa,Campbell River,,,,,,,
200437161,2020/09/01,2020/09/30,,,,,,,0.0000,2000.0000,0.0000,0,0,0,2000.0000
200437161,2020/09/01,2020/09/30,"Blaney, Rachel",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442021,2020/10/01,2020/10/31,,,,,,,0.0000,2000.0000,0.0000,0,0,0,2000.0000
200442021,2020/10/01,2020/10/31,"Blaney, Rachel",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
