"Members – Detailed Travel Expenditures Report – Boulerice, Alexandre – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202396,2020/06/17,2020/06/18,,,,,,,187.0800,0.0000,71.9200,1.0000,0,0,259.0000
T0202396,2020/06/17,2020/06/18,"Boulerice, Alexandre",Member,To travel to/from constituency and Ottawa,2020/06/17,Montréal,Ottawa,,,,,,,
T0202396,2020/06/17,2020/06/18,"Boulerice, Alexandre",Member,To travel to/from constituency and Ottawa,2020/06/18,Ottawa,Montréal,,,,,,,
T0202395,2020/07/01,2020/07/31,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.0000
T0202395,2020/07/01,2020/07/31,"Boulerice, Alexandre",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0204143,2020/07/20,2020/07/20,,,,,,,180.9600,0.0000,0.0000,1.0000,0,0,180.9600
T0204143,2020/07/20,2020/07/20,"L'Heureux-Hubert, Iseult",Employee,To travel to/from constituency and Ottawa,2020/07/20,Montréal,Ottawa,,,,,,,
T0204143,2020/07/20,2020/07/20,"L'Heureux-Hubert, Iseult",Employee,To travel to/from constituency and Ottawa,2020/07/20,Ottawa,Montréal,,,,,,,
T0203278,2020/07/20,2020/07/21,,,,,,,179.1400,0.0000,79.6400,1.0000,0,0,258.7800
T0203278,2020/07/20,2020/07/21,"Boulerice, Alexandre",Member,To travel to/from constituency and Ottawa,2020/07/20,Montréal,Ottawa,,,,,,,
T0203278,2020/07/20,2020/07/21,"Boulerice, Alexandre",Member,To travel to/from constituency and Ottawa,2020/07/21,Ottawa,Montréal,,,,,,,
T0203511,2020/07/30,2020/07/30,,,,,,,179.1400,0.0000,26.3800,1.0000,0,0,205.5200
T0203511,2020/07/30,2020/07/30,"Boulerice, Alexandre",Member,To travel to/from constituency and Ottawa,2020/07/30,Montréal,Ottawa,,,,,,,
T0203511,2020/07/30,2020/07/30,"Boulerice, Alexandre",Member,To travel to/from constituency and Ottawa,2020/07/30,Ottawa,Montréal,,,,,,,
T0203260,2020/08/01,2020/08/31,,,,,,,0.0000,1900.0000,0.0000,0,0,0,1900.0000
T0203260,2020/08/01,2020/08/31,"Boulerice, Alexandre",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
T0204145,2020/08/24,2020/08/24,,,,,,,180.9600,0.0000,0.0000,1.0000,0,0,180.9600
T0204145,2020/08/24,2020/08/24,"L'Heureux-Hubert, Iseult",Employee,To travel to/from constituency and Ottawa,2020/08/24,Montréal,Ottawa,,,,,,,
T0204145,2020/08/24,2020/08/24,"L'Heureux-Hubert, Iseult",Employee,To travel to/from constituency and Ottawa,2020/08/24,Ottawa,Montréal,,,,,,,
