"Members – Detailed Contract Expenditures Report – Collins, Laurel – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Honey Bee Cleaning Service LTD,Janitorial Services and Maintenance,2020/05/31,450.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,117.5400
Dads Printing,Promotional Items,2020/06/26,2166.7500
Shaw Direct,Cable and Internet Fees,2020/06/27,149.8000
Black Press Group Ltd.,Advertising,2020/06/28,827.5000
James Bay Beacon,Advertising,2020/06/29,127.0000
MailChimp,Professional Communication Services,2020/06/29,93.2100
Grand & Toy,Cleaning Products,2020/06/30,83.0500
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,53.4900
Honey Bee Cleaning Service LTD,Janitorial Services and Maintenance,2020/06/30,360.0000
Lookout Newspaper & Creative Services,Advertising,2020/06/30,357.0000
Times Colonist,Advertising,2020/06/30,963.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,30.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,167.5600
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,117.5400
UNIVERSITY OF VICTORIA,Householders,2020/07/03,9338.2100
Black Press Group Ltd.,Advertising,2020/07/05,486.5000
Black Press Group Ltd.,Advertising,2020/07/12,364.2500
Camosun College,Advertising,2020/07/13,600.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,4.3300
BC HYDRO,Public Utilities,2020/07/17,127.6500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.3600
Shaw Direct,Cable and Internet Fees,2020/07/27,149.8000
Mailchimp,Professional Communication Services,2020/07/30,101.1700
Grand & Toy,Cleaning Products,2020/07/31,17.8300
Honey Bee Cleaning Service LTD,Janitorial Services and Maintenance,2020/07/31,360.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,167.5600
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,20.0000
Oak Bay Rental Investments,Office Rental and Related Fees,2020/08/01,2749.5600
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,95.2500
Facebook,Advertising,2020/08/19,8.0000
Facebook,Advertising,2020/08/22,8.0000
Facebook,Advertising,2020/08/24,2.0000
James Bay Beacon,Advertising,2020/08/24,127.0000
Fairfield Gonzales Community Association,Advertising,2020/08/27,160.0000
Shaw Direct,Cable and Internet Fees,2020/08/27,149.8000
Mailchimp,Professional Communication Services,2020/08/30,99.2400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,80.7700
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,171.1100
Oak Bay Rental Investments,Office Rental and Related Fees,2020/09/01,2749.5600
Canada Post,Postage and Parcel Post,2020/09/10,240.2100
BC HYDRO,Public Utilities,2020/09/17,131.3700
Canada Post – Postes Canada,Courier Services,2020/09/23,99.3100
Shaw Direct,Cable and Internet Fees,2020/09/27,149.8000
Canada Post – Postes Canada,Courier Services,2020/09/30,7.2600
Oak Bay Rental Investments,Office Rental and Related Fees,2020/10/01,2749.5600
