"Members – Detailed Contract Expenditures Report – Cumming, James – Q2 2021"
Supplier,Description,Date,Total
Rogers Cable,Internet (COVID19),2020/06/01,84.9900
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,219.7500
Edmonton Jewish News,Advertising,2020/06/09,323.1300
TELUS Communications Inc.,Cable and Internet Fees,2020/06/10,95.0000
Canada Post,Postage and Parcel Post,2020/06/11,21.6000
One to One Mailing,External Printing Costs,2020/06/19,4553.2600
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,225.2900
CANADA JEWISH PIPELINE,Advertising,2020/07/04,225.0000
Just Junk,Janitorial Services and Maintenance,2020/07/07,478.0000
EPCOR,Public Utilities,2020/07/10,274.9600
TELUS Communications Inc.,Cable and Internet Fees,2020/07/10,97.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,57.5500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,6.1200
Oil City Signs Inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/20,457.8500
Direct Energy Regulated Services,Public Utilities,2020/07/28,49.8800
Services Informatiques D.L. Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/30,117.5600
Grand & Toy,Bulk Paper Purchases,2020/07/31,44.7000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,220.0400
Rogers Wireless – Rogers sans-fil,Long Distance,2020/08/01,0.7500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,235.5400
SHAMROCK PROPERTY MANAGEMENT,Office Rental and Related Fees,2020/08/01,3373.9300
EPCOR,Public Utilities,2020/08/11,350.4300
Liberty Security Systems Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/08/16,167.9700
SHAMROCK PROPERTY MANAGEMENT,Office Rental and Related Fees,2020/09/01,3373.9300
EPCOR,Public Utilities,2020/09/10,277.9900
Canada Post – Postes Canada,Courier Services,2020/09/23,53.1800
Canada Post – Postes Canada,Courier Services,2020/09/30,24.8200
SHAMROCK PROPERTY MANAGEMENT,Office Rental and Related Fees,2020/10/01,3373.9300
