"Members – Detailed Travel Expenditures Report – Dalton, Marc – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202734,2020/05/01,2020/05/31,,,,,,,0.0000,235.5400,0.0000,0,0,0,235.5400
T0202734,2020/05/01,2020/05/31,"Dalton, Marc",Member,Secondary Residence,2020/05/01,Ottawa,Ottawa,,,,,,,
T0202730,2020/06/08,2020/06/18,,,,,,,2061.5000,0.0000,303.3500,1.0000,0,0,2364.8500
T0202730,2020/06/08,2020/06/18,"Dalton, Marc",Member,To travel to/from constituency and Ottawa,2020/06/08,Maple Ridge,Ottawa,,,,,,,
T0202730,2020/06/08,2020/06/18,"Dalton, Marc",Member,To travel to/from constituency and Ottawa,2020/06/18,Ottawa,Maple Ridge,,,,,,,
T0203296,2020/07/06,2020/07/18,,,,,,,2534.7700,0.0000,332.0100,1.0000,0,0,2866.7800
T0203296,2020/07/06,2020/07/18,"Dalton, Marc",Member,To travel to/from constituency and Ottawa,2020/07/06,Maple Ridge,Ottawa,,,,,,,
T0203296,2020/07/06,2020/07/18,"Dalton, Marc",Member,To travel to/from constituency and Ottawa,2020/07/18,Ottawa,Maple Ridge,,,,,,,
200430692,2020/08/01,2020/08/31,,,,,,,0.0000,2054.0000,0.0000,0,0,0,2054.0000
200430692,2020/08/01,2020/08/31,"Dalton, Marc",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
200437175,2020/09/01,2020/09/30,,,,,,,0.0000,2054.0000,0.0000,0,0,0,2054.0000
200437175,2020/09/01,2020/09/30,"Dalton, Marc",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0204971,2020/09/03,2020/09/05,,,,,,,377.8500,395.8700,247.8400,0,0.0000,0,1021.5600
T0204971,2020/09/03,2020/09/05,"Dalton, Marc",Member,To attend meetings with stakeholders about business of the House,2020/09/03,Maple Ridge,Penticton,,,,,,,
T0204971,2020/09/03,2020/09/05,"Dalton, Marc",Member,To attend meetings with stakeholders about business of the House,2020/09/05,Penticton,Maple Ridge,,,,,,,
T0205044,2020/09/08,2020/09/11,,,,,,,2473.0600,0.0000,230.4900,1.0000,0,0,2703.5500
T0205044,2020/09/08,2020/09/11,"Dalton, Marc",Member,To travel to/from constituency and Ottawa,2020/09/08,Maple Ridge,Ottawa,,,,,,,
T0205044,2020/09/08,2020/09/11,"Dalton, Marc",Member,To travel to/from constituency and Ottawa,2020/09/11,Ottawa,Maple Ridge,,,,,,,
200442036,2020/10/01,2020/10/31,,,,,,,0.0000,2054.0000,0.0000,0,0,0,2054.0000
200442036,2020/10/01,2020/10/31,"Dalton, Marc",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
