"Members – Detailed Contract Expenditures Report – DeBellefeuille, Claude – Q2 2021"
Supplier,Description,Date,Total
GraVité Média,Advertising,2020/04/11,566.0000
Imprimerie Multiplus,"Householders ",2020/05/14,5426.0000
Cogeco,Cable and Internet Fees,2020/05/20,148.8900
Imprimerie Multiplus,External Printing Costs,2020/05/21,655.0000
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8200
Librairies Boyer Ltéé,"Office Supplies, Stationery and Accessories",2020/05/28,109.9800
caisse populaire Valleyfield,Banking Fees and Cheque Orders,2020/05/31,3.9500
Librairies Boyer Ltéé,"Office Supplies, Stationery and Accessories",2020/06/01,122.9800
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2020/06/01,1.3500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,246.3000
Imprimerie Multiplus,"Office Supplies, Stationery and Accessories",2020/06/05,100.0000
TORRES MEDIA VALLEYFIELD,Advertising,2020/06/05,270.0000
"Aidants Naturels du Haut St-Laurent, Les",Advertising,2020/06/08,150.0000
Canadian Tire,"Safety Supplies (fire extinguishers, first aid kits)",2020/06/08,55.9000
DoubleDose Design,Signage,2020/06/08,2300.0000
DoubleDose Design,Professional Communication Services,2020/06/08,320.0000
Metro,"Office Supplies, Stationery and Accessories",2020/06/08,8.4900
Patrick Morin inc.,Office Decor,2020/06/08,28.9800
Imprimerie Multiplus,Constituency Mail,2020/06/10,2469.0000
Multiplus,External Printing Costs,2020/06/10,53.0000
Commission scolaire des Trois-Lacs,Advertising,2020/06/15,390.0000
DoubleDose Design,Professional Communication Services,2020/06/15,320.0000
Imag...IN senc,Consumable Items for Constituency Offices (COVID19),2020/06/15,155.0000
Néomédia inc.,Advertising,2020/06/16,400.0000
OMax,Consumable Items for Constituency Offices (COVID19),2020/06/16,13.9500
Familiprix,Consumable Items for Constituency Offices (COVID19),2020/06/17,42.6100
"Gleaner, The",Advertising,2020/06/17,525.0000
Viva Média Inc.,Advertising,2020/06/17,421.0000
