"Members – Detailed Travel Expenditures Report – Diotte, Kerry – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203338,2020/03/08,2020/03/11,,,,,,,1928.6800,0.0000,388.5700,1.0000,0,0,2317.2500
T0203338,2020/03/08,2020/03/11,"Diotte, Kerry",Member,To travel to/from constituency and Ottawa,2020/03/08,Edmonton,Ottawa,,,,,,,
T0203338,2020/03/08,2020/03/11,"Diotte, Kerry",Member,To travel to/from constituency and Ottawa,2020/03/11,Ottawa,Edmonton,,,,,,,
T0203089,2020/06/03,2020/06/26,,,,,,,63.5400,0.0000,0.0000,0,0,0,63.5400
T0203089,2020/06/03,2020/06/26,"Hui, Josh",Employee,Attending event with Member,2020/06/26,Sturgeon (Sturgeon County),Edmonton,,,,,,,
T0203089,2020/06/03,2020/06/26,"Hui, Josh",Employee,Attending event with Member,2020/06/03,Edmonton,Edmonton,,,,,,,
T0203089,2020/06/03,2020/06/26,"Hui, Josh",Employee,Attending event with Member,2020/06/05,Edmonton,Edmonton,,,,,,,
T0203089,2020/06/03,2020/06/26,"Hui, Josh",Employee,Attending event with Member,2020/06/08,Edmonton,Edmonton,,,,,,,
T0203089,2020/06/03,2020/06/26,"Hui, Josh",Employee,Attending event with Member,2020/06/09,Edmonton,Edmonton,,,,,,,
T0203089,2020/06/03,2020/06/26,"Hui, Josh",Employee,Attending event with Member,2020/06/10,Edmonton,Edmonton,,,,,,,
T0203089,2020/06/03,2020/06/26,"Hui, Josh",Employee,Attending event with Member,2020/06/10,Edmonton,Edmonton,,,,,,,
T0203089,2020/06/03,2020/06/26,"Hui, Josh",Employee,Attending event with Member,2020/06/10,Edmonton,Edmonton,,,,,,,
T0203089,2020/06/03,2020/06/26,"Hui, Josh",Employee,Attending event with Member,2020/06/26,Edmonton,Sturgeon (Sturgeon County),,,,,,,
T0202679,2020/07/01,2020/07/31,,,,,,,0.0000,1472.6000,0.0000,0,0,0,1472.6000
T0202679,2020/07/01,2020/07/31,"Diotte, Kerry",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0204725,2020/07/03,2020/08/20,,,,,,,84.2600,0.0000,0.0000,0.0000,0.0000,0,84.2600
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/15,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/21,Edmonton,Sherwood Park,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/15,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/15,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/15,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/20,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/20,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/20,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/27,Edmonton,St. Albert,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/27,St. Albert,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/03,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/03,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/27,Edmonton,St. Albert,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/08/20,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/08/20,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/03,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/06,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/06,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/06,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/10,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/10,Edmonton,Edmonton,,,,,,,
T0204725,2020/07/03,2020/08/20,"Hui, Josh",Employee,To conduct constituency office business,2020/07/10,Edmonton,Edmonton,,,,,,,
T0203634,2020/07/27,2020/07/27,,,,,,,1.9100,0.0000,0.0000,0.0000,0,0,1.9100
T0203634,2020/07/27,2020/07/27,"Hui, Josh",Employee,Attending event with Member,2020/07/27,Edmonton,Edmonton,,,,,,,
T0203631,2020/08/01,2020/08/31,,,,,,,0.0000,1472.6000,0.0000,0,0,0,1472.6000
T0203631,2020/08/01,2020/08/31,"Diotte, Kerry",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
