"Members – Detailed Contract Expenditures Report – Fisher, Darren – Q2 2021"
Supplier,Description,Date,Total
"Caissie, Zeph",Advertising,2019/12/17,100.0000
City of Lakes Hockey Tournament Society,Advertising,2020/01/22,250.0000
Blue Wave Cleaning Services Inc.,Janitorial Services and Maintenance,2020/03/01,205.0000
NGP VAN inc,Professional Communication Services,2020/03/01,100.0000
ALL NOVA SCOTIA,"Printed Matter, Books, Newspapers and Subscriptions",2020/03/02,30.0000
NORTH DARTMOUTH COMMUNITY,Advertising,2020/03/02,225.0000
Dartmouth Whalers Pee Wee AA Hockey,Advertising,2020/03/08,250.0000
AP Reid,Constituency Office Insurance,2020/03/11,565.0000
HydroOttawa,Public Utilities,2020/03/11,110.8100
METRO GUIDE PUBLISHING,Advertising,2020/03/20,180.0000
ALL NOVA SCOTIA,"Printed Matter, Books, Newspapers and Subscriptions",2020/04/01,30.0000
Bell Aliant,Cable and Internet Fees,2020/04/01,171.9000
Blue Wave Cleaning Services Inc.,Janitorial Services and Maintenance,2020/04/01,205.0000
NGP VAN Inc,Professional Communication Services,2020/04/01,100.0000
Bell Aliant,Cable and Internet Fees,2020/04/09,178.3200
ALL NOVA SCOTIA,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/01,30.0000
Blue Wave Cleaning Services Inc.,Janitorial Services and Maintenance,2020/05/01,205.0000
NGP VAN,Professional Communication Services,2020/05/01,100.0000
"Nova Scotia Power ",Public Utilities,2020/05/07,285.1900
Bell Aliant,Cable and Internet Fees,2020/05/09,173.9100
ALL NOVA SCOTIA,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/01,30.0000
Blue Wave Cleaning Services Inc.,Janitorial Services and Maintenance,2020/06/01,205.0000
NGP VAN,Professional Communication Services,2020/06/01,100.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.7900
SNAPD DARTMOUTH,Advertising,2020/06/05,500.0000
Bell Aliant,Cable and Internet Fees,2020/06/09,174.9100
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Staples,Toner,2020/06/25,109.9900
Staples,"Office Supplies, Stationery and Accessories",2020/06/25,4.7300
FACEBOOK,Advertising,2020/06/30,24.9400
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,225.3600
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,117.6200
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,165.2900
