"Members – Detailed Travel Expenditures Report – Fry, Hedy – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202653,2019/06/22,2019/08/29,,,,,,,934.4600,0.0000,0.0000,1.0000,0,0,934.4600
T0202653,2019/06/22,2019/08/29,"Lee, Maximilian",Employee,To travel to/from constituency and Ottawa,2019/06/22,Ottawa,Vancouver,,,,,,,
T0202653,2019/06/22,2019/08/29,"Lee, Maximilian",Employee,To travel to/from constituency and Ottawa,2019/08/29,Vancouver,Ottawa,,,,,,,
T0202893,2020/05/01,2020/05/31,,,,,,,443.4500,0.0000,0.0000,0.0000,0,0,443.4500
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/01,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/01,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/23,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/20,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/20,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/20,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/23,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/25,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/25,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/27,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/27,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/04,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/30,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/30,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/08,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/04,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/06,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/06,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/01,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/13,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/11,Vancouver,Vancouver,,,,,,,
T0202893,2020/05/01,2020/05/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/05/11,Vancouver,Vancouver,,,,,,,
T0202812,2020/05/11,2020/07/31,,,,,,,0.0000,1355.8300,0.0000,0,0,0,1355.8300
T0202812,2020/05/11,2020/07/31,"Fry, Hedy",Member,Secondary Residence,2020/05/11,Ottawa,Ottawa,,,,,,,
T0202812,2020/05/11,2020/07/31,"Fry, Hedy",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0202812,2020/05/11,2020/07/31,"Fry, Hedy",Member,Secondary Residence,2020/06/13,Ottawa,Ottawa,,,,,,,
T0204072,2020/06/01,2020/06/30,,,,,,,765.7900,0.0000,0.0000,0.0000,0,0,765.7900
T0204072,2020/06/01,2020/06/30,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/01,Vancouver,Vancouver,,,,,,,
T0204072,2020/06/01,2020/06/30,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/22,Vancouver,Vancouver,,,,,,,
T0204072,2020/06/01,2020/06/30,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/23,Vancouver,Vancouver,,,,,,,
T0204072,2020/06/01,2020/06/30,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/24,Vancouver,Vancouver,,,,,,,
T0204072,2020/06/01,2020/06/30,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/25,Vancouver,Vancouver,,,,,,,
T0204072,2020/06/01,2020/06/30,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/29,Vancouver,Vancouver,,,,,,,
T0204072,2020/06/01,2020/06/30,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/30,Vancouver,Vancouver,,,,,,,
T0204072,2020/06/01,2020/06/30,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/03,Vancouver,Vancouver,,,,,,,
T0204072,2020/06/01,2020/06/30,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/04,Vancouver,Vancouver,,,,,,,
T0204072,2020/06/01,2020/06/30,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/08,Vancouver,Vancouver,,,,,,,
T0204072,2020/06/01,2020/06/30,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/10,Vancouver,Vancouver,,,,,,,
T0204072,2020/06/01,2020/06/30,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/12,Vancouver,Vancouver,,,,,,,
T0204072,2020/06/01,2020/06/30,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/15,Vancouver,Vancouver,,,,,,,
T0204072,2020/06/01,2020/06/30,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/17,Vancouver,Vancouver,,,,,,,
T0204072,2020/06/01,2020/06/30,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/19,Vancouver,Vancouver,,,,,,,
T0203714,2020/06/11,2020/08/31,,,,,,,0.0000,1335.3700,0.0000,0,0,0,1335.3700
T0203714,2020/06/11,2020/08/31,"Fry, Hedy",Member,Secondary Residence,2020/06/11,Ottawa,Ottawa,,,,,,,
T0203714,2020/06/11,2020/08/31,"Fry, Hedy",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
T0203714,2020/06/11,2020/08/31,"Fry, Hedy",Member,Secondary Residence,2020/07/13,Ottawa,Ottawa,,,,,,,
T0204823,2020/06/29,2020/07/31,,,,,,,835.8900,0.0000,0.0000,0.0000,0,0,835.8900
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/06/29,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/18,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/21,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/22,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/23,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/24,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/28,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/29,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/30,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/31,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/01,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/06,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/07,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/10,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/13,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/14,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/16,Vancouver,Vancouver,,,,,,,
T0204823,2020/06/29,2020/07/31,"Fry, Hedy",Member,To attend a constituency or community event,2020/07/17,Vancouver,Vancouver,,,,,,,
T0204211,2020/07/09,2020/07/12,,,,,,,22.6600,0.0000,0.0000,0.0000,0,0,22.6600
T0204211,2020/07/09,2020/07/12,"McDonald, Donald",Employee,Attending event with Member,2020/07/09,Vancouver,Vancouver,,,,,,,
T0204211,2020/07/09,2020/07/12,"McDonald, Donald",Employee,Attending event with Member,2020/07/12,Vancouver,Vancouver,,,,,,,
T0204585,2020/07/11,2020/09/30,,,,,,,0.0000,1484.0800,0.0000,0,0,0,1484.0800
T0204585,2020/07/11,2020/09/30,"Fry, Hedy",Member,Secondary Residence,2020/09/01,Ottawa,Ottawa,,,,,,,
T0204585,2020/07/11,2020/09/30,"Fry, Hedy",Member,Secondary Residence,2020/07/11,Ottawa,Ottawa,,,,,,,
T0204585,2020/07/11,2020/09/30,"Fry, Hedy",Member,Secondary Residence,2020/08/13,Ottawa,Ottawa,,,,,,,
