"Members – Detailed Travel Expenditures Report – Garrison, Randall – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0205234,2020/02/11,2020/08/12,,,,,,,0.0000,160.8000,0.0000,0,0,0,160.8000
T0205234,2020/02/11,2020/08/12,"Garrison, Randall",Member,Secondary Residence,2020/03/12,Ottawa,Ottawa,,,,,,,
T0205234,2020/02/11,2020/08/12,"Garrison, Randall",Member,Secondary Residence,2020/02/11,Ottawa,Ottawa,,,,,,,
T0205234,2020/02/11,2020/08/12,"Garrison, Randall",Member,Secondary Residence,2020/07/12,Ottawa,Ottawa,,,,,,,
T0205234,2020/02/11,2020/08/12,"Garrison, Randall",Member,Secondary Residence,2020/05/12,Ottawa,Ottawa,,,,,,,
T0205234,2020/02/11,2020/08/12,"Garrison, Randall",Member,Secondary Residence,2020/06/12,Ottawa,Ottawa,,,,,,,
T0205234,2020/02/11,2020/08/12,"Garrison, Randall",Member,Secondary Residence,2020/04/14,Ottawa,Ottawa,,,,,,,
T0205235,2020/04/01,2020/08/31,,,,,,,0.0000,557.3500,0.0000,0,0,0,557.3500
T0205235,2020/04/01,2020/08/31,"Garrison, Randall",Member,Secondary Residence,2020/05/01,Ottawa,Ottawa,,,,,,,
T0205235,2020/04/01,2020/08/31,"Garrison, Randall",Member,Secondary Residence,2020/04/01,Ottawa,Ottawa,,,,,,,
T0205235,2020/04/01,2020/08/31,"Garrison, Randall",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0205235,2020/04/01,2020/08/31,"Garrison, Randall",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0205235,2020/04/01,2020/08/31,"Garrison, Randall",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
200430715,2020/08/01,2020/08/31,,,,,,,0.0000,1507.0000,0.0000,0,0,0,1507.0000
200430715,2020/08/01,2020/08/31,"Garrison, Randall",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
200437198,2020/09/01,2020/09/30,,,,,,,0.0000,1507.0000,0.0000,0,0,0,1507.0000
200437198,2020/09/01,2020/09/30,"Garrison, Randall",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442059,2020/10/01,2020/10/31,,,,,,,0.0000,1507.0000,0.0000,0,0,0,1507.0000
200442059,2020/10/01,2020/10/31,"Garrison, Randall",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
