"Members – Detailed Contract Expenditures Report – Genuis, Garnett – Q2 2021"
Supplier,Description,Date,Total
PRIMARIS MANAGEMENT INC.,Office Rental and Related Fees,2019/12/01,-698.3800
PRIMARIS MANAGEMENT INC.,Office Rental and Related Fees,2020/03/01,-100.0000
Shaw Direct,Cable and Internet Fees,2020/03/26,212.9500
PRIMARIS MANAGEMENT INC.,Office Rental and Related Fees,2020/04/01,-100.0000
Shaw Direct,Cable and Internet Fees,2020/04/26,212.9500
PRIMARIS MANAGEMENT INC.,Office Rental and Related Fees,2020/05/01,-100.0000
Canada Post,Postage and Parcel Post,2020/05/11,17.9600
FORT SASKATCHEWAN CHAMBER OF COMMERCE,Public Meeting Room Rentals,2020/05/11,225.0000
Shaw Direct,Cable and Internet Fees,2020/05/26,212.9500
PRIMARIS MANAGEMENT INC.,Office Rental and Related Fees,2020/06/01,-100.0000
Dollarama,"Office Supplies, Stationery and Accessories",2020/06/03,1.2500
Staples,Toner,2020/06/03,62.9900
Staples,Computer Equipment,2020/06/03,339.7800
MINUTEMAN PRESS,Householders,2020/06/23,5331.1600
Shaw Direct,Cable and Internet Fees,2020/06/26,212.9500
"Dollar Tree ",Promotional Items,2020/06/27,4.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,8.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,209.6800
Bell Mobility – Bell Mobilité,Long Distance,2020/07/01,1.6800
PRIMARIS MANAGEMENT INC.,Office Rental and Related Fees,2020/07/01,-100.0000
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/07/02,450.3600
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/14,249.5000
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/07/16,56.2400
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/07/16,251.0500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,46.2300
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/27,2010.0000
Zoom Video Communications Inc.,Licence Renewal,2020/07/27,108.0000
FACEBOOK,Advertising,2020/07/31,299.8900
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,228.8800
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,38.2000
PRIMARIS MANAGEMENT INC.,Office Rental and Related Fees,2020/08/01,3118.7600
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/08/20,169.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,79.4700
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,208.8800
PRIMARIS MANAGEMENT INC.,Office Rental and Related Fees,2020/09/01,3118.7600
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,245.9800
Canada Post – Postes Canada,Courier Services,2020/09/23,87.0400
Canada Post – Postes Canada,Courier Services,2020/09/30,7.3700
PRIMARIS MANAGEMENT INC.,Office Rental and Related Fees,2020/10/01,3118.7600
