"Members – Detailed Travel Expenditures Report – Gray, Tracy – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
200430723,2020/08/01,2020/08/31,,,,,,,0.0000,2100.0000,0.0000,0,0,0,2100.0000
200430723,2020/08/01,2020/08/31,"Gray, Tracy",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204121,2020/08/09,2020/08/15,,,,,,,2256.7400,0.0000,0.0000,1.0000,0,0,2256.7400
T0204121,2020/08/09,2020/08/15,,Designated Traveller,To travel to/from constituency and Ottawa,2020/08/09,Kelowna,Ottawa,,,,,,,
T0204120,2020/08/09,2020/08/15,,,,,,,2315.1200,0.0000,0.0000,1.0000,0,0,2315.1200
T0204120,2020/08/09,2020/08/15,"Gray, Tracy",Member,To travel to/from constituency and Ottawa,2020/08/09,Kelowna,Ottawa,,,,,,,
T0204121,2020/08/09,2020/08/15,,Designated Traveller,To travel to/from constituency and Ottawa,2020/08/15,Ottawa,Kelowna,,,,,,,
T0204120,2020/08/09,2020/08/15,"Gray, Tracy",Member,To travel to/from constituency and Ottawa,2020/08/15,Ottawa,Kelowna,,,,,,,
T0204295,2020/08/20,2020/08/27,,,,,,,2702.1400,287.2000,0.0000,0.5000,1.5000,0,2989.3400
T0204295,2020/08/20,2020/08/27,"Gray, Tracy",Member,To attend an authorized funeral,2020/08/20,Kelowna,Lethbridge,,,,,,,
T0204295,2020/08/20,2020/08/27,"Gray, Tracy",Member,To attend an authorized funeral,2020/08/22,Lethbridge,Calgary,,,,,,,
T0204295,2020/08/20,2020/08/27,"Gray, Tracy",Member,To support a parliamentary committee,2020/08/23,Calgary,Ottawa,,,,,,,
T0204295,2020/08/20,2020/08/27,"Gray, Tracy",Member,To travel to/from constituency and Ottawa,2020/08/27,Ottawa,Kelowna,,,,,,,
200437206,2020/09/01,2020/09/30,,,,,,,0.0000,2100.0000,0.0000,0,0,0,2100.0000
200437206,2020/09/01,2020/09/30,"Gray, Tracy",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0204832,2020/09/03,2020/09/05,,,,,,,62.1600,362.6900,0.0000,0,1.0000,0,424.8500
T0204832,2020/09/03,2020/09/05,"Gray, Tracy",Member,To attend meetings with stakeholders about business of the House,2020/09/03,Kelowna,Penticton,,,,,,,
T0204832,2020/09/03,2020/09/05,"Gray, Tracy",Member,To attend meetings with stakeholders about business of the House,2020/09/05,Penticton,Kelowna,,,,,,,
T0204811,2020/09/08,2020/09/11,,,,,,,2292.1000,0.0000,0.0000,1.0000,0,0,2292.1000
T0204811,2020/09/08,2020/09/11,"Gray, Tracy",Member,To travel to/from constituency and Ottawa,2020/09/08,Kelowna,Ottawa,,,,,,,
T0204811,2020/09/08,2020/09/11,"Gray, Tracy",Member,To travel to/from constituency and Ottawa,2020/09/11,Ottawa,Kelowna,,,,,,,
200442067,2020/10/01,2020/10/31,,,,,,,0.0000,2100.0000,0.0000,0,0,0,2100.0000
200442067,2020/10/01,2020/10/31,"Gray, Tracy",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
