"Members – Detailed Contract Expenditures Report – Housefather, Anthony – Q2 2021"
Supplier,Description,Date,Total
Journal El Chasqui Latino Inc,Advertising,2020/04/01,29.4100
Brooklyn Promotions Inc,Promotional Items,2020/04/20,1076.9300
Métro Média,Advertising,2020/05/09,72.0000
Glenda Lasaten,Janitorial Services and Maintenance,2020/05/13,80.0000
WEEKLY NAWA-I-PAKISTAN CANADA,Advertising,2020/05/21,35.3000
Glenda Lasaten,Janitorial Services and Maintenance,2020/05/30,80.0000
Cummings Jewish Centre for Seniors Foundation,Advertising,2020/06/01,900.0000
"FILIPINO FORUM, THE",Advertising,2020/06/12,75.0000
"FILIPINO FORUM, THE",Advertising,2020/06/12,250.0000
"FILIPINO FORUM, THE",Advertising,2020/06/12,250.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/12,128.9500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
PROXIMA PUBLICATIONS INC.,Advertising,2020/06/17,450.0000
CLAN CREATIF INC.,Professional Communication Services,2020/06/23,87.0200
Il Cittadino Canadese,Advertising,2020/06/23,71.0000
Publications Le Phare,Advertising,2020/06/24,700.0000
TLC Global,Householders,2020/06/26,4992.9600
Métro Média,Advertising,2020/06/27,72.0000
RADIO HUMSAFAR,Advertising,2020/06/27,40.0000
"NORTH AMERICAN FILIPINO STAR,",Advertising,2020/06/29,73.5300
"NORTH AMERICAN FILIPINO STAR,",Advertising,2020/06/29,300.0000
Journal El Chasqui Latino Inc,Advertising,2020/06/30,29.4100
"SUBURBAN, THE",Advertising,2020/06/30,129.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,80.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,323.8500
Factus Medias Inc,Advertising,2020/07/01,87.9400
Jewish Russian Community Center,Advertising,2020/07/01,250.0000
JRCC,Advertising,2020/07/01,650.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
"Presse Chinoise, La",Advertising,2020/07/01,82.3500
PROXIMA PUBLICATIONS INC.,Advertising,2020/07/01,425.0000
Publications Le Phare,Advertising,2020/07/01,700.0000
Voice of Community Publisher Co.,Advertising,2020/07/02,329.0000
Quincaillerie Hogg Westmount,Consumable Items for Constituency Offices (COVID19),2020/07/05,4.4900
English Montreal School Board – Commission Scolaire English-Montréal,Advertising,2020/07/07,175.0000
MAGHREB CANADA EXPRESS,Advertising,2020/07/07,29.4100
CONGRÈS NATIONAL DES ITALO-CANADIENS,Advertising,2020/07/13,185.7100
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,136.3600
Glenda T. Lasaten,Janitorial Services and Maintenance,2020/07/15,80.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,2.0300
Vidéotron s.e.n.c,Cable and Internet Fees,2020/07/17,128.9500
Sawid South Asian Services Inc. – Services D'affaires Sud Asiatiques Sawid Inc.,Advertising,2020/07/22,35.2900
"NORTH AMERICAN FILIPINO STAR,",Advertising,2020/07/28,300.0000
3091-2703 QUÉBEC INC.,Advertising,2020/08/01,100.0000
ACE HOLDINGS LTD.,Office Rental and Related Fees,2020/08/01,2615.8800
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,823.0300
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,80.0000
MAGHREB CANADA EXPRESS,Advertising,2020/08/01,29.4100
WEEKLY NAWA-I-PAKISTAN CANADA,Advertising,2020/08/01,41.2000
WEEKLY NAWA-I-PAKISTAN CANADA,Advertising,2020/08/01,41.2000
WEEKLY NAWA-I-PAKISTAN CANADA,Advertising,2020/08/01,41.2000
Voice of Community Publisher Co.,Advertising,2020/08/05,329.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Softchoice,Client Software Related to Distributed Computing Environment (DCE),2020/08/14,133.9200
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/14,128.9500
"SUBURBAN, THE",Advertising,2020/08/17,172.2500
RADIO HUMSAFAR,Advertising,2020/08/19,40.0000
Sawid South Asian Services Inc. – Services D'affaires Sud Asiatiques Sawid Inc.,Advertising,2020/08/24,35.2900
Chabad Cote-Des-Neiges,Advertising,2020/08/25,360.0000
"FILIPINO FORUM, THE",Advertising,2020/08/25,250.0000
"FILIPINO FORUM, THE",Advertising,2020/08/25,250.0000
Glenda T. Lasaten,Janitorial Services and Maintenance,2020/08/26,80.0000
"NORTH AMERICAN FILIPINO STAR,",Advertising,2020/08/27,300.0000
ACE HOLDINGS LTD.,Office Rental and Related Fees,2020/09/01,2615.8800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,80.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,584.2400
"Jewish Standard, The",Advertising,2020/09/01,575.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Distribution T. Nasari,Spring Water,2020/09/02,32.0000
Plengke,Consumable Items for Constituency Offices (COVID19),2020/09/10,29.9800
Voice of Community Publisher Co.,Advertising,2020/09/10,329.0000
Voice of Community Publisher Co.,Advertising,2020/09/10,88.3300
Chabad of the Town,Advertising,2020/09/11,500.0000
Publications Le Phare,Advertising,2020/09/16,350.0000
Stèle Médias Communications et Relations Publiques Inc.,Advertising,2020/09/16,327.0000
"SUBURBAN, THE",Advertising,2020/09/16,129.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/09/18,128.9500
Canada Post – Postes Canada,Courier Services,2020/09/23,5.1300
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,7.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,21.6300
Canada Post – Postes Canada,Courier Services,2020/09/23,240.7400
