"Members – Detailed Travel Expenditures Report – Hutchings, Gudie – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202747,2020/06/01,2020/06/30,,,,,,,0.0000,1680.9300,0.0000,0,0,0,1680.9300
T0202747,2020/06/01,2020/06/30,"Hutchings, Gudie",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0203205,2020/06/05,2020/06/05,,,,,,,213.2000,0.0000,0.0000,0.0000,0,0,213.2000
T0203205,2020/06/05,2020/06/05,"Cull, Dwayne",Employee,To attend a constituency or community event,2020/06/05,St. Anthony,River of Ponds,,,,,,,
T0202899,2020/06/24,2020/06/27,,,,,,,330.2700,292.8900,159.7300,0.0000,0,0,782.8900
T0202899,2020/06/24,2020/06/27,"Cull, Dwayne",Employee,To attend a conference,2020/06/24,St. Anthony,Rocky Harbour,,,,,,,
T0202686,2020/06/25,2020/06/27,,,,,,,116.1200,335.0400,215.2700,0.0000,0,0,666.4300
T0202686,2020/06/25,2020/06/27,"Sheppard, Tara",Employee,To attend a conference,2020/06/25,Corner Brook,Rocky Harbour,,,,,,,
T0202685,2020/06/25,2020/06/27,,,,,,,190.8300,292.8900,37.1000,0.0000,0,0,520.8200
T0202685,2020/06/25,2020/06/27,"Felix, Michelle",Employee,To attend a conference,2020/06/25,Stephenville,Rocky Harbour,,,,,,,
T0202687,2020/06/25,2020/06/27,,,,,,,95.1800,292.8900,294.9100,0.0000,0,0,682.9800
T0202687,2020/06/25,2020/06/27,"Hutchings, Gudie",Member,To attend a conference,2020/06/25,Little Rapids,Rocky Harbour,,,,,,,
T0202686,2020/06/25,2020/06/27,"Sheppard, Tara",Employee,To attend a conference,2020/06/25,Rocky Harbour,Corner Brook,,,,,,,
T0202687,2020/06/25,2020/06/27,"Hutchings, Gudie",Member,To attend a conference,2020/06/25,Rocky Harbour,Little Rapids,,,,,,,
T0203161,2020/06/29,2020/07/09,,,,,,,1445.7200,0.0000,389.2000,1.0000,0,0,1834.9200
T0203161,2020/06/29,2020/07/09,"Hutchings, Gudie",Member,To travel to/from constituency and Ottawa,2020/06/29,Deer Lake,Ottawa,,,,,,,
T0203161,2020/06/29,2020/07/09,"Hutchings, Gudie",Member,To travel to/from constituency and Ottawa,2020/07/09,Ottawa,Deer Lake,,,,,,,
T0203497,2020/07/01,2020/08/02,,,,,,,0.0000,1643.9900,0.0000,0,0,0,1643.9900
T0203497,2020/07/01,2020/08/02,"Hutchings, Gudie",Member,Secondary Residence,2020/07/03,Ottawa,Ottawa,,,,,,,
T0203497,2020/07/01,2020/08/02,"Hutchings, Gudie",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0203207,2020/07/03,2020/07/03,,,,,,,184.1300,0.0000,15.4500,0.0000,0,0,199.5800
