"Members – Detailed Travel Expenditures Report – Jones, Yvonne – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203047,2020/06/22,2020/07/02,,,,,,,754.8400,267.8600,654.2400,0.0000,0,0,1676.9400
T0203047,2020/06/22,2020/07/02,"Jones, Yvonne",Member,To attend a constituency or community event,2020/07/02,Happy Valley-Goose Bay,Mary's Harbour,,,,,,,
T0203047,2020/06/22,2020/07/02,"Jones, Yvonne",Member,To attend meetings about constituency issues,2020/06/22,Mary's Harbour,Happy Valley-Goose Bay,,,,,,,
T0203041,2020/06/25,2020/06/29,,,,,,,1007.7400,0.0000,0.0000,1.0000,0,0,1007.7400
T0203041,2020/06/25,2020/06/29,,Designated Traveller,To unite the family with the Member,2020/06/25,Goose Bay,St. John's,,,,,,,
T0203045,2020/06/25,2020/06/29,,,,,,,1446.9100,178.5700,393.2100,1.0000,0,0,2018.6900
T0203045,2020/06/25,2020/06/29,"Jones, Yvonne",Member,To attend meetings about constituency issues,2020/06/25,Goose Bay,St. John's,,,,,,,
T0203041,2020/06/25,2020/06/29,,Designated Traveller,To unite the family with the Member,2020/06/29,St. John's,Goose Bay,,,,,,,
T0203045,2020/06/25,2020/06/29,"Jones, Yvonne",Member,To attend meetings about constituency issues,2020/06/29,St. John's,Goose Bay,,,,,,,
T0203464,2020/07/19,2020/07/22,,,,,,,418.6400,133.9300,359.3300,0.0000,0,0,911.9000
T0203464,2020/07/19,2020/07/22,"Jones, Yvonne",Member,To attend a constituency or community event,2020/07/19,Mary's Harbour,Goose Bay,,,,,,,
T0203464,2020/07/19,2020/07/22,"Jones, Yvonne",Member,To attend a constituency or community event,2020/07/22,Goose Bay,Mary's Harbour,,,,,,,
T0204178,2020/07/27,2020/08/19,,,,,,,185.6300,0.0000,64.4200,0,0.0000,0,250.0500
