"Members – Detailed Contract Expenditures Report – Julian, Peter – Q2 2021"
Supplier,Description,Date,Total
Zoom Video Communications Inc,Licence Renewal,2020/05/02,20.0000
CallFire Inc,Advertising,2020/05/06,210.7700
Mailchimp,Professional Communication Services,2020/05/08,29.9900
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.6300
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.3600
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,77.1500
Zoom Video Communications Inc.,Licence Renewal,2020/06/02,20.0000
Mailchimp,Professional Communication Services,2020/06/08,49.9700
City of New Westminster,Public Utilities,2020/06/10,134.3600
MING PAO NEWSPAPERS (CANADA) LTD,Advertising,2020/06/23,225.0000
Shaw Direct,Cable and Internet Fees,2020/06/23,154.0300
Dualan Print & Design Inc.,Signage,2020/06/25,300.0000
Your Dollar Store With More,"Office Supplies, Stationery and Accessories",2020/06/26,10.7000
4 Office Automation Ltd.,Photocopier Rental and Related Costs,2020/06/29,213.2100
CallFire Inc,Advertising,2020/06/29,121.6800
The Society To End Homelessness in Burnaby,Advertising,2020/06/29,200.0000
Grand & Toy,Cleaning Products,2020/06/30,119.2900
Grand & Toy,Office Furniture and Fixtures,2020/06/30,73.8300
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,146.3800
LMP Publication Limited Partnership,Advertising,2020/06/30,175.0000
LMP Publication Limited Partnership,Advertising,2020/06/30,306.0000
SING TAO NEWSPAPERS(CANADA 1988) LIMITED,Advertising,2020/06/30,225.0000
Your Dollar Store With More,"Office Supplies, Stationery and Accessories",2020/06/30,6.4200
7 ELEVEN STORE #25876,"Office Supplies, Stationery and Accessories",2020/07/01,5.8000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,36.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,157.1800
Paladin Technologies Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/07/01,105.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,77.0000
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2020/07/01,0.4500
Zoom Video Communications Inc.,Licence Renewal,2020/07/02,20.0000
Sach Di Awaaz Newspaper,Advertising,2020/07/03,250.0000
Mailchimp,Professional Communication Services,2020/07/08,69.9500
"Arts Council of New Westminster, The",Advertising,2020/07/10,300.0000
City of New Westminster,Public Utilities,2020/07/14,141.3500
New West Laptops,"Office Supplies, Stationery and Accessories",2020/07/14,28.8900
Selen Calderon,Janitorial Services and Maintenance,2020/07/15,90.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,6.0300
Shaw Direct,Cable and Internet Fees,2020/07/23,154.0300
CANADA TIMES,Advertising,2020/07/25,125.0000
LMP Publication Limited Partnership,Advertising,2020/07/28,230.0000
LMP Publication Limited Partnership,Advertising,2020/07/28,373.7500
A.S.L. Interpreting Inc.,Captioning and Interpretation Services,2020/07/29,264.0000
Your Dollar Store With More,"Office Supplies, Stationery and Accessories",2020/07/30,14.9800
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,-73.1900
Recycling Alternative,Shredding,2020/07/31,2.6400
Recycling Alternative,Janitorial Services and Maintenance,2020/07/31,41.4600
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,157.7400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,28.0000
First Capital Asset Management LP,Office Rental and Related Fees,2020/08/01,4323.1100
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,77.4500
Zoom Video Communications Inc.,Licence Renewal,2020/08/02,20.0000
Your Dollar Store With More,"Office Supplies, Stationery and Accessories",2020/08/04,16.0500
Mailchimp,Professional Communication Services,2020/08/08,69.9500
Selen Calderon,Janitorial Services and Maintenance,2020/08/08,90.0000
City of New Westminster,Public Utilities,2020/08/10,157.5800
LMP Publication Limited Partnership,Advertising,2020/08/18,176.0000
Shaw Direct,Cable and Internet Fees,2020/08/23,154.0300
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,3.3700
Recycling Alternative,Janitorial Services and Maintenance,2020/08/31,47.8300
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,41.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,158.7900
First Capital Asset Management LP,Office Rental and Related Fees,2020/09/01,4323.1100
Seniors Directory,Advertising,2020/09/01,200.0000
Zoom Video Communications Inc.,Licence Renewal,2020/09/02,20.0000
LMP Publication Limited Partnership,Advertising,2020/09/08,289.0000
Mailchimp,Professional Communication Services,2020/09/08,69.9500
City of New Westminster,Public Utilities,2020/09/09,122.8700
Selen Calderon,Janitorial Services and Maintenance,2020/09/15,135.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,8.5900
Canada Post – Postes Canada,Courier Services,2020/09/23,6.6900
Canada Post – Postes Canada,Courier Services,2020/09/23,6.3600
Canada Post – Postes Canada,Courier Services,2020/09/23,6.6700
Canada Post – Postes Canada,Courier Services,2020/09/23,262.7600
Canada Post – Postes Canada,Courier Services,2020/09/23,6.7200
First Capital Asset Management LP,Office Rental and Related Fees,2020/10/01,4323.1100
