"Members – Detailed Contract Expenditures Report – Larouche, Andréanne – Q2 2021"
Supplier,Description,Date,Total
"Pensée de Bagot, La",Advertising,2020/04/08,525.0000
GROUPE CAPITALES MEDIAS,Advertising,2020/04/11,1705.0000
GROUPE CAPITALES MEDIAS,Advertising,2020/04/25,1705.0000
GROUPE CAPITALES MEDIAS,Advertising,2020/05/16,1000.0000
Brunet,Consumable Items for Constituency Offices (COVID19),2020/05/21,12.5800
"Debut, Nicole",Janitorial Services and Maintenance,2020/05/21,120.0000
RONA,Consumable Items for Constituency Offices (COVID19),2020/05/21,33.9000
Club de Golf Valcourt,Advertising,2020/05/25,400.0000
PAPETERIE ATLAS,"Office Supplies, Stationery and Accessories",2020/05/25,84.9700
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
"Pensée de Bagot, La",Advertising,2020/05/27,380.0000
twohumans,Web Site Hosting/Domain Name,2020/05/30,6438.2500
École de la Haute-Ville,Advertising,2020/06/02,250.0000
PAPETERIE ATLAS,"Office Supplies, Stationery and Accessories",2020/06/02,143.3500
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/06/03,38.4700
École Wilfrid-Léger,Advertising,2020/06/08,250.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/12,183.8400
GROUPE CAPITALES MEDIAS,Advertising,2020/06/13,622.0000
École Secondaire du Verbe Divin,Advertising,2020/06/15,250.0000
Journal Ici Maintenant,Advertising,2020/06/18,170.0000
GROUPE CAPITALES MEDIAS,Advertising,2020/06/20,1905.0000
Collège Mont-Sacré-Coeur,Advertising,2020/06/22,250.0000
"Debut, Nicole",Janitorial Services and Maintenance,2020/06/22,120.0000
L'École L'Envolée,Advertising,2020/06/22,250.0000
PAPETERIE ATLAS,"Office Supplies, Stationery and Accessories",2020/06/22,70.4200
Icimédias Inc.,Advertising,2020/06/24,830.0000
Icimédias Inc.,Advertising,2020/06/24,364.0000
"Journal de Chambly, Le",Advertising,2020/06/24,485.0000
"Pensée de Bagot, La",Advertising,2020/06/24,375.0000
Société Nationale de l'Estrie,Pins and Flags,2020/06/25,334.9000
École Secondaire de l'Odyssée,Advertising,2020/06/30,250.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,192.3000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,28.0000
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/07/04,8.1700
Groupe Maska Inc,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/07,734.1500
PAPETERIE ATLAS,"Office Supplies, Stationery and Accessories",2020/07/09,52.3500
PAPETERIE ATLAS,"Office Supplies, Stationery and Accessories",2020/07/10,58.7400
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,105.4900
PAPETERIE ATLAS,"Office Supplies, Stationery and Accessories",2020/07/16,82.5500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.1800
Vidéotron s.e.n.c,Cable and Internet Fees,2020/07/17,187.0100
CFXM-FM,Advertising,2020/07/26,355.0000
"Debut, Nicole",Janitorial Services and Maintenance,2020/07/30,180.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,30.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,192.3000
"MONDE 400 INC., LE",Office Rental and Related Fees,2020/08/01,3333.3300
Distribution Nouvelle-France,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/05,225.8500
PAPETERIE ATLAS,"Office Supplies, Stationery and Accessories",2020/08/10,65.5000
PAPETERIE ATLAS,"Office Supplies, Stationery and Accessories",2020/08/11,71.5800
Chambre de commerce Haute-Yamaska et région,Advertising,2020/08/12,500.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/14,183.8400
"Imprimés Shefford, Les",Signage,2020/08/20,325.0000
Jardin du Mont,Consumable Items for Constituency Offices (COVID19),2020/08/20,12.4900
Agence LiberSanté Inc.,Advertising,2020/08/26,100.0000
"Debut, Nicole",Janitorial Services and Maintenance,2020/08/27,120.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,192.3000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,20.0000
bureaupro citation,Office Furniture and Fixtures,2020/09/01,1184.0000
"MONDE 400 INC., LE",Office Rental and Related Fees,2020/09/01,3333.3300
Loisirs de Lawrenceville,Advertising,2020/09/03,300.0000
PAPETERIE ATLAS,"Office Supplies, Stationery and Accessories",2020/09/03,105.4500
Carré Urbain,Signage,2020/09/04,535.5000
Chevaliers de Colomb de Bonsecours Conseil 9971,Advertising,2020/09/05,300.0000
Groupe Média Régional Val-Ouest,Advertising,2020/09/09,500.0000
Parkinson Estrie,Advertising,2020/09/12,250.0000
LEUCAN ESTRIE,Advertising,2020/09/14,250.0000
Société nationale de l'estrie,"Office Supplies, Stationery and Accessories",2020/09/16,232.9000
"Imprimés Shefford, Les",Signage,2020/09/17,615.0000
PAPETERIE ATLAS,"Office Supplies, Stationery and Accessories",2020/09/21,175.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.3700
Canada Post – Postes Canada,Courier Services,2020/09/23,9.0900
Canada Post – Postes Canada,Courier Services,2020/09/23,10.4600
Canada Post – Postes Canada,Courier Services,2020/09/23,7.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.2300
Canada Post – Postes Canada,Courier Services,2020/09/23,10.0900
Canada Post – Postes Canada,Courier Services,2020/09/23,7.3700
Canada Post – Postes Canada,Courier Services,2020/09/23,9.7900
Canada Post – Postes Canada,Courier Services,2020/09/23,9.7900
Canada Post – Postes Canada,Courier Services,2020/09/23,8.1000
Canada Post – Postes Canada,Courier Services,2020/09/23,7.2300
"Debut, Nicole",Janitorial Services and Maintenance,2020/09/24,120.0000
twohumans,Professional Communication Services,2020/09/28,2800.0000
"MONDE 400 INC., LE",Office Rental and Related Fees,2020/10/01,3333.3300
