"Members – Detailed Travel Expenditures Report – Lawrence, Philip – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203755,2020/05/25,2020/08/05,,,,,,,163.9000,0.0000,0.0000,0.0000,0,0,163.9000
T0203755,2020/05/25,2020/08/05,"Kerr, Ralph",Employee,To attend meetings about constituency issues,2020/05/25,Port Hope,Campbellford,,,,,,,
T0203755,2020/05/25,2020/08/05,"Kerr, Ralph",Employee,To attend meetings about constituency issues,2020/05/25,Campbellford,Port Hope,,,,,,,
T0203755,2020/05/25,2020/08/05,"Kerr, Ralph",Employee,To attend a constituency or community event,2020/06/22,Port Hope,Campbellford,,,,,,,
T0203755,2020/05/25,2020/08/05,"Kerr, Ralph",Employee,To attend a constituency or community event,2020/06/22,Campbellford,Port Hope,,,,,,,
T0203755,2020/05/25,2020/08/05,"Kerr, Ralph",Employee,To attend a constituency or community event,2020/08/05,Cobourg,Grafton,,,,,,,
T0203755,2020/05/25,2020/08/05,"Kerr, Ralph",Employee,To attend a constituency or community event,2020/08/05,Grafton,Cobourg,,,,,,,
T0202835,2020/07/01,2020/07/31,,,,,,,0.0000,2200.0000,0.0000,0,0,0,2200.0000
T0202835,2020/07/01,2020/07/31,"Lawrence, Philip",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0203744,2020/08/01,2020/08/31,,,,,,,0.0000,2200.0000,0.0000,0,0,0,2200.0000
T0203744,2020/08/01,2020/08/31,"Lawrence, Philip",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
T0204518,2020/08/01,2020/08/31,,,,,,,0.0000,2200.0000,0.0000,0,0,0,2200.0000
T0204518,2020/08/01,2020/08/31,"Lawrence, Philip",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
T0204221,2020/08/02,2020/08/07,,,,,,,693.0800,688.0000,484.9000,0,1.0000,0,1865.9800
T0204221,2020/08/02,2020/08/07,"Lawrence, Philip",Member,To attend training,2020/08/02,Cobourg,L'Islet,,,,,,,
T0204221,2020/08/02,2020/08/07,"Lawrence, Philip",Member,To attend training,2020/08/07,L'Islet,Cobourg,,,,,,,
T0204980,2020/08/13,2020/08/19,,,,,,,131.4400,0.0000,0.0000,0.0000,0,0,131.4400
T0204980,2020/08/13,2020/08/19,"Kerr, Ralph",Employee,To conduct constituency office business,2020/08/13,Cobourg,Campbellford,,,,,,,
T0204980,2020/08/13,2020/08/19,"Kerr, Ralph",Employee,To conduct constituency office business,2020/08/13,Campbellford,Keene,,,,,,,
T0204980,2020/08/13,2020/08/19,"Kerr, Ralph",Employee,To conduct constituency office business,2020/08/13,Keene,Port Hope,,,,,,,
T0204980,2020/08/13,2020/08/19,"Kerr, Ralph",Employee,To conduct constituency office business,2020/08/19,Cobourg,Castleton,,,,,,,
T0204980,2020/08/13,2020/08/19,"Kerr, Ralph",Employee,To conduct constituency office business,2020/08/19,Castleton,Cobourg,,,,,,,
T0204981,2020/09/08,2020/09/09,,,,,,,308.7200,0.0000,91.5200,1.0000,0,0,400.2400
T0204981,2020/09/08,2020/09/09,"Lawrence, Philip",Member,To travel to/from constituency and Ottawa,2020/09/08,Cobourg,Ottawa,,,,,,,
T0204981,2020/09/08,2020/09/09,"Lawrence, Philip",Member,To travel to/from constituency and Ottawa,2020/09/09,Ottawa,Cobourg,,,,,,,
T0205053,2020/09/15,2020/09/17,,,,,,,174.0600,468.7500,0.0000,0,1.0000,0,642.8100
T0205053,2020/09/15,2020/09/17,"Lawrence, Philip",Member,To attend a regional or provincial caucus meeting,2020/09/15,Cobourg,Alliston,,,,,,,
T0205053,2020/09/15,2020/09/17,"Lawrence, Philip",Member,To attend a regional or provincial caucus meeting,2020/09/17,Alliston,Cobourg,,,,,,,
