"Members – Detailed Contract Expenditures Report – Lobb, Ben – Q2 2021"
Supplier,Description,Date,Total
"The Backyard Flower Shop ",Gifts given as a matter of protocol,2020/03/25,60.0000
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/04/01,955.5000
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/05/01,955.5000
"Dollarama ","Office Supplies, Stationery and Accessories",2020/05/05,2.0000
Zehrs,Spring Water,2020/05/05,15.9900
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.3600
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.6300
Sobeys,Spring Water,2020/05/25,5.9800
Backbone technology inc.,Web Site Hosting/Domain Name,2020/06/01,140.0000
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/06/01,955.5000
North Huron Publishing Company Inc.,Advertising,2020/06/01,93.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,198.2900
"Marketplace Magazine, The",Advertising,2020/06/02,182.1000
Eastlink,Public Utilities,2020/06/04,268.6200
"Canada Post ",Postage and Parcel Post,2020/06/09,15.2300
FARMERS FORUM,Advertising,2020/06/09,99.0000
MicroAge Basics,"Office Supplies, Stationery and Accessories",2020/06/09,95.4600
Eastlink,Public Utilities,2020/06/10,275.6000
Enbridge Gas Inc.,Public Utilities,2020/06/10,51.1100
Saugeen Times,Advertising,2020/06/10,190.0000
"Canada Post ",Postage and Parcel Post,2020/06/23,13.1200
"KINCARDINE INDEPENDENT, THE",Advertising,2020/06/24,112.5000
Town Crier,Advertising,2020/06/25,107.8800
Dollarama,"Office Supplies, Stationery and Accessories",2020/06/26,2.2500
"Dot Net Computers Inc. ","Office Supplies, Stationery and Accessories",2020/06/26,54.0000
"Canada Post ",Postage and Parcel Post,2020/06/29,13.1200
Midwestern Newspapers Corp.,Advertising,2020/06/29,322.0000
"Canada Post ",Postage and Parcel Post,2020/06/30,26.2400
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,194.9900
Grand & Toy,Cleaning Products,2020/06/30,26.9000
MicroAge Basics,"Office Supplies, Stationery and Accessories",2020/06/30,55.8800
North Huron Publishing Company Inc.,Advertising,2020/06/30,158.5200
Postmedia Network Inc.,Advertising,2020/06/30,1200.0000
Backbone technology inc.,Web Site Hosting/Domain Name,2020/07/01,140.0000
"KINCARDINE INDEPENDENT, THE",Advertising,2020/07/01,84.3800
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/07/01,955.5000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,194.2900
"Eastlink ",Public Utilities,2020/07/03,268.6200
Huron Pioneer Threshers & Hobby Association Inc.,Advertising,2020/07/06,110.0000
"Canada Post ",Postage and Parcel Post,2020/07/07,26.2400
FARMERS FORUM,Advertising,2020/07/07,99.0000
An Extra Set of Hands,Janitorial Services and Maintenance,2020/07/08,315.0000
"Canadian Tire ","Office Supplies, Stationery and Accessories",2020/07/09,6.2900
"Canada Post ",Postage and Parcel Post,2020/07/10,13.1200
Eastlink,Public Utilities,2020/07/10,275.6000
Enbridge Gas Inc.,Public Utilities,2020/07/13,48.8600
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,3.5600
"Elite Domestic Services ",Janitorial Services and Maintenance,2020/07/20,15.0000
"Canada Post ",Postage and Parcel Post,2020/07/21,13.1200
WILLOW PRINTING AND PUBLISHING CO.,Advertising,2020/07/23,325.0000
MicroAge Basics,"Office Supplies, Stationery and Accessories",2020/07/30,162.4300
Sobeys,Spring Water,2020/07/30,5.9800
An Extra Set of Hands,Janitorial Services and Maintenance,2020/07/31,140.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,516.6200
Grand & Toy,Bulk Paper Purchases,2020/07/31,4.4700
Grand & Toy,Cleaning Products,2020/07/31,26.9000
MicroAge Basics,Repair of Computer Equipment and Peripherals,2020/07/31,158.0000
Backbone technology inc.,Web Site Hosting/Domain Name,2020/08/01,140.0000
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/08/01,955.5000
MARK KRAEMER HOLDINS LTD.,Office Rental and Related Fees,2020/08/01,1604.4700
Rogers Wireless – Rogers sans-fil,Voice and data overage fees for mobile devices,2020/08/01,0.4500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,243.0400
Eastlink,Public Utilities,2020/08/03,303.5400
Watson's Home Hardware,"Office Supplies, Stationery and Accessories",2020/08/05,15.9900
Eastlink,Public Utilities,2020/08/10,311.4300
Canada Post,Postage and Parcel Post,2020/08/11,22.5100
FARMERS FORUM,Advertising,2020/08/11,99.0000
Enbridge Gas Inc.,Public Utilities,2020/08/13,72.4800
Erth Power Corporation,Public Utilities,2020/08/17,13.4200
"Elite Domestic Services ",Janitorial Services and Maintenance,2020/08/24,15.0000
Canada Post,Postage and Parcel Post,2020/08/28,28.7800
MicroAge Basics,"Office Supplies, Stationery and Accessories",2020/08/28,73.4000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,220.9900
North Huron Publishing Company Inc.,Advertising,2020/08/31,139.2000
LEMBKE PROPERTIES CORPORATION,Office Rental and Related Fees,2020/09/01,955.5000
MARK KRAEMER HOLDINS LTD.,Office Rental and Related Fees,2020/09/01,1604.4700
Eastlink,Cable and Internet Fees,2020/09/03,303.5400
Eastlink,Cable and Internet Fees,2020/09/10,311.4300
Canada Post – Postes Canada,Courier Services,2020/09/23,25.2800
Canada Post – Postes Canada,Courier Services,2020/09/30,25.7200
