"Members – Detailed Contract Expenditures Report – Louis, Tim – Q2 2021"
Supplier,Description,Date,Total
BELL CANADA,Cable and Internet Fees,2019/12/04,71.4300
Schlegel Urban Developments Corp.,Office Rental and Related Fees,2020/01/01,120.5900
BELL CANADA,Cable and Internet Fees,2020/01/04,59.9500
Star Metroland Media,Advertising,2020/01/26,219.2000
Schlegel Urban Developments Corp.,Office Rental and Related Fees,2020/02/01,120.5900
BELL CANADA,Cable and Internet Fees,2020/03/04,64.4000
KITCHENER WILMOT HYDRO INC.,Public Utilities,2020/03/09,153.2100
CITY OF KITCHENER,Public Utilities,2020/04/01,24.3600
Best Buy,"Office Supplies, Stationery and Accessories",2020/04/03,69.9800
BELL CANADA,Cable and Internet Fees,2020/04/04,64.4000
Rogers,Cable and Internet Fees,2020/04/07,117.5100
KITCHENER WILMOT HYDRO INC.,Public Utilities,2020/04/08,224.2400
Star Metroland Media,Advertising,2020/04/12,230.0000
Zoom,Licence Renewal,2020/04/27,20.0000
Best Buy,"Office Supplies, Stationery and Accessories",2020/05/01,114.9900
BEST BUY,"Office Supplies, Stationery and Accessories",2020/05/01,159.9900
CITY OF KITCHENER,Public Utilities,2020/05/01,24.1200
JDI Cleaning Systems,Janitorial Services and Maintenance,2020/05/01,235.0000
FACEBOOK,Advertising,2020/05/02,30.0000
Star Metroland Media,Advertising,2020/05/03,229.0000
BELL CANADA,Cable and Internet Fees,2020/05/04,64.4000
Embracing Change,Advertising,2020/05/05,197.7500
Rogers,Cable and Internet Fees,2020/05/07,117.5100
Star Metroland Media,Advertising,2020/05/10,319.0000
KITCHENER WILMOT HYDRO INC.,Public Utilities,2020/05/11,105.0600
Best Buy,"Office Supplies, Stationery and Accessories",2020/05/13,99.9800
FACEBOOK,Advertising,2020/05/13,30.0000
Best Buy,"Office Supplies, Stationery and Accessories",2020/05/14,182.4600
Star Metroland Media,Advertising,2020/05/17,319.0000
"BADEN OUTLOOK, THE",Advertising,2020/05/18,250.0000
Facebook,Advertising,2020/05/19,21.2400
"OBSERVER - WOOLWICH AND WELLESLEY, THE",Advertising,2020/05/21,743.0000
Star Metroland Media,Advertising,2020/05/24,319.0000
Facebook,Advertising,2020/05/26,30.1000
Zoom,Licence Renewal,2020/05/27,20.0000
CITY OF KITCHENER,Public Utilities,2020/06/01,21.9000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,253.2900
xplornet,Internet (COVID19),2020/06/01,109.9900
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/06/02,150.0000
BELL CANADA,Cable and Internet Fees,2020/06/04,57.7000
CANADIAN NETWORK BROADCASTING,Advertising,2020/06/04,1299.0000
"OBSERVER - WOOLWICH AND WELLESLEY, THE",Advertising,2020/06/04,743.0000
Facebook,Advertising,2020/06/07,40.0000
Rogers,Cable and Internet Fees,2020/06/07,117.5100
KITCHENER WILMOT HYDRO INC.,Public Utilities,2020/06/08,103.9400
English Garden Publishers,Advertising,2020/06/10,440.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
St. Jacobs Printery Ltd.,"Householders ",2020/06/16,4513.6400
"OBSERVER - WOOLWICH AND WELLESLEY, THE",Advertising,2020/06/18,743.0000
Best Buy,"Office Supplies, Stationery and Accessories",2020/06/19,51.7800
"OBSERVER - WOOLWICH AND WELLESLEY, THE",Advertising,2020/06/25,743.0000
zoom,Licence Renewal,2020/06/27,20.0000
Zoom,Licence Renewal,2020/06/27,20.0000
"BADEN OUTLOOK, THE",Advertising,2020/06/30,250.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,563.4000
Staples Canada,"Office Supplies, Stationery and Accessories",2020/06/30,449.4600
JDI Cleaning Systems,Janitorial Services and Maintenance,2020/07/01,235.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,263.5400
xplornet,Internet (COVID19),2020/07/01,109.9900
CITY OF KITCHENER,Public Utilities,2020/07/02,23.6300
BELL CANADA,Cable and Internet Fees,2020/07/04,61.7800
