"Members – Detailed Contract Expenditures Report – MacKenzie, Dave – Q2 2021"
Supplier,Description,Date,Total
BRIGHTON PROPERTIES,Office Renovations,2020/03/31,5495.6800
"Sharpdirect ",Photocopier Rental and Related Costs,2020/04/30,101.9700
"Rogers ",Cable and Internet Fees,2020/05/03,112.9900
"Rogers ",Cable and Internet Fees,2020/05/04,94.7000
"AYR NEWS LIMITED, THE",Advertising,2020/05/11,144.0000
Postmedia Network Inc.,Advertising,2020/05/16,250.0000
"Hydro ONE ",Public Utilities,2020/05/19,66.8900
Hydroone,Public Utilities,2020/05/25,58.0100
Betty Masters,Janitorial Services and Maintenance,2020/05/31,120.0000
"SharpDirect ",Photocopier Rental and Related Costs,2020/05/31,104.6600
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,114.1500
"Start Communications ",Web Site Hosting/Domain Name,2020/06/01,14.9500
"Rogers ",Cable and Internet Fees,2020/06/03,112.9900
"rogers ",Cable and Internet Fees,2020/06/04,94.7000
"Diva Petroleum ","Office Supplies, Stationery and Accessories",2020/06/11,29.2000
Enbridge Gas Inc.,Public Utilities,2020/06/16,386.0100
Hydro ONE,Public Utilities,2020/06/18,75.1100
Hydro ONE,Public Utilities,2020/06/24,58.4300
TAVISTOCK GAZETTE,Advertising,2020/06/24,213.9200
St.Marys Independent,Advertising,2020/06/25,96.0000
Grand & Toy,Cleaning Products,2020/06/30,81.3600
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,248.1100
JC Graphics,Advertising,2020/06/30,515.0000
"Sharp Direct ",Photocopier Rental and Related Costs,2020/06/30,105.2100
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,42.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,128.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,135.6500
"Start Communications ",Web Site Hosting/Domain Name,2020/07/01,14.9500
"AYR NEWS LIMITED, THE",Advertising,2020/07/02,154.0000
Rogers,Cable and Internet Fees,2020/07/03,112.9900
Rogers,Cable and Internet Fees,2020/07/04,94.7000
"Betty Masters ",Janitorial Services and Maintenance,2020/07/08,120.0000
Main St Supplies,Consumable Items for Constituency Offices (COVID19),2020/07/08,505.2300
"AYR NEWS LIMITED, THE","Printed Matter, Books, Newspapers and Subscriptions",2020/07/14,45.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.4500
Hyrdo ONE,Public Utilities,2020/07/20,92.6400
Canadian Tire,"Office Supplies, Stationery and Accessories",2020/07/22,14.9900
Hydro ONE,Public Utilities,2020/07/24,59.9300
JC Graphics,Advertising,2020/07/27,515.0000
"Betty Masters ",Janitorial Services and Maintenance,2020/07/30,110.0000
Grand & Toy,Cleaning Products,2020/07/31,15.5100
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,19.8900
Sharp Direct,Photocopier Rental and Related Costs,2020/07/31,103.8300
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,128.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,113.2500
BRIGHTON PROPERTIES,Office Rental and Related Fees,2020/08/01,2996.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,194.6500
Start Communications,Web Site Hosting/Domain Name,2020/08/01,14.9500
Enbridge Gas Inc.,Public Utilities,2020/08/19,537.0300
Enbridge Gas Inc.,Public Utilities,2020/08/19,74.4500
JAMIESON HILTS INSURANCE BROKERS,Constituency Office Insurance,2020/08/20,1695.0000
JC Graphics,Advertising,2020/08/31,515.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,63.5200
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,128.0000
BRIGHTON PROPERTIES,Office Rental and Related Fees,2020/09/01,2996.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,25.7600
BRIGHTON PROPERTIES,Office Rental and Related Fees,2020/10/01,2996.0000
