"Members – Detailed Contract Expenditures Report – Maguire, Larry – Q2 2021"
Supplier,Description,Date,Total
Dropbox Inc.,Licence Renewal,2020/04/08,27.9900
Dropbox Inc.,Licence Renewal,2020/05/08,27.9900
Burke's Consulting & Home Improvements,Constituency Office Reconfigurations and Fixtures (COVID19),2020/05/22,750.0000
Winnipeg Free Press,Advertising,2020/05/31,149.1700
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,332.9000
Progressive Westman,Janitorial Services and Maintenance,2020/06/03,24.2000
Winnipeg Free Press,Advertising,2020/06/07,380.5700
Dropbox Inc.,Licence Renewal,2020/06/08,27.9900
Westman Communications,Cable and Internet Fees,2020/06/14,59.5500
The Gazette,Advertising,2020/06/16,54.0000
Progressive Westman,Janitorial Services and Maintenance,2020/06/17,24.2000
BOISSEVAIN RECORDER INC.,Advertising,2020/06/19,179.7000
SENTINEL COURIER,Advertising,2020/06/22,136.5000
MANITOBA HYDRO,Public Utilities,2020/06/23,284.1100
Struth Publishing Ltd.,Advertising,2020/06/26,50.0000
Linda Hunter,Janitorial Services and Maintenance,2020/06/29,75.0000
Grand & Toy,Cleaning Products,2020/06/30,8.6000
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2020/06/30,500.0000
SOUTHERN MANITOBA REVIEW,Advertising,2020/06/30,97.3500
SOUTHERN MANITOBA REVIEW,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/30,43.2300
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/07/01,169.0000
Bell MTS,Cable and Internet Fees,2020/07/01,113.9800
Progressive Westman,Janitorial Services and Maintenance,2020/07/01,24.2000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,326.7500
AAA ALARM SYSTEMS LTD.,Protection and Alarm Monitoring (Member's Office Budget),2020/07/03,410.8800
The Gazette,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/07,49.6800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,56.1600
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/07/14,56.2400
Progressive Westman,Janitorial Services and Maintenance,2020/07/15,24.2000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,100.3800
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/20,1465.0000
MANITOBA HYDRO,Public Utilities,2020/07/23,282.2100
Canva Pty Ltd.,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/25,16.9900
Linda Hunter,Janitorial Services and Maintenance,2020/07/28,75.0000
Progressive Westman,Janitorial Services and Maintenance,2020/07/29,24.2000
Virden Empire Advance,Advertising,2020/07/31,202.4200
Bell MTS,Cable and Internet Fees,2020/08/01,113.9800
"Hargreaves, Susan",Office Rental and Related Fees,2020/08/01,1708.3300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,474.8000
Rogers Wireless – Rogers sans-fil,Long Distance,2020/08/01,0.7500
5927324 Manitoba LTD.,Janitorial Services and Maintenance,2020/08/12,24.2000
Westman Communications,Cable and Internet Fees,2020/08/14,58.2500
5927324 Manitoba LTD.,Consumable Items for Constituency Offices (COVID19),2020/08/19,140.9500
LAKEVIEW RESORT & CONFERENCE CENTRE - GIMLI,Public Meeting Room Rentals,2020/08/25,271.4800
5927324 Manitoba LTD.,Janitorial Services and Maintenance,2020/08/26,24.2000
Grand & Toy,Cleaning Products,2020/08/31,20.9600
Bell MTS,Cable and Internet Fees,2020/09/01,113.9800
"Hargreaves, Susan",Office Rental and Related Fees,2020/09/01,1708.3300
JEWISH POST & NEWS,Advertising,2020/09/16,175.0000
Blacklock's Reporter,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/22,314.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,52.2200
Canada Post – Postes Canada,Courier Services,2020/09/23,14.7800
Canada Post – Postes Canada,Courier Services,2020/09/23,22.1000
Canada Post – Postes Canada,Courier Services,2020/09/23,10.3300
Canada Post – Postes Canada,Courier Services,2020/09/23,79.0100
Canada Post – Postes Canada,Courier Services,2020/09/23,7.5300
"Hargreaves, Susan",Office Rental and Related Fees,2020/10/01,1708.3300
