"Members – Detailed Travel Expenditures Report – Martel, Richard – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202509,2020/01/24,2020/01/30,,,,,,,975.4700,0.0000,0.0000,0.5000,0.5000,0,975.4700
T0202509,2020/01/24,2020/01/30,,Designated Traveller,To unite the family with the Member,2020/01/30,Ottawa,Bagotville,,,,,,,
T0202509,2020/01/24,2020/01/30,,Designated Traveller,To unite the family with the Member,2020/01/24,Montréal,Ottawa,,,,,,,
T0203778,2020/07/15,2020/07/15,,,,,,,16.9700,0.0000,0.0000,0.0000,0,0,16.9700
T0203778,2020/07/15,2020/07/15,"Martel, Richard",Member,To attend meetings about constituency issues,2020/07/15,Chicoutimi,La Baie (Saguenay),,,,,,,
T0203768,2020/07/21,2020/07/23,,,,,,,624.3100,348.3600,276.4700,1.0000,0,0,1249.1400
T0203768,2020/07/21,2020/07/23,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2020/07/21,Chicoutimi,Ottawa,,,,,,,
T0203768,2020/07/21,2020/07/23,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2020/07/23,Ottawa,Chicoutimi,,,,,,,
T0203780,2020/07/28,2020/07/28,,,,,,,17.8700,0.0000,0.0000,0.0000,0,0,17.8700
T0203780,2020/07/28,2020/07/28,"Martel, Richard",Member,To attend meetings about constituency issues,2020/07/28,Chicoutimi,La Baie (Saguenay),,,,,,,
T0204372,2020/08/10,2020/08/19,,,,,,,4.9100,0.0000,0.0000,0.0000,0,0,4.9100
T0204372,2020/08/10,2020/08/19,"Fortin, Marc-Olivier",Employee,To attend meetings about constituency issues,2020/08/10,Chicoutimi,Chicoutimi,,,,,,,
T0204372,2020/08/10,2020/08/19,"Fortin, Marc-Olivier",Employee,To attend meetings about constituency issues,2020/08/19,Chicoutimi,Chicoutimi,,,,,,,
T0204416,2020/08/11,2020/08/18,,,,,,,150.5400,0.0000,84.5000,0.0000,0,0,235.0400
T0204416,2020/08/11,2020/08/18,"Simard, Philip",Employee,To conduct constituency office business,2020/08/17,Saguenay,Petit-Saguenay,,,,,,,
T0204416,2020/08/11,2020/08/18,"Simard, Philip",Employee,To conduct constituency office business,2020/08/17,Petit-Saguenay,L'Anse-Saint-Jean,,,,,,,
T0204416,2020/08/11,2020/08/18,"Simard, Philip",Employee,To conduct constituency office business,2020/08/17,L'Anse-Saint-Jean,Rivière-Éternité,,,,,,,
T0204416,2020/08/11,2020/08/18,"Simard, Philip",Employee,To conduct constituency office business,2020/08/17,Rivière-Éternité,Saguenay,,,,,,,
T0204416,2020/08/11,2020/08/18,"Simard, Philip",Employee,To conduct constituency office business,2020/08/18,Saguenay,Ferland-et-Boilleau,,,,,,,
T0204416,2020/08/11,2020/08/18,"Simard, Philip",Employee,To conduct constituency office business,2020/08/18,Ferland-et-Boilleau,Saint-Félix-d'Otis,,,,,,,
T0204416,2020/08/11,2020/08/18,"Simard, Philip",Employee,To conduct constituency office business,2020/08/18,Saint-Félix-d'Otis,Saguenay,,,,,,,
T0204376,2020/08/23,2020/08/26,,,,,,,615.2500,582.3600,393.2100,1.0000,0,0,1590.8200
T0204376,2020/08/23,2020/08/26,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2020/08/23,Chicoutimi,Ottawa,,,,,,,
T0204280,2020/08/23,2020/08/26,,,,,,,669.3800,616.7100,393.2100,1.0000,0,0,1679.3000
T0204280,2020/08/23,2020/08/26,"Fortin, Marc-Olivier",Employee,To travel to/from constituency and Ottawa,2020/08/23,Chicoutimi,Ottawa,,,,,,,
T0204280,2020/08/23,2020/08/26,"Fortin, Marc-Olivier",Employee,To travel to/from constituency and Ottawa,2020/08/26,Ottawa,Chicoutimi,,,,,,,
T0204376,2020/08/23,2020/08/26,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2020/08/26,Ottawa,Chicoutimi,,,,,,,
T0204927,2020/09/01,2020/09/01,,,,,,,44.6800,0.0000,0.0000,0.0000,0,0,44.6800
T0204927,2020/09/01,2020/09/01,"Martel, Richard",Member,To attend meetings about constituency issues,2020/09/01,Chicoutimi,Saint-Bruno (Le Fjord-du-Saguenay),,,,,,,
T0204750,2020/09/01,2020/09/03,,,,,,,0.0000,428.6900,276.4700,0.0000,0,0,705.1600
T0204750,2020/09/01,2020/09/03,"Fortin, Marc-Olivier",Employee,To travel to/from constituency and Ottawa,2020/09/01,Chicoutimi,Ottawa,,,,,,,
T0204691,2020/09/01,2020/09/03,,,,,,,655.9700,384.8200,276.4700,1.0000,0,0,1317.2600
T0204691,2020/09/01,2020/09/03,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2020/09/01,Chicoutimi,Ottawa,,,,,,,
T0204750,2020/09/01,2020/09/03,"Fortin, Marc-Olivier",Employee,To travel to/from constituency and Ottawa,2020/09/03,Ottawa,Chicoutimi,,,,,,,
T0204691,2020/09/01,2020/09/03,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2020/09/03,Ottawa,Chicoutimi,,,,,,,
T0204806,2020/09/08,2020/09/10,,,,,,,0.0000,0.0000,249.1500,0.0000,0,0,249.1500
T0204806,2020/09/08,2020/09/10,"Fortin, Marc-Olivier",Employee,To travel to/from constituency and Ottawa,2020/09/08,Chicoutimi,Ottawa,,,,,,,
T0204803,2020/09/08,2020/09/10,,,,,,,610.7500,355.6500,196.6100,1.0000,0,0,1163.0100
T0204803,2020/09/08,2020/09/10,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2020/09/08,Chicoutimi,Ottawa,,,,,,,
T0204806,2020/09/08,2020/09/10,"Fortin, Marc-Olivier",Employee,To travel to/from constituency and Ottawa,2020/09/10,Ottawa,Chicoutimi,,,,,,,
T0204803,2020/09/08,2020/09/10,"Martel, Richard",Member,To travel to/from constituency and Ottawa,2020/09/09,Ottawa,Chicoutimi,,,,,,,
