"Members – Detailed Travel Expenditures Report – Mathyssen, Lindsay – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202998,2020/06/14,2020/07/05,,,,,,,740.1400,0.0000,701.4700,1.5000,0,0,1441.6100
T0202998,2020/06/14,2020/07/05,"Mathyssen, Lindsay",Member,To travel to/from constituency and Ottawa,2020/06/14,London,Ottawa,,,,,,,
T0202998,2020/06/14,2020/07/05,"Mathyssen, Lindsay",Member,To travel to/from constituency and Ottawa,2020/06/29,Ottawa,London,,,,,,,
T0202998,2020/06/14,2020/07/05,"Mathyssen, Lindsay",Member,To travel to/from constituency and Ottawa,2020/07/05,London,Ottawa,,,,,,,
T0204361,2020/07/31,2020/08/02,,,,,,,626.4200,0.0000,0.0000,1.0000,0,0,626.4200
T0204361,2020/07/31,2020/08/02,,Designated Traveller,To unite the family with the Member,2020/07/31,Ottawa,London,,,,,,,
T0204361,2020/07/31,2020/08/02,,Designated Traveller,To unite the family with the Member,2020/08/02,London,Ottawa,,,,,,,
200430754,2020/08/01,2020/08/31,,,,,,,0.0000,1117.8600,0.0000,0,0,0,1117.8600
200430754,2020/08/01,2020/08/31,"Mathyssen, Lindsay",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204543,2020/08/26,2020/09/02,,,,,,,480.9200,0.0000,196.6100,1.0000,0,0,677.5300
T0204543,2020/08/26,2020/09/02,"Mathyssen, Lindsay",Member,To travel to/from constituency and Ottawa,2020/08/26,London,Ottawa,,,,,,,
T0204543,2020/08/26,2020/09/02,"Mathyssen, Lindsay",Member,To travel to/from constituency and Ottawa,2020/09/02,Ottawa,London,,,,,,,
200437236,2020/09/01,2020/09/30,,,,,,,0.0000,1117.8600,0.0000,0,0,0,1117.8600
200437236,2020/09/01,2020/09/30,"Mathyssen, Lindsay",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0204978,2020/09/06,2020/09/12,,,,,,,626.4200,0.0000,688.1200,1.0000,0,0,1314.5400
T0204978,2020/09/06,2020/09/12,"Yardy, Stephen",Employee,To travel to/from constituency and Ottawa,2020/09/06,Ottawa,London,,,,,,,
T0204978,2020/09/06,2020/09/12,"Yardy, Stephen",Employee,To travel to/from constituency and Ottawa,2020/09/12,London,Ottawa,,,,,,,
200442099,2020/10/01,2020/10/31,,,,,,,0.0000,1117.8600,0.0000,0,0,0,1117.8600
200442099,2020/10/01,2020/10/31,"Mathyssen, Lindsay",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
