"Members – Detailed Contract Expenditures Report – McColeman, Phil – Q2 2021"
Supplier,Description,Date,Total
Backbone technology inc.,Web Site Hosting/Domain Name,2020/06/01,149.8000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,222.7500
Nova Cleaning Supplies,Consumable Items for Constituency Offices (COVID19),2020/06/12,49.7500
TURTLE ISLAND NEWS,Advertising,2020/06/17,165.0000
KEN'S COMPUTERS,Repair of Computer Equipment and Peripherals,2020/06/24,202.5000
KEN'S COMPUTERS,Repair of Computer Equipment and Peripherals,2020/06/25,517.5000
Rogers,Cable and Internet,2020/06/25,42.4900
"ST. GEORGE LANCE, THE",Advertising,2020/06/26,292.5000
COSTCO,Consumable Items for Constituency Offices (COVID19),2020/06/27,74.9700
Rogers,Cable and Internet Fees,2020/06/29,132.9900
Postmedia Network Inc.,Advertising,2020/06/30,49.0000
TURTLE ISLAND NEWS,Advertising,2020/06/30,140.0000
"BABINETZ, DONNA",Janitorial Services and Maintenance,2020/07/01,198.8200
Backbone technology inc.,Web Site Hosting/Domain Name,2020/07/01,149.8000
Bscene,Advertising,2020/07/01,62.5000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,183.0400
4 OFFICE AUTOMATION LTD.,Photocopier Rental and Related Costs,2020/07/07,37.6000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,22.7400
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.0700
TURTLE ISLAND NEWS,Advertising,2020/07/22,155.0000
Rogers,Cable and Internet Fees,2020/07/25,42.4900
KEN'S COMPUTERS,Repair of Computer Equipment and Peripherals,2020/07/27,255.0000
Rogers,Cable and Internet Fees,2020/07/29,132.9900
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2020/07/30,500.0000
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/07/31,169.0000
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/07/31,56.2400
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,338.6400
1498561 ONTARIO INC.,Office Rental and Related Fees,2020/08/01,2750.0000
"BABINETZ, DONNA",Janitorial Services and Maintenance,2020/08/01,198.8200
Backbone technology inc.,Web Site Hosting/Domain Name,2020/08/01,149.8000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,211.5800
Purolator,Courier Services,2020/08/07,15.3700
Culligan Water,Spring Water,2020/08/11,29.0000
Rogers,Cable and Internet Fees,2020/08/29,132.9900
1498561 ONTARIO INC.,Office Rental and Related Fees,2020/09/01,2750.0000
"BABINETZ, DONNA",Janitorial Services and Maintenance,2020/09/01,198.8200
CANADA BROKERLINK (ONTARIO) INC.,Constituency Office Insurance,2020/09/23,1812.2400
Canada Post – Postes Canada,Courier Services,2020/09/23,19.5200
Canada Post – Postes Canada,Courier Services,2020/09/23,11.7200
Cozzmic Communications,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/24,100.0000
1498561 ONTARIO INC.,Office Rental and Related Fees,2020/10/01,2750.0000
