"Members – Detailed Contract Expenditures Report – McDonald, Ken – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.3600
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.6200
Bell Aliant,Cable and Internet Fees,2020/06/12,180.9500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
"BUSINESS POST, THE",Advertising,2020/06/18,71.2500
"BUSINESS POST, THE",Advertising,2020/06/19,71.2500
Grand & Toy,Digital Communication Equipment,2020/06/30,179.5500
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,250.4900
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,249.7500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,42.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Bell Aliant,Cable and Internet Fees,2020/07/12,180.9500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,112.2300
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.0400
"BUSINESS POST, THE",Advertising,2020/07/19,81.9400
"BUSINESS POST, THE",Advertising,2020/07/23,594.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,249.7500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,57.0000
M.B.M. DEVELOPMENT LTD.,Office Rental and Related Fees,2020/08/01,2300.0000
"BUSINESS POST, THE",Advertising,2020/08/09,71.2500
Bell Aliant,Cable and Internet Fees,2020/08/12,182.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
"BUSINESS POST, THE",Advertising,2020/08/26,71.2500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,249.7500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,209.7400
M.B.M. DEVELOPMENT LTD.,Office Rental and Related Fees,2020/09/01,2300.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
Bell Aliant,Cable and Internet Fees,2020/09/12,182.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,31.3000
Canada Post – Postes Canada,Courier Services,2020/09/23,24.2700
Canada Post – Postes Canada,Courier Services,2020/09/23,16.9100
Canada Post – Postes Canada,Courier Services,2020/09/23,23.6700
Canada Post – Postes Canada,Courier Services,2020/09/23,23.8000
Canada Post – Postes Canada,Courier Services,2020/09/23,18.2700
Canada Post – Postes Canada,Courier Services,2020/09/23,31.3000
Canada Post – Postes Canada,Courier Services,2020/09/23,26.8700
Canada Post – Postes Canada,Courier Services,2020/09/23,127.0400
JAVELIN PUBLISHING,Advertising,2020/09/23,300.0000
M.B.M. DEVELOPMENT LTD.,Office Rental and Related Fees,2020/10/01,2300.0000
