"Members – Detailed Contract Expenditures Report – Mendicino, Marco – Q2 2021"
Supplier,Description,Date,Total
Forestdale Heights Lodge BBC,Advertising,2020/02/20,50.0000
So Fresh & So Clean Cleaning Compagny,Janitorial Services and Maintenance,2020/03/20,144.0000
So Fresh & So Clean Cleaning Compagny,Janitorial Services and Maintenance,2020/04/20,120.0000
Rogers,Cable and Internet Fees,2020/05/04,273.9100
So Fresh & So Clean Cleaning Compagny,Janitorial Services and Maintenance,2020/05/20,144.0000
Choice Communication (Canada) Ltd.,Advertising,2020/05/23,201.2800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.6200
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.3600
LoSpecchio,Advertising,2020/05/29,151.1500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,216.7900
CORRIERE CANADESE INC.,Advertising,2020/06/02,256.0000
Rogers,Cable and Internet Fees,2020/06/04,273.9100
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
So Fresh & So Clean Cleaning Compagny,Janitorial Services and Maintenance,2020/06/21,120.0000
Campaign Print,Advertising,2020/06/29,1519.8500
POST CITY MAGAZINES,Advertising,2020/06/29,311.8800
Hi-Rise Newspaper,Advertising,2020/06/30,130.1800
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,270.7900
Rogers,Cable and Internet Fees,2020/07/04,273.9100
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,57.4500
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,0.9600
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2020/07/29,310.0000
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/07/30,52.4900
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/07/31,169.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,460.7200
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,358.5400
TORONTO COMMUNITY HOUSING CORP.,Office Rental and Related Fees,2020/08/01,3296.4000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,208.5000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
TORONTO COMMUNITY HOUSING CORP.,Office Rental and Related Fees,2020/09/01,3296.4000
Canada Post – Postes Canada,Courier Services,2020/09/23,13.9900
TORONTO COMMUNITY HOUSING CORP.,Office Rental and Related Fees,2020/10/01,3296.4000
