"Members – Detailed Contract Expenditures Report – Moore, Rob – Q2 2021"
Supplier,Description,Date,Total
Central Supplies Inc.,Toner,2020/01/09,410.9900
Connecting Albert County,Advertising,2020/04/01,133.3400
BRUNSWICK NEWS INC.,Advertising,2020/04/11,150.0000
Atlantic Superstore,"Office Supplies, Stationery and Accessories",2020/04/20,6.9900
Connecting Albert County,Advertising,2020/05/01,133.3400
St. Martins & District Lions Club Inc.,Advertising,2020/05/12,75.0000
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8200
Alison Street Web Design,Advertising,2020/05/29,100.0000
Alison Street Web Design,Communications Officer,2020/05/29,600.0000
Tingley Enterprises Ltd.,Subject Matter Expert,2020/05/31,2500.0000
Connecting Albert County,Advertising,2020/06/01,133.3400
MARITIME MOTORSPORTS HALL OF FAME INC. & MUSEUM,Advertising,2020/06/01,130.5000
BRUNSWICK NEWS INC.,Advertising,2020/06/06,150.0000
Circle K/Irving,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/09,2.6100
Atlantic Superstore,"Office Supplies, Stationery and Accessories",2020/06/12,15.9600
Circle K/Irving,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/16,2.6100
Bell Aliant,Cable and Internet Fees,2020/06/18,240.1100
Circle K/Irving,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/23,2.6100
Atlantic Superstore,Cleaning Products,2020/06/27,14.9800
Alison Street Web Design,Communications Officer,2020/06/30,600.0000
Bayview Credit Union,Banking Fees and Cheque Orders,2020/06/30,6.9500
Circle K/Irving,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/30,2.6100
Tingley Enterprises Ltd.,Subject Matter Expert,2020/06/30,2500.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,49.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,191.0600
MARITIME MOTORSPORTS HALL OF FAME INC. & MUSEUM,Advertising,2020/07/01,130.5000
Connecting Albert County,Advertising,2020/07/02,133.3400
Hi-Tech Security Systems & Alarms,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/07/06,75.0000
Circle K/Irving,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/07,2.6100
Elysian Natural Soap and Skin Care,Cleaning Products,2020/07/07,36.6500
Pharmasave,"Office Supplies, Stationery and Accessories",2020/07/08,3.9900
Amazon.ca,Cleaning Products,2020/07/10,44.0300
BRUNSWICK NEWS INC.,Advertising,2020/07/11,150.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,125.0100
Circle K/Irving,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/14,2.6100
Staples,"Office Supplies, Stationery and Accessories",2020/07/14,7.6900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,22.2300
Bell Aliant,Cable and Internet Fees,2020/07/18,242.4900
Circle K/Irving,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/21,2.6100
Kent-Rothesay,"Office Supplies, Stationery and Accessories",2020/07/21,49.9900
Pharmasave,"Office Supplies, Stationery and Accessories",2020/07/23,6.7000
Circle K/Irving,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/28,2.6100
Great Canadian $ Store,"Office Supplies, Stationery and Accessories",2020/07/29,14.0000
Alison Street Web Design,Communications Officer,2020/07/30,600.0000
Bayview Credit Union,Banking Fees and Cheque Orders,2020/07/31,3.9500
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,36.9300
Grand & Toy,"Freight, Express and Cartage",2020/07/31,24.3200
Grand & Toy,Cleaning Products,2020/07/31,114.9900
Grand & Toy,Bulk Paper Purchases,2020/07/31,54.2000
Tingley Enterprises Ltd.,Subject Matter Expert,2020/07/31,2500.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,191.0600
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,39.0000
HAMPTON HEALTH CARE CENTRE,Office Rental and Related Fees,2020/08/01,2300.0000
MARITIME MOTORSPORTS HALL OF FAME INC. & MUSEUM,Advertising,2020/08/01,130.5000
Circle K/Irving,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/04,2.6100
Connecting Albert County,Advertising,2020/08/06,133.3400
BRUNSWICK NEWS INC.,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/11,215.8800
Circle K/Irving,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/11,2.6100
BRUNSWICK NEWS INC.,Advertising,2020/08/15,150.0000
Bell Aliant,Cable and Internet Fees,2020/08/18,242.5000
Shoppers Drug Mart,Consumable Items for Constituency Offices (COVID19),2020/08/18,35.9500
Walmart,Consumable Items for Constituency Offices (COVID19),2020/08/18,188.6800
Walmart,"Office Supplies, Stationery and Accessories",2020/08/18,16.9100
Canada Post – Postes Canada,Postage and Parcel Post,2020/08/20,211.5400
Alison Street Web Design,Communications Officer,2020/08/31,600.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,191.0600
HAMPTON HEALTH CARE CENTRE,Office Rental and Related Fees,2020/09/01,2300.0000
Tingley Enterprises Ltd.,Subject Matter Expert,2020/09/01,2500.0000
Connecting Albert County,Advertising,2020/09/02,133.3400
Canada Post – Postes Canada,Courier Services,2020/09/23,102.7000
Canada Post – Postes Canada,Courier Services,2020/09/23,21.1000
HAMPTON HEALTH CARE CENTRE,Office Rental and Related Fees,2020/10/01,2300.0000
