"Members – Detailed Contract Expenditures Report – Normandin, Christine – Q2 2021"
Supplier,Description,Date,Total
Vidéotron,Internet (COVID19),2020/02/21,62.0000
Vidéotron,Internet (COVID19),2020/03/20,62.0000
Vidéotron,Internet (COVID19),2020/04/24,62.0000
Squarespace,Web Site Hosting/Domain Name,2020/04/25,34.2100
Vidéotron,Internet (COVID19),2020/05/22,62.0000
Vidéotron,Cable and Internet Fees,2020/05/22,246.5800
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.3600
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.6200
Squarespace,Web Site Hosting/Domain Name,2020/05/25,36.5300
Ibiscom,"Householders ",2020/05/29,5292.0000
Desjardins,Banking Fees and Cheque Orders,2020/05/31,15.9500
Groupe Securite Alarma INC.,"Security Equipment, Intercom and Alarm System (Member's Office Budget)",2020/06/01,501.2500
Les Disques Gavroche,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/01,200.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,120.7900
SNQ de St-Jean-sur-Richelieu,Advertising,2020/06/03,250.0000
Dollarama,"Office Supplies, Stationery and Accessories",2020/06/09,63.3000
Dollars Pluss,"Office Supplies, Stationery and Accessories",2020/06/09,7.4900
Ibiscom,Promotional Items,2020/06/09,1785.0000
COMITÉ CHÔMAGE DU HAUT-RICHELIEU ET DU SUROIT,Advertising,2020/06/10,350.0000
"Bonneville, Mario",Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/12,1225.0000
Vidéotron,Internet (COVID19),2020/06/13,60.0000
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/06/14,125.2100
CHAMBRE DE COMMERCE ET DE L'INDUSTRIE DU HAUT-RICHELIEU,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/16,166.7100
Icimédias Inc.,Advertising,2020/06/16,595.0000
Icimédias Inc.,Advertising,2020/06/18,1000.0000
Cyberimpact,Web Site Hosting/Domain Name,2020/06/19,25.0000
POSA Source des Monts,Advertising,2020/06/19,250.0000
Fondation Santé,Advertising,2020/06/23,500.0000
Squarespace,Web Site Hosting/Domain Name,2020/06/25,35.1500
Vidéotron,Cable and Internet Fees,2020/06/26,246.5800
Bell Média Inc.,Advertising,2020/06/28,800.0000
Desjardins,Banking Fees and Cheque Orders,2020/06/30,3.9500
Relais d'eau pure St-Jean inc.,Spring Water,2020/06/30,73.3500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,16.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,96.9200
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,124.8000
Ibiscom,"Householders ",2020/07/02,5292.0000
Ibiscom,Promotional Items,2020/07/02,750.0000
Cyberimpact,Professional Communication Services,2020/07/03,10.0000
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/07/10,139.5700
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/07/13,134.4500
Bureau en gros,Consumable Items for Constituency Offices (COVID19),2020/07/13,34.9900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,142.2200
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,5.1500
Cyberimpact,Professional Communication Services,2020/07/19,35.0000
Vidéotron,Cable and Internet Fees,2020/07/24,246.5800
Squarespace,Web Site Hosting/Domain Name,2020/07/25,35.2700
Desjardins,Banking Fees and Cheque Orders,2020/07/31,3.9500
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,115.4800
Grand & Toy,Bulk Paper Purchases,2020/07/31,7.8000
Softchoice,Client Software Related to Distributed Computing Environment (DCE),2020/07/31,66.9600
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,96.9200
Place Héritage,Office Rental and Related Fees,2020/08/01,2000.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,107.2500
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/08/19,130.8200
Cyberimpact,Professional Communication Services,2020/08/19,35.0000
Squarespace,Web Site Hosting/Domain Name,2020/08/25,34.8100
Vidéotron,Cable and Internet Fees,2020/08/28,246.5800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,96.9200
Place Héritage,Office Rental and Related Fees,2020/09/01,2000.0000
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/09/04,30.3000
Canada Post – Postes Canada,Courier Services,2020/09/23,10.0300
Canada Post – Postes Canada,Courier Services,2020/09/23,13.0400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.2300
Canada Post – Postes Canada,Courier Services,2020/09/23,9.5800
Canada Post – Postes Canada,Courier Services,2020/09/23,9.1400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.2300
Canada Post – Postes Canada,Courier Services,2020/09/23,7.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,8.1000
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1900
Canada Post – Postes Canada,Courier Services,2020/09/23,7.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,8.0600
Canada Post – Postes Canada,Courier Services,2020/09/23,7.6500
Canada Post – Postes Canada,Courier Services,2020/09/23,10.6100
Place Héritage,Office Rental and Related Fees,2020/10/01,2000.0000
