"Members – Detailed Contract Expenditures Report – Pauzé, Monique – Q2 2021"
Supplier,Description,Date,Total
Michaels,"Office Supplies, Stationery and Accessories",2020/04/24,34.0000
"SSJB ",Consumable Items for Constituency Offices (COVID19),2020/05/25,340.7500
10679313 Canada inc. CJLM FM,Advertising,2020/05/29,250.0000
Axios Atelier Numérique inc,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/09,130.0000
Société nationale des Québécoises et Québécois de Lanaudière (SNQL),Advertising,2020/06/09,500.0000
Jean Coutu,Cleaning Products,2020/06/10,9.9900
SSJBCQ,Promotional Items,2020/06/11,500.0000
Regroupement des Aidants Naturels Comté de l`Assomption,Advertising,2020/06/17,500.0000
Addison,"Office Supplies, Stationery and Accessories",2020/06/23,55.9600
L'Aut'Journal,Advertising,2020/06/25,85.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/26,201.9400
Regard en Elle,Advertising,2020/06/29,500.0000
PROMALAC MARKETING INC.,Advertising,2020/06/30,150.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,185.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,27.8000
Groupe Lexis Média Inc.,Advertising,2020/07/02,500.0000
Addison,"Office Supplies, Stationery and Accessories",2020/07/04,10.9800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,20.0000
Groupe Lexis Média Inc.,Advertising,2020/07/15,500.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.5400
Club de soccer Lanaudière-Nord,Advertising,2020/07/21,500.0000
Aramusique,Advertising,2020/07/31,400.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/07/31,201.9400
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,185.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,26.6000
"Brisson, Linda",Office Rental and Related Fees,2020/08/01,2040.0000
VOX LUMINOSA,Advertising,2020/08/04,250.0000
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/08/05,28.9500
Le Papetier Le Libraire,"Office Supplies, Stationery and Accessories",2020/08/05,55.3000
Michaels,Gifts given as a matter of protocol,2020/08/11,19.9800
Groupe Lexis Média Inc.,Advertising,2020/08/12,500.0000
Club de course les Aspirants de Repentigny,Advertising,2020/08/25,250.0000
Aramusique,Advertising,2020/08/26,400.0000
Centre d'action bénévole MRC L'Assomption,Advertising,2020/08/26,500.0000
Groupe Lexis Média Inc.,Advertising,2020/08/26,500.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/28,201.9400
Bénévoles du Centre Claude David,Advertising,2020/08/31,500.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,185.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,20.0000
"Brisson, Linda",Office Rental and Related Fees,2020/09/01,2040.0000
AQDR L'ASSOMPTION,Advertising,2020/09/02,500.0000
Groupe Lexis Média Inc.,Advertising,2020/09/09,500.0000
"Aut'journal, L'",Advertising,2020/09/14,85.0000
Groupe Lexis Média Inc.,Advertising,2020/09/16,500.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,5.5100
Canada Post – Postes Canada,Courier Services,2020/09/23,5.6200
Canada Post – Postes Canada,Courier Services,2020/09/23,5.1400
Canada Post – Postes Canada,Courier Services,2020/09/23,8.0200
Canada Post – Postes Canada,Courier Services,2020/09/23,7.0800
Canada Post – Postes Canada,Courier Services,2020/09/23,6.0300
Canada Post – Postes Canada,Courier Services,2020/09/23,5.5100
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,6.0300
Canada Post – Postes Canada,Courier Services,2020/09/23,5.2400
Groupe Lexis Média Inc.,Advertising,2020/09/23,500.0000
"Brisson, Linda",Office Rental and Related Fees,2020/10/01,2040.0000
