"Members – Detailed Contract Expenditures Report – Perron, Yves – Q2 2021"
Supplier,Description,Date,Total
Chambre de commerce de la MRC de Maskinongé,Advertising,2019/12/31,500.0000
Outil Travail Quotidien du Personnel Enseignant,Advertising,2020/01/28,399.0000
Société de Récréotourisme Pôle Berthier,Advertising,2020/02/20,500.0000
BNC,Banking Fees and Cheque Orders,2020/04/02,9.9500
Métro,Cleaning Products,2020/04/21,11.7700
CHAMBRE DE COMMERCE ET D'INDUSTRIE MRC DE MASKINONGÉ,Advertising,2020/05/01,500.0000
BNC,Banking Fees and Cheque Orders,2020/06/02,9.9500
Chambre de Commerce Saint Jean de Matha,Advertising,2020/06/03,500.0000
A.I.E. Informatique Inc.,Repair of Computer Equipment and Peripherals,2020/06/08,190.9900
Aféas St-Cuthbert,Advertising,2020/06/08,150.0000
Société nationale des Québécoises et Québécois de Lanaudière (SNQL),Advertising,2020/06/09,300.0000
Ass. du hockey mineur de Louiseville,Advertising,2020/06/13,500.0000
Soc. Saint-Jean-Baptiste,Gifts given as a matter of protocol,2020/06/15,939.0000
Soc. Saint-Jean-Baptiste,Freight,2020/06/15,30.0000
Icimédias Inc.,Advertising,2020/06/17,340.5000
WP Engine,Web Site Hosting/Domain Name,2020/06/17,40.5600
Liquidation Tom,"Office Supplies, Stationery and Accessories",2020/06/18,13.0000
Solutions Mikael Langlois,Other Training and Conferences,2020/06/18,135.0000
Laboratoires Choisy Ltee.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/19,320.6000
103.1  FM,Advertising,2020/06/20,670.0000
Entreprises Normand Tellier,Office Plants and Flowers,2020/06/20,205.5000
GROUPE CAPITALES MEDIAS,Advertising,2020/06/20,722.5000
A.I.E. Informatique,Repair of Computer Equipment and Peripherals,2020/06/22,80.0000
CTRB INC. (CABLE 9),Advertising,2020/06/23,100.0000
Icimédias Inc.,Advertising,2020/06/24,902.0000
L'aut'Journal,Advertising,2020/06/25,85.0000
APLALP,Advertising,2020/06/26,50.0000
BELL,Cable and Internet Fees,2020/06/26,69.9500
Cogeco Media Inc.,Advertising,2020/06/28,288.0000
Cogeco Media Inc.,Advertising,2020/06/28,360.0000
RADIO NORD-JOLI INC.,Advertising,2020/06/28,350.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,1577.5200
PROMALAC MARKETING INC.,Advertising,2020/06/30,150.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,131.9800
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,191.8400
Revue au Devoir de L'APPQ,Advertising,2020/07/01,328.0000
Banque nationale,Banking Fees and Cheque Orders,2020/07/02,9.9500
Carrefour Jeunesse-Emploi,Advertising,2020/07/06,500.0000
Hydro Québec,Public Utilities,2020/07/08,218.9300
WP engine,Web Site Hosting/Domain Name,2020/07/10,40.0000
Bureau en Gros,"Office Supplies, Stationery and Accessories",2020/07/11,72.5700
Bureau en Gros,"Office Supplies, Stationery and Accessories",2020/07/11,72.5700
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,510.0900
Imprimerie Pinard,Signage,2020/07/14,80.0000
Lavalge de vitres KB,Janitorial Services and Maintenance,2020/07/14,130.0000
Chambre de Commerce Saint Jean de Matha,Advertising,2020/07/17,105.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.1800
Moulin seigneurial de Pointe-du-Lac,Advertising,2020/07/23,500.0000
Bell,Cable and Internet Fees,2020/07/26,69.9500
Banque natonale,Banking Fees and Cheque Orders,2020/07/31,9.9500
BNC,Banking Fees and Cheque Orders,2020/07/31,9.9500
Action Famille Lavaltrie,Office Rental and Related Fees,2020/08/01,350.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,191.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,65.0000
"LUPIEN, MARCEL",Office Rental and Related Fees,2020/08/01,1050.0000
Société d'histoire et de Généalogie de Louiseville,Advertising,2020/08/04,250.0000
A.I.E Informatique,"Office Supplies, Stationery and Accessories",2020/08/05,9.5500
Costco,Office Decor,2020/08/08,59.9500
Mikael Langlois,Professional Communication Services,2020/08/10,45.0000
