"Members – Detailed Travel Expenditures Report – Petitpas Taylor, Ginette – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203507,2020/05/11,2020/07/20,,,,,,,0.0000,301.2000,0.0000,0,0,0,301.2000
T0203507,2020/05/11,2020/07/20,"Petitpas Taylor, Ginette",Member,Secondary Residence,2020/05/11,Ottawa,Ottawa,,,,,,,
T0203507,2020/05/11,2020/07/20,"Petitpas Taylor, Ginette",Member,Secondary Residence,2020/06/21,Ottawa,Ottawa,,,,,,,
T0203507,2020/05/11,2020/07/20,"Petitpas Taylor, Ginette",Member,Secondary Residence,2020/05/21,Ottawa,Ottawa,,,,,,,
T0203569,2020/06/11,2020/07/11,,,,,,,0.0000,34.9000,0.0000,0,0,0,34.9000
T0203569,2020/06/11,2020/07/11,"Petitpas Taylor, Ginette",Member,Secondary Residence,2020/06/11,Ottawa,Ottawa,,,,,,,
T0203173,2020/07/07,2020/07/07,,,,,,,118.1800,0.0000,0.0000,0,1.0000,0,118.1800
T0203173,2020/07/07,2020/07/07,"Trites, Patricia",Employee,Attending event with Member,2020/07/07,Moncton,Sussex Corner,,,,,,,
T0203173,2020/07/07,2020/07/07,"Trites, Patricia",Employee,Attending event with Member,2020/07/07,Sussex Corner,Moncton,,,,,,,
T0204199,2020/07/21,2020/08/20,,,,,,,0.0000,133.9800,0.0000,0,0,0,133.9800
T0204199,2020/07/21,2020/08/20,"Petitpas Taylor, Ginette",Member,Secondary Residence,2020/07/21,Ottawa,Ottawa,,,,,,,
200430775,2020/08/01,2020/08/31,,,,,,,0.0000,1509.2500,0.0000,0,0,0,1509.2500
200430775,2020/08/01,2020/08/31,"Petitpas Taylor, Ginette",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
200437257,2020/09/01,2020/09/30,,,,,,,0.0000,1509.2500,0.0000,0,0,0,1509.2500
200437257,2020/09/01,2020/09/30,"Petitpas Taylor, Ginette",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442120,2020/10/01,2020/10/31,,,,,,,0.0000,1509.2500,0.0000,0,0,0,1509.2500
200442120,2020/10/01,2020/10/31,"Petitpas Taylor, Ginette",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
