"Members – Detailed Contract Expenditures Report – Redekopp, Brad – Q2 2021"
Supplier,Description,Date,Total
Brandy's Cleaning Service,Janitorial Services and Maintenance,2020/01/18,200.0000
"Obst, Alexandra",Communications Officer,2020/06/01,923.0400
CITY OF SASKATOON,Public Utilities,2020/06/02,158.4500
TekSavvy Solutions Inc.,Internet (COVID19),2020/06/10,49.9500
THOMPSON-PALLISTER BAIT CO. LTD,Promotional Items,2020/06/15,831.2500
Koncept Innovators,Computer Equipment,2020/06/16,269.9900
TNP Products,Computer Equipment,2020/06/16,34.9700
WONG KA LING,Photographic Equipment,2020/06/16,145.9900
"Caswell, Brandy",Janitorial Services and Maintenance,2020/06/19,200.0000
Lovell Johns Limited,"Office Supplies, Stationery and Accessories",2020/06/23,34.9900
4imprint,Promotional Items,2020/06/29,1056.9000
Globe Printers,"Householders ",2020/06/30,4496.9800
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/30,474.5200
Grand & Toy,Cleaning Products,2020/06/30,34.9100
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,95.6200
Grand & Toy,Bulk Paper Purchases,2020/06/30,18.0100
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,4.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,195.9600
"Obst, Alexandra",Communications Officer,2020/07/01,923.0400
"Rogers ",Internet (COVID19),2020/07/01,99.9800
Shaw Direct,Cable and Internet Fees,2020/07/01,165.9000
CITY OF SASKATOON,Public Utilities,2020/07/03,179.3400
4imprint,Promotional Items,2020/07/10,371.7000
SaskEnergy,Public Utilities,2020/07/10,41.1000
TekSavvy,Internet (COVID19),2020/07/10,49.9500
"Amazon.com.ca, Inc.",Computer Equipment,2020/07/13,243.7900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,115.0800
Reppa Flags & Souvenirs,Promotional Items,2020/07/15,643.2800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,2.6000
"Caswell, Brandy",Janitorial Services and Maintenance,2020/07/20,250.0000
Caixiashangmaoyouxiangongsi-Qin caixia,Computer Equipment,2020/07/22,40.9900
Shenzhen Jutongchengshiye Youxiangongsi,Voice Communication Equipment,2020/07/24,46.9900
Postmedia,Advertising,2020/07/25,475.0000
Curbex Media,Advertising,2020/07/27,201.5000
"Obst, Alexandra",Communications Officer,2020/07/28,923.0400
Dollarama,"Office Supplies, Stationery and Accessories",2020/07/29,4.2400
4imprint Inc.,Promotional Items,2020/07/31,598.9000
Grand & Toy,Other Consumable Supplies From Stores,2020/07/31,23.1300
Grand & Toy,Cleaning Products,2020/07/31,85.9700
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,6.6600
Grand & Toy,Digital Communication Equipment,2020/07/31,66.7600
Postmedia,Advertising,2020/07/31,237.5000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,195.9600
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,2.0000
CITY OF SASKATOON,Public Utilities,2020/08/01,197.8900
HELIOS HOLDINGS LTD,Office Rental and Related Fees,2020/08/01,1695.0000
Shaw Direct,Cable and Internet Fees,2020/08/01,165.9000
SaskEnergy,Public Utilities,2020/08/12,40.4300
Canada Post – Postes Canada,Postage and Parcel Post,2020/08/20,180.4800
"Caswell, Brandy",Janitorial Services and Maintenance,2020/08/25,200.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,653.4900
Grand & Toy,Cleaning Products,2020/08/31,15.5700
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,195.9600
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,4.0000
HELIOS HOLDINGS LTD,Office Rental and Related Fees,2020/09/01,1695.0000
"Obst, Alexandra",Communications Officer,2020/09/01,923.0400
Shaw Direct,Cable and Internet Fees,2020/09/01,165.3600
"COMPUTER MEDIA GROUP, THE",Other Chemical Products,2020/09/11,128.6100
Canada Post – Postes Canada,Courier Services,2020/09/23,16.2300
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1500
Canada Post – Postes Canada,Courier Services,2020/09/23,14.2000
Canada Post – Postes Canada,Courier Services,2020/09/23,11.9300
Canada Post – Postes Canada,Courier Services,2020/09/23,18.3700
Canada Post – Postes Canada,Courier Services,2020/09/23,11.0500
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/25,210.7700
Canada Post – Postes Canada,Courier Services,2020/09/30,5.9600
HELIOS HOLDINGS LTD,Office Rental and Related Fees,2020/10/01,1695.0000
