"Members – Detailed Contract Expenditures Report – Regan, Geoff – Q2 2021"
Supplier,Description,Date,Total
METRO GUIDE PUBLISHING,Advertising,2020/03/20,180.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,29.7500
Nichent Energy Inc.,Consumable Items for Constituency Offices (COVID19),2020/06/03,280.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
EASTLINK,Cable and Internet Fees,2020/06/17,79.3500
Boom12 Communications,Advertising,2020/06/19,359.9500
EASTLINK,Cable and Internet Fees,2020/06/24,63.0400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,10.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,185.2900
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,40.0000
"Masthead News, The",Advertising,2020/07/05,135.9500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,24.9300
EASTLINK,Cable and Internet Fees,2020/07/17,97.7500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,7.8100
EASTLINK,Cable and Internet Fees,2020/07/24,63.0400
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,225.3600
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/31,127.4500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,8.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,185.2900
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,55.7500
UNIVERSAL PROPERTY MANAGEMENT LTD.,Office Rental and Related Fees,2020/08/01,2552.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
EASTLINK,Cable and Internet Fees,2020/08/24,63.0400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,8.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,185.2900
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
UNIVERSAL PROPERTY MANAGEMENT LTD.,Office Rental and Related Fees,2020/09/01,2552.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,80.7800
Canada Post – Postes Canada,Courier Services,2020/09/23,31.3600
UNIVERSAL PROPERTY MANAGEMENT LTD.,Office Rental and Related Fees,2020/10/01,2552.0000
