"Members – Detailed Travel Expenditures Report – Robillard, Yves – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0201782,2020/05/10,2020/05/13,,,,,,,12.5400,0.0000,0.0000,0,0,0,12.5400
T0201782,2020/05/10,2020/05/13,"Robillard, Yves",Member,To travel to/from constituency and Ottawa,2020/05/10,Laval (Ville),Ottawa,,,,,,,
T0202054,2020/05/20,2020/05/24,,,,,,,16.7000,0.0000,0.0000,0,0,0,16.7000
T0202054,2020/05/20,2020/05/24,"Robillard, Yves",Member,To travel to/from constituency and Ottawa,2020/05/20,Laval (Ville),Ottawa,,,,,,,
T0202055,2020/05/27,2020/05/31,,,,,,,15.1100,0.0000,0.0000,0,0,0,15.1100
T0202055,2020/05/27,2020/05/31,"Robillard, Yves",Member,To travel to/from constituency and Ottawa,2020/05/27,Laval (Ville),Ottawa,,,,,,,
T0202381,2020/06/07,2020/06/12,,,,,,,40.1000,0.0000,0.0000,0,0,0,40.1000
T0202381,2020/06/07,2020/06/12,"Robillard, Yves",Member,To travel to/from constituency and Ottawa,2020/06/07,Laval (Ville),Ottawa,,,,,,,
T0202529,2020/06/16,2020/06/18,,,,,,,188.9500,0.0000,184.1500,1.0000,0,0,373.1000
T0202529,2020/06/16,2020/06/18,"Robillard, Yves",Member,To travel to/from constituency and Ottawa,2020/06/16,Laval (Ville),Ottawa,,,,,,,
T0202529,2020/06/16,2020/06/18,"Robillard, Yves",Member,To travel to/from constituency and Ottawa,2020/06/18,Ottawa,Laval (Ville),,,,,,,
T0203059,2020/07/07,2020/07/09,,,,,,,171.0100,0.0000,165.7100,1.0000,0,0,336.7200
T0203059,2020/07/07,2020/07/09,"Robillard, Yves",Member,To travel to/from constituency and Ottawa,2020/07/07,Laval (Ville),Ottawa,,,,,,,
T0203059,2020/07/07,2020/07/09,"Robillard, Yves",Member,To travel to/from constituency and Ottawa,2020/07/09,Ottawa,Laval (Ville),,,,,,,
T0203711,2020/07/19,2020/07/23,,,,,,,171.9100,0.0000,193.2600,1.0000,0,0,365.1700
T0203711,2020/07/19,2020/07/23,"Robillard, Yves",Member,To travel to/from constituency and Ottawa,2020/07/19,Laval (Ville),Ottawa,,,,,,,
T0203711,2020/07/19,2020/07/23,"Robillard, Yves",Member,To travel to/from constituency and Ottawa,2020/07/23,Ottawa,Laval (Ville),,,,,,,
200430780,2020/08/01,2020/08/31,,,,,,,0.0000,2100.0000,0.0000,0,0,0,2100.0000
200430780,2020/08/01,2020/08/31,"Robillard, Yves",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0203854,2020/08/11,2020/08/13,,,,,,,171.0100,0.0000,128.8400,1.0000,0,0,299.8500
T0203854,2020/08/11,2020/08/13,"Robillard, Yves",Member,To travel to/from constituency and Ottawa,2020/08/11,Laval (Ville),Ottawa,,,,,,,
T0203854,2020/08/11,2020/08/13,"Robillard, Yves",Member,To travel to/from constituency and Ottawa,2020/08/13,Ottawa,Laval (Ville),,,,,,,
200437262,2020/09/01,2020/09/30,,,,,,,0.0000,2100.0000,0.0000,0,0,0,2100.0000
200437262,2020/09/01,2020/09/30,"Robillard, Yves",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0205421,2020/09/17,2020/09/25,,,,,,,171.0100,0.0000,451.6100,1.0000,0,0,622.6200
T0205421,2020/09/17,2020/09/25,"Robillard, Yves",Member,To travel to/from constituency and Ottawa,2020/09/17,Laval (Ville),Ottawa,,,,,,,
T0205421,2020/09/17,2020/09/25,"Robillard, Yves",Member,To travel to/from constituency and Ottawa,2020/09/25,Ottawa,Laval (Ville),,,,,,,
T0205140,2020/10/01,2020/10/31,,,,,,,0.0000,2100.0000,0.0000,0,0,0,2100.0000
T0205140,2020/10/01,2020/10/31,"Robillard, Yves",Member,Secondary Residence,2020/10/01,Ottawa,Ottawa,,,,,,,
