"Members – Detailed Contract Expenditures Report – Rodriguez, Pablo – Q2 2021"
Supplier,Description,Date,Total
Journal El Chasqui Latino Inc,Advertising,2020/04/01,29.4100
Perimeter Marketing Inc.,Web Site Hosting/Domain Name,2020/04/01,167.5000
Postes Canada,Courier Services,2020/04/27,94.8500
"Ricciardi, Joe",Office Assistant,2020/04/30,350.0000
WEEKLY NAWA-I-PAKISTAN CANADA,Advertising,2020/05/21,35.3000
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8200
"Ricciardi, Joe",Office Assistant,2020/05/31,350.0000
CLAN CREATIF INC.,Professional Communication Services,2020/06/10,136.7600
"FILIPINO FORUM, THE",Advertising,2020/06/12,75.0000
Bell Canada,Cable and Internet Fees,2020/06/13,140.0000
AQDR Pointe-de-l'île de Montréal,Advertising,2020/06/17,250.0000
Bell Canada,Cable and Internet,2020/06/17,59.4500
CLAN CREATIF INC.,Professional Communication Services,2020/06/23,17.8600
Il Cittadino Canadese,Advertising,2020/06/23,71.0000
Métro Média,Advertising,2020/06/27,72.0000
RADIO HUMSAFAR,Advertising,2020/06/27,40.0000
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/29,44.9900
"NORTH AMERICAN FILIPINO STAR,",Advertising,2020/06/29,73.5300
Regroupement des jardins communautaires des Trembles ( Jardin Sainte-Marthe),Advertising,2020/06/29,250.0000
Journal El Chasqui Latino Inc,Advertising,2020/06/30,29.4100
"Ricciardi, Joe",Office Assistant,2020/06/30,350.0000
"SUBURBAN, THE",Advertising,2020/06/30,129.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,26.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,216.8900
Factus Medias Inc,Advertising,2020/07/01,87.9300
"Presse Chinoise, La",Advertising,2020/07/01,82.3500
Zigzag Roman-Canadian Inc.,Advertising,2020/07/01,22.5000
Community Contact,Advertising,2020/07/02,58.8600
MAGHREB CANADA EXPRESS,Advertising,2020/07/07,29.4100
Bell Canada,Cable and Internet Fees,2020/07/13,140.0000
CONGRÈS NATIONAL DES ITALO-CANADIENS,Advertising,2020/07/13,185.7100
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,6.7100
Bell Canada,Cable and Internet Fees,2020/07/17,59.4500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.3000
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/07/18,44.9700
Sawid South Asian Services Inc. – Services D'affaires Sud Asiatiques Sawid Inc.,Advertising,2020/07/22,35.2900
Jardin communautaire roi rené,Advertising,2020/07/30,250.0000
Perimeter Marketing Inc.,Web Site Hosting/Domain Name,2020/07/31,402.0000
"Ricciardi, Joe",Office Assistant,2020/07/31,350.0000
3091-2703 QUÉBEC INC.,Advertising,2020/08/01,100.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,26.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,194.3000
"IMMEUBLES CAROSIELLI INC., LES",Office Rental and Related Fees,2020/08/01,2662.5000
MAGHREB CANADA EXPRESS,Advertising,2020/08/01,29.4100
Bell Canada,Cable and Internet Fees,2020/08/13,140.0000
Bell Canada,Cable and Internet Fees,2020/08/17,59.4500
RADIO HUMSAFAR,Advertising,2020/08/19,40.0000
Sawid South Asian Services Inc. – Services D'affaires Sud Asiatiques Sawid Inc.,Advertising,2020/08/24,35.2900
"Ricciardi, Joe",Office Assistant,2020/08/31,350.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,31.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,194.3000
"IMMEUBLES CAROSIELLI INC., LES",Office Rental and Related Fees,2020/09/01,2662.5000
Canada Post – Postes Canada,Courier Services,2020/09/23,5.1400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,8.0500
Canada Post – Postes Canada,Courier Services,2020/09/23,7.6100
Canada Post – Postes Canada,Courier Services,2020/09/23,5.6200
Canada Post – Postes Canada,Courier Services,2020/09/23,15.4400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,5.1400
Canada Post – Postes Canada,Courier Services,2020/09/30,94.8500
"IMMEUBLES CAROSIELLI INC., LES",Office Rental and Related Fees,2020/10/01,2662.5000
