"Members – Detailed Contract Expenditures Report – Rogers, Churence – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,19.0800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,1264.8600
Eastlink,Cable and Internet Fees,2020/06/10,192.9000
Eastlink,Cable and Internet Fees,2020/06/10,175.8500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Eastlink,Cable and Internet Fees,2020/06/17,112.9000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,258.5000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,26.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
Eastlink,Cable and Internet Fees,2020/07/10,192.9000
Eastlink,Cable and Internet Fees,2020/07/10,175.8500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,18.4600
Eastlink,Cable and Internet Fees,2020/07/17,112.9000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.0900
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,258.5000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,26.0000
G & A BUFFETT LTD.,Office Rental and Related Fees,2020/08/01,600.0000
Noble's Limited,Office Rental and Related Fees,2020/08/01,1150.0000
Russell Holdings Incorporated,Office Rental and Related Fees,2020/08/01,1500.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,20.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,258.5000
G & A BUFFETT LTD.,Office Rental and Related Fees,2020/09/01,600.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
Noble's Limited,Office Rental and Related Fees,2020/09/01,1150.0000
Russell Holdings Incorporated,Office Rental and Related Fees,2020/09/01,1500.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,37.4900
G & A BUFFETT LTD.,Office Rental and Related Fees,2020/10/01,600.0000
Noble's Limited,Office Rental and Related Fees,2020/10/01,1150.0000
Russell Holdings Incorporated,Office Rental and Related Fees,2020/10/01,1500.0000
