"Members – Detailed Contract Expenditures Report – Rota, Anthony – Q2 2021"
Supplier,Description,Date,Total
The Nugget,"Printed Matter, Books, Newspapers and Subscriptions",2020/03/19,47.8800
Clean Scene Inc.,Janitorial Services and Maintenance,2020/03/24,15.0700
Canva,"Printed Matter, Books, Newspapers and Subscriptions",2020/04/11,18.6300
Canva,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/11,18.6300
Vaughan Paper Products Inc.,Cleaning Products,2020/05/12,31.1600
Food Basics,Cleaning Products,2020/05/21,2.9900
Food Basics,Cleaning Products,2020/05/21,5.1600
Rexall,Consumable Items for Constituency Offices (COVID19),2020/05/22,59.9900
Food Basics,Consumable Items for Constituency Offices (COVID19),2020/05/25,3.4900
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.2500
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.7200
A Bit of the Bay Productions,Advertising,2020/05/27,250.0000
Vaughan Paper Products Inc.,Consumable Items for Constituency Offices (COVID19),2020/05/27,49.8200
"WILLARD, LEA",Janitorial Services and Maintenance,2020/06/01,180.0000
Ontario Northland,Courier Services,2020/06/09,11.2800
Canva,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/11,18.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Beatty Printing,Householders,2020/06/17,4271.0000
EASTLINK,Cable and Internet Fees,2020/06/17,146.8000
Village Media Inc,Advertising,2020/06/20,850.0000
HYDRO ONE NETWORKS INC.,Public Utilities,2020/06/23,51.5500
Ontario Northland,Courier Services,2020/06/23,11.2800
THREE H FURNITURE SYSTEMS LIMITED,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/23,172.5000
CHUR-FM rogers Media Inc,Advertising,2020/06/28,300.0000
CKAT-AM Rogers Media Inc,Advertising,2020/06/28,120.0000
CKFX-FM Rogers Media Inc.,Advertising,2020/06/28,225.0000
"MATTAWA RECORDER, THE",Advertising,2020/06/28,225.1200
Vista Radio Ltd,Advertising,2020/06/28,550.0000
CJTT-FM,Advertising,2020/06/30,481.0000
"PAQUETTE, VENISE",Consumable Items for Constituency Offices (COVID19),2020/06/30,40.0000
"PAQUETTE, VENISE",Janitorial Services and Maintenance,2020/06/30,120.0000
Postmedia Network Inc.,Advertising,2020/06/30,950.0000
TEMISKAMING PRINTING COMPANY,Advertising,2020/06/30,135.0000
"Bay & Area Advertiser Ontario Inc. 1853660, The",Advertising,2020/07/01,175.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,144.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,14.9800
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
TEMISKAMING PRINTING COMPANY,Advertising,2020/07/01,693.0000
PRIMECONTACT INC.,Advertising,2020/07/07,570.5500
Canva,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/11,18.0900
Cogeco Connexion inc.,Cable and Internet Fees,2020/07/11,120.9400
Staples Canada,Toner,2020/07/11,243.9800
CHUR-FM rogers Media Inc,Advertising,2020/07/12,300.0000
CKAT-AM Rogers Media Inc,Advertising,2020/07/12,80.0000
CKFX-FM Rogers Media Inc.,Advertising,2020/07/12,175.0000
Ricky's Glass & Mirror,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/13,164.3800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,356.5800
EASTLINK,Cable and Internet Fees,2020/07/17,151.7700
Food Basics,Cleaning Products,2020/07/17,12.0100
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.0800
Pauline Brown,Consumable Items for Constituency Offices (COVID19),2020/07/21,50.0000
Vaughan Paper Products Inc.,Consumable Items for Constituency Offices (COVID19),2020/07/21,19.9200
HYDRO ONE NETWORKS INC.,Public Utilities,2020/07/23,60.1700
"PAQUETTE, VENISE",Janitorial Services and Maintenance,2020/07/25,120.0000
"PAQUETTE, VENISE",Consumable Items for Constituency Offices (COVID19),2020/07/25,40.0000
Vista Radio Ltd,Advertising,2020/07/26,150.0000
Pauline Brown,Consumable Items for Constituency Offices (COVID19),2020/07/27,25.0000
NORTH BAY SECURITY COMMUNICATIONS,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/29,1294.9000
Algonquin Safety Training Inc.,Consumable Items for Constituency Offices (COVID19),2020/07/31,89.9800
"WILLARD, LEA",Janitorial Services and Maintenance,2020/07/31,160.0000
"Bay & Area Advertiser Ontario Inc. 1853660, The",Advertising,2020/08/01,175.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,144.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,12.0000
EDICA PROPERTIES INC. & 905889 ONTARIO LTD.,Office Rental and Related Fees,2020/08/01,1972.5000
RJ Chartrand Holding Limited,Office Rental and Related Fees,2020/08/01,675.0000
Cogeco Connexion inc.,Cable and Internet Fees,2020/08/11,120.9400
A Bit of the Bay Productions,Advertising,2020/08/12,250.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
EASTLINK,Cable and Internet Fees,2020/08/17,146.8000
NORTH BAY SECURITY COMMUNICATIONS,Repair of Office Equipment,2020/08/18,290.9500
HYDRO ONE NETWORKS INC.,Public Utilities,2020/08/24,58.7900
Ricky's Glass & Mirror,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/27,80.0000
NORTH BAY SECURITY COMMUNICATIONS,Protection and Alarm Monitoring (Member's Office Budget),2020/08/28,118.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,106.8600
Grand & Toy,Digital Communication Equipment,2020/08/31,245.9900
"PAQUETTE, VENISE",Janitorial Services and Maintenance,2020/08/31,120.0000
"PAQUETTE, VENISE",Consumable Items for Constituency Offices (COVID19),2020/08/31,60.0000
"Bay & Area Advertiser Ontario Inc. 1853660, The",Advertising,2020/09/01,175.0000
