"Members – Detailed Contract Expenditures Report – Sahota, Jag – Q2 2021"
Supplier,Description,Date,Total
Momentuum BPO Inc.,Licence Renewal,2020/04/01,2118.2100
Amazon,Office Equipment,2020/04/27,150.9300
Amazon,Photographic Equipment,2020/04/27,61.9800
Shaw Direct,Cable and Internet Fees,2020/05/06,92.9800
Amazon,Computer Equipment,2020/05/07,35.9800
Amazon,"Office Supplies, Stationery and Accessories",2020/05/07,21.6900
Amazon,Voice Communication Equipment,2020/05/07,33.1600
Amazon,Office Equipment,2020/05/07,69.9900
"CANADIAN TIMES, THE",Advertising,2020/05/20,250.0000
Amazon,"Office Supplies, Stationery and Accessories",2020/05/29,19.9900
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,228.5400
Rogers Wireless – Rogers sans-fil,Long Distance,2020/06/01,3.0000
CANADIAN NETWORK BROADCASTING,Advertising,2020/06/04,529.0000
Shaw Direct,Cable and Internet Fees,2020/06/06,322.4100
Amazon,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/08,34.2900
Amazon,"Office Supplies, Stationery and Accessories",2020/06/08,47.8200
Rush Sanatizers,Consumable Items for Constituency Offices (COVID19),2020/06/16,320.4600
Amazon,Office Equipment,2020/06/22,356.5000
"Shein, Kelsey",Information Technology (IT) Support Officer,2020/06/23,1000.0000
MOUNTAIN VIEW PRINTING & GRAPHICS LTD.,"Householders ",2020/06/25,7845.0800
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/26,261.0000
Rush Sanitizers,Consumable Items for Constituency Offices (COVID19),2020/06/27,197.3900
Genesis Centre,Public Meeting Room Rentals,2020/06/29,80.0000
Canada Post,Postage and Parcel Post,2020/06/30,20.6500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,222.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,94.0000
Amazon,Consumable Items for Constituency Offices (COVID19),2020/07/14,273.9900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.0700
Amazon,Consumable Items for Constituency Offices (COVID19),2020/07/18,154.9900
Amazon,Consumable Items for Constituency Offices (COVID19),2020/07/21,89.9700
UPS,Postage and Parcel Post,2020/07/28,10.0000
Grand & Toy,Cleaning Products,2020/07/31,33.8900
BEREZAN MANAGEMENT (ALTA) LTD.,Office Rental and Related Fees,2020/08/01,3383.9700
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,210.2900
Amazon,Consumable Items for Constituency Offices (COVID19),2020/08/10,111.9600
Amazon,Consumable Items for Constituency Offices (COVID19),2020/08/10,70.0000
Amazon,"Office Supplies, Stationery and Accessories",2020/08/10,73.5000
Dollarama,Consumable Items for Constituency Offices (COVID19),2020/08/18,8.8000
Amazon,"Office Supplies, Stationery and Accessories",2020/08/26,38.9900
Vista Print,External Printing Costs,2020/08/27,60.9900
Grand & Toy,Cleaning Products,2020/08/31,12.5900
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,53.6100
BEREZAN MANAGEMENT (ALTA) LTD.,Office Rental and Related Fees,2020/09/01,3383.9700
"KAZEMI, SAHAR",External Language Training,2020/09/08,210.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,77.0100
Canada Post – Postes Canada,Courier Services,2020/09/23,116.2500
Canada Post – Postes Canada,Courier Services,2020/09/23,104.1600
BEREZAN MANAGEMENT (ALTA) LTD.,Office Rental and Related Fees,2020/10/01,3383.9700
