"Members – Detailed Contract Expenditures Report – Schiefke, Peter – Q2 2021"
Supplier,Description,Date,Total
 promo.com,Licence Renewal,2020/05/09,49.0000
Home depot,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/01,93.9800
Paddle.com,Licence Renewal,2020/06/05,21.0000
 promo.com,Licence Renewal,2020/06/09,49.0000
Bell,Cable and Internet Fees,2020/06/10,121.0000
Zoom,Licence Renewal,2020/06/10,20.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
VIVA Media inc.,Advertising,2020/06/17,790.0000
#LesChasseursdeRoues,Advertising,2020/06/18,250.0000
Zoom,Licence Renewal,2020/06/18,20.0000
"Restream, Inc.",Licence Renewal,2020/06/23,19.0000
" CJVD FM 100,1",Advertising,2020/06/25,550.0000
Home depot,Repair of Office Equipment,2020/06/25,5.4900
Home depot,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/25,405.8200
"Restream, Inc.",Licence Renewal,2020/06/25,28.2100
Zoom,Licence Renewal,2020/06/25,53.0000
"Valerie Provost Photography ",Photography and Video Services,2020/06/26,150.0000
Your Local Journal,Advertising,2020/06/26,710.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,177.8400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,26.0000
Facebook,Advertising,2020/07/01,6.0800
Mailchimp,Licence Renewal,2020/07/01,80.7500
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
R-Mobile,Repair of Telecommunication Equipment,2020/07/02,80.0000
Neomedia,Advertising,2020/07/07,416.6700
Brenmar Media,Advertising,2020/07/08,600.0000
Best Buy,Computer Equipment,2020/07/10,40.1900
Costco,"Office Supplies, Stationery and Accessories",2020/07/10,71.4600
Zoom,Licence Renewal,2020/07/10,20.0000
Costco,Consumable Items for Constituency Offices (COVID19),2020/07/17,94.9600
Costco,Cleaning Products,2020/07/17,78.9500
Costco,Consumable Items for Constituency Offices (COVID19),2020/07/17,104.9500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,5.0400
Zoom,Licence Renewal,2020/07/18,20.0000
restream,Licence Renewal,2020/07/23,65.6000
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/07/24,89.9800
Costco,Cleaning Products,2020/07/24,26.9900
Amazon,"Office Supplies, Stationery and Accessories",2020/07/27,31.9900
Amazon,"Office Supplies, Stationery and Accessories",2020/07/27,30.7100
Facebook,Advertising,2020/07/31,113.0700
223 SAINT-CHARLES S.E.N.C.,Office Rental and Related Fees,2020/08/01,2661.7200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,77.8300
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,266.7600
Les services Mc N.A. copieurs inc,Photocopier Rental and Related Costs,2020/08/01,3.8700
Mailchimp,Professional Communication Services,2020/08/01,79.2500
Costco,"Office Supplies, Stationery and Accessories",2020/08/07,58.6800
Costco,Cleaning Products,2020/08/07,113.9400
Bell,Cable and Internet Fees,2020/08/10,121.0000
Bell,Cable and Internet Fees,2020/08/10,121.0000
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/08/10,90.0000
Zoom,Licence Renewal,2020/08/10,20.0000
Amazon,Computer Equipment,2020/08/11,32.9900
neomedia,Advertising,2020/08/11,416.6700
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
Amazon,"Office Supplies, Stationery and Accessories",2020/08/14,78.9400
SIDprint,External Printing Costs,2020/08/18,25.0000
zoom,Licence Renewal,2020/08/18,20.0000
Vimeo,Advertising,2020/08/19,101.0000
