"Members – Detailed Contract Expenditures Report – Serré, Marc – Q2 2021"
Supplier,Description,Date,Total
BELL CANADA,Internet (COVID19),2020/04/01,100.9500
Dollarama,Cleaning Products,2020/04/19,6.5000
BELL CANADA,Internet (COVID19),2020/05/01,100.9500
Xplornet,Internet (COVID19),2020/05/06,77.9900
Videotron,Internet (COVID19),2020/05/08,40.0000
Costco,Cleaning Products,2020/05/20,17.9900
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
BELL CANADA,Internet (COVID19),2020/06/01,100.9500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,133.7500
Eastlink,Internet (COVID19),2020/06/04,55.0000
Poste Canada,Postage and Parcel Post,2020/06/04,10.8200
Xplornet,Internet (COVID19),2020/06/06,77.9900
Purolator,Courier Services,2020/06/12,5.3800
Zoom Video Communications Inc.,Licence Renewal,2020/06/14,20.0000
King Sportswear,Advertising,2020/06/15,1000.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Publication Voyageur,Advertising,2020/06/17,219.7500
"Capreol Express,The",Advertising,2020/06/22,97.5000
Enbridge Gas Inc.,Public Utilities,2020/06/22,51.6600
HYDRO ONE NETWORKS INC.,Public Utilities,2020/06/22,172.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,6.4600
ALARMNORTH SECURITY,Protection and Alarm Monitoring (Member's Office Budget),2020/06/24,195.0000
Publication Voyageur,Advertising,2020/06/24,221.2500
TRIBUNE/SF PRINTING,Advertising,2020/06/24,395.0000
King Sportswear,Consumable Items for Constituency Offices (COVID19),2020/06/29,68.0000
King Sportswear,Consumable Items for Constituency Offices (COVID19),2020/06/29,68.0000
Village Media Inc,Advertising,2020/06/29,200.0000
Grand & Toy,Cleaning Products,2020/06/30,202.1100
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,28.0800
Grand & Toy,Bulk Paper Purchases,2020/06/30,79.9600
Postmedia Network Inc.,Advertising,2020/06/30,250.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,26.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,64.0000
Lasalle Business Machines,Photocopier Rental and Related Costs,2020/07/01,30.0000
Lasalle Business Machines,Photocopier Rental and Related Costs,2020/07/01,194.3400
NGP Van,Professional Communication Services,2020/07/01,65.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5200
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,128.5000
Sunwire Inc.,Cable and Internet Fees,2020/07/01,169.9500
Costco,Toner,2020/07/02,89.9900
ALARMNORTH SECURITY,Protection and Alarm Monitoring (Member's Office Budget),2020/07/03,179.9400
Eastlink,Internet (COVID19),2020/07/03,55.0000
TRIBUNE/SF PRINTING,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/07,71.4300
EASTLINK,Cable and Internet Fees,2020/07/10,231.1500
Zoom Video Communications Inc.,Licence Renewal,2020/07/14,20.0000
"Capreol Express,The",Advertising,2020/07/16,97.5000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,6.7000
Reliable Maintenance Products,Consumable Items for Constituency Offices (COVID19),2020/07/20,118.4200
HYDRO ONE NETWORKS INC.,Public Utilities,2020/07/22,90.9500
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,8.2600
Enbridge Gas Inc.,Public Utilities,2020/07/23,22.5000
ALARM NORTH SECURITY,"Security Equipment, Intercom and Alarm System (Member's Office Budget)",2020/07/24,35.0000
Bclan Highway Signs,Advertising,2020/07/31,600.0000
1085967 Ontario Limited,Office Rental and Related Fees,2020/08/01,2600.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,16.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,64.0000
Lasalle Business Machines,Photocopier Rental and Related Costs,2020/08/01,85.3200
Lasalle Business Machines,Photocopier Rental and Related Costs,2020/08/01,30.0000
MORRISON EXCAVATING SERVICES INC.,Office Rental and Related Fees,2020/08/01,250.0000
NGP Van Inc.,Professional Communication Services,2020/08/01,65.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,151.0900
Sunwire Inc.,Cable and Internet Fees,2020/08/01,192.0500
EASTLINK,Cable and Internet Fees,2020/08/10,229.3200
Crystal North Inc,Spring Water,2020/08/12,45.0000
Les cartouches d'encre Inko,Toner,2020/08/12,50.5800
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0500
"Capreol Express,The",Advertising,2020/08/15,97.5000
Mr. Gate's Renos,Office Renovations,2020/08/20,70.0000
HYDRO ONE NETWORKS INC.,Public Utilities,2020/08/21,172.0000
Purolator,Courier Services,2020/08/28,5.5000
1085967 Ontario Limited,Office Rental and Related Fees,2020/09/01,2600.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,64.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,64.0000
Lasalle Business Machines,Photocopier Rental and Related Costs,2020/09/01,105.9000
Lasalle Business Machines,Photocopier Rental and Related Costs,2020/09/01,32.5500
MORRISON EXCAVATING SERVICES INC.,Office Rental and Related Fees,2020/09/01,250.0000
NGP Van Inc.,Advertising,2020/09/01,65.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0500
Sunwire Inc.,Cable and Internet Fees,2020/09/01,192.0300
EASTLINK,Cable and Internet Fees,2020/09/10,241.3900
O.F.R.C.,Advertising,2020/09/11,300.0000
Publication Voyageur,Advertising,2020/09/16,258.0000
Rolly's Heating and Air Conditioning (2000) Inc.,"Repair of Heating, Air Conditioning and Refrigeration Equipment",2020/09/16,398.9400
TRIBUNE/SF PRINTING,Advertising,2020/09/16,350.0000
HYDRO ONE NETWORKS INC.,Public Utilities,2020/09/22,172.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,8.9600
Canada Post – Postes Canada,Courier Services,2020/09/23,9.5800
Canada Post – Postes Canada,Courier Services,2020/09/23,10.2400
Canada Post – Postes Canada,Courier Services,2020/09/23,32.7600
Canada Post – Postes Canada,Courier Services,2020/09/23,8.9600
Canada Post – Postes Canada,Courier Services,2020/09/23,11.0000
Enbridge Gas Inc.,Public Utilities,2020/09/23,155.7300
King Sportswear,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/25,300.0000
1085967 Ontario Limited,Office Rental and Related Fees,2020/10/01,2600.0000
MORRISON EXCAVATING SERVICES INC.,Office Rental and Related Fees,2020/10/01,250.0000
